DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4391782;1;2;1;70;1;3;45;4; ;2;2;4; ;5;2;1; ; ;1; ; ; ; ; ; ; ; ;1;2300000;1500000;1;1;21;21;70;1;1;7010;08;11;2558,22631770189;11
4391784;1;4;1;70;1;12;48;1; ;2;12;1; ;5;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;84;93;50;1;1;5020;08;11;3397,26193776867;11
4391812;1;1;1;70;1;12;60;4; ;2;12;4; ;6;2;1; ; ; ; ; ;1; ; ; ; ; ;2; ;1200000;2; ;98;98;60;1;1;6041;08;11;3603,05382155057;11
4391817;1;1;1;70;1;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;95;95;45;1;2;4521;08;11;2821,44066966419;11
4391821;1;2;1;70;1;4;48;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;1;4521;08;11;2611,1374309633;11
4391821;1;3;1;70;1;8;48;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;54;95;1;1;9500;08;11;2611,1374309633;11
4391828;1;1;1;70;1;26;48;1; ;2;52;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;21;21;63;1;2;6390;08;11;3080,64006962623;11
4391830;1;3;1;70;1;52;48;1; ;2;52;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;3000000;1;2;21;36;71;1;2;7111;08;11;2768,66880261116;11
4391834;1;3;1;70;1;8;16;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;98; ; ;45; ; ;1;1; ;08;11;2549,22711424113;11
4391848;1;2;1;70;1;3;48;1; ;2;12;1; ;3;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;94;97;26;1;1;2692;08;11;3008,93880064447;11
4391862;1;3;1;70;1;2;48;1; ;2;4;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;53;45;52;1;1;5239;08;11;2851,74386202298;11
4391863;1;3;1;70;1;4;48;1; ;2;32;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;45;45;52;1;1;5233;08;11;2632,37913861944;11
4391878;1;1;1;70;1;52;50;1; ;2;52;1; ;8;2;9;MEDICINA PREPAGADA; ; ; ; ; ; ; ; ; ;1;2; ;4000000;3; ;21;21;67;1;2;6712;08;11;2767,66052956206;11
4391879;1;5;1;70;1;104;48;4; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;81;36;1;2;3611;08;11;2768,64288559864;11
4391889;1;3;1;70;1;4;30;4; ;2;4;4; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;57;57;93;1;1;9302;08;11;3653,22084776407;11
4391890;1;1;1;70;1;16;16;4; ;2;16;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;835000;2; ;34;59;17;1;2;1741;08;11;2178,42335494223;11
