DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4400836;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;76;2084,95902389675
4400836;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;76;2084,95902389675
4400839;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;20;600000;2;1;76;1557,79281487981
4400840;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;76;1542,38206421003
4400840;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;76;1542,38206421003
4400841;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;3080,47303309432
4400841;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;3080,47303309432
4400842;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;737717;2;1;76;2315,59451068928
4403828;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;500000;2;1;52;2349,64452384257
4403829;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;500000;2;1;52;1717,51134633382
4403829;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1717,51134633382
4403831;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;52;873,023794788678
4403831;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;52;873,023794788678
4403831;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;873,023794788678
4403833;1;2;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ;98;2;1;52;1794,66194434945
4403833;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1794,66194434945
4403834;1;1;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;52;1462,86627558476
4403834;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;98;2;1;52;1462,86627558476
4403834;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1462,86627558476
4403835;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;300000;2;1;52;2343,06066672434
4403837;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1704,60147640314
4403840;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1722,26741542224
4403841;1;1;1;80;2;1;3;8; ;2; ; ;9; ;2; ;2; ;1;28;300000;2;1;52;1735,62164302911
4403842;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;2092,05816321997
4403843;1;3;1;80;2;1;2;4; ;2; ; ;4; ;1; ;2; ; ; ;98;2;1;52;2087,30209413154
4403844;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;52;1732,69336197049
4403845;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;2; ;98; ;1;52;2102,48410976822
4403847;1;2;1;80;2;1;3;8; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;52;1831,54352153875
4403847;1;3;1;80;2;1;1;8; ;2; ; ;7; ;2; ;2; ;2; ;300000;2;1;52;1831,54352153875
4403847;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;52;1831,54352153875
4403849;1;2;1;80;2;1;2;4; ;2; ; ;9; ;2; ;2; ;1;48;300000;2;1;52;1180,63726744869
4403852;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;52;1143,7556902594
4403853;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ;400000;2;1;52;1179,07940792876
4403854;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;52;1526,4563079878
4403856;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;52;2344,88845475414
