DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2819152,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,54,54,261.864.182.741.122
2819152,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,54,54,261.864.182.741.122
2819154,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,35,,,,,,,1,11,41,41,158.145.936.958.726
2819154,1,2,1,90,,2,1,2,1,2,2,1,2,2,2,,35,,14,,,5,,,,1,11,41,41,158.145.936.958.726
2819155,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,41,41,152.762.113.022.618
2819155,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,41,41,152.762.113.022.618
2819155,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,41,41,152.762.113.022.618
2819156,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,52,52,133.018.924.424.715
2819156,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,28,,28,,,,,,,1,11,52,52,133.018.924.424.715
2819156,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,52,52,133.018.924.424.715
2819156,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,52,52,133.018.924.424.715
2819157,1,1,1,90,,2,1,2,1,1,2,2,2,2,2,,28,,6,3,,,,,,1,11,52,52,137.858.721.723.277
2819158,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,20,,25,,,,,,,1,11,52,52,140.148.156.322.763
2819158,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,5,,5,,,,,,,1,11,52,52,140.148.156.322.763
2819158,1,3,1,90,,2,1,2,1,2,2,1,2,2,2,,5,,5,,,25,,,,1,11,52,52,140.148.156.322.763
2819159,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,52,52,132.589.983.156.941
2819159,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,35,,,,,,,,,1,11,52,52,132.589.983.156.941
2819159,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,52,52,132.589.983.156.941
2819159,1,4,1,90,,2,1,2,2,2,2,1,2,2,2,,7,,,,,1,,,,1,11,52,52,132.589.983.156.941
2819159,1,5,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,52,52,132.589.983.156.941
2819160,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,7,,,,,,,1,11,52,52,189.931.809.639.672
2819160,1,2,1,90,,2,1,2,1,2,2,1,2,2,2,,14,,25,,,10,,,,1,11,52,52,189.931.809.639.672
2819161,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,3,,7,,,,,,,1,11,52,52,186.784.492.504.639
2819161,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,24,,25,,,,,,,1,11,52,52,186.784.492.504.639
2819162,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,52,52,186.534.952.132.433
2819163,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,52,52,19.588.329.907.211
2819163,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,24,,,,,,,,,1,11,52,52,19.588.329.907.211
2819163,1,3,1,90,,2,2,2,1,2,2,2,2,2,1,,,,14,,,,,,2,1,11,52,52,19.588.329.907.211
2819163,1,4,1,90,,2,1,2,2,2,2,1,2,2,2,,14,,,,,4,,,,1,11,52,52,19.588.329.907.211
2819163,1,5,1,90,,2,1,2,2,2,2,2,2,2,1,,7,,,,,,,,2,1,11,52,52,19.588.329.907.211
2819166,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,28,,,,,,,,,1,11,52,52,103.246.999.025.406
2819166,1,2,1,90,,2,1,2,2,2,2,1,2,2,2,,5,,,,,3,,,,1,11,52,52,103.246.999.025.406
2819166,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,10,,,,,,,,,1,11,52,52,103.246.999.025.406
2819167,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,5,,14,,,,,,,1,11,52,52,186.784.492.504.639
2819167,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,4,,14,,,,,,,1,11,52,52,186.784.492.504.639
2819168,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,52,52,196.973.631.254.122
2819168,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,25,,,,,,,,,1,11,52,52,196.973.631.254.122
2819168,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,24,,,,,,,,,1,11,52,52,196.973.631.254.122
2819168,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,52,52,196.973.631.254.122
2819169,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,18,,,,,,,,,1,11,52,52,157.072.917.044.568
2819170,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,12,,14,,,,,,,1,11,52,52,225.092.183.268.743
2819170,1,2,1,90,,2,1,2,1,2,1,2,2,2,2,,30,,30,,2,,,,,1,11,52,52,225.092.183.268.743
2819171,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,12,,,,,,,,,1,11,52,52,215.877.936.263.969
2819171,1,2,1,90,,2,1,2,2,2,2,1,2,2,2,,20,,,,,2,,,,1,11,52,52,215.877.936.263.969
2819171,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,18,,,,,,,,,1,11,52,52,215.877.936.263.969
2819172,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,52,52,167.201.705.854.812
2819172,1,2,1,90,,2,1,2,1,1,2,2,2,2,2,,25,,15,28,,,,,,1,11,52,52,167.201.705.854.812
2819172,1,3,1,90,,2,1,2,2,1,2,2,2,2,2,,14,,,20,,,,,,1,11,52,52,167.201.705.854.812
2819174,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,23,23,126.349.124.842.477
2819174,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,23,23,126.349.124.842.477
2819174,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,23,23,126.349.124.842.477
2819175,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,23,23,132.169.486.276.446
2819175,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,11,23,23,132.169.486.276.446
2819175,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,23,23,132.169.486.276.446
2819176,1,1,1,90,,2,2,2,1,2,2,2,2,2,2,,,,10,,,,,,,1,11,23,23,120.565.097.469.768
2819176,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,10,,12,,,,,,,1,11,23,23,120.565.097.469.768
2819177,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,20,,,,,,,,,1,11,23,23,129.611.506.457.582
2819177,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,1,11,23,23,129.611.506.457.582
