Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3021818;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1178,02405490953
3021818;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1178,02405490953
3021818;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1178,02405490953
3021819;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1183,65623142611
3021819;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1183,65623142611
3021820;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2004,11168740513
3021820;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2004,11168740513
3021821;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1367,14873275568
3021821;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1367,14873275568
3021823;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2978,63214999689
3021829;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;2328,981219914
3021830;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;19;1076,24001479294
