DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;FT;DPTO;fex_c_2011
803467;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;134.051.618.488.806
803467;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;134.051.618.488.806
803468;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;211.867.370.236.948
803468;1;2;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;2;;;;5;1;5;211.867.370.236.948
803469;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;244.192.927.632.772
803469;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;5;1;5;244.192.927.632.772
803470;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;249.923.933.229.862
803470;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;249.923.933.229.862
803470;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;249.923.933.229.862
803471;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803471;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;5;1;5;854.987.861.318.046
803471;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803471;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803472;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;10;;;;;;;5;1;5;835.884.509.327.746
803472;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;35;;15;;;;;;;5;1;5;835.884.509.327.746
803472;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;835.884.509.327.746
803473;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;615.683.970.693.843
803473;1;2;1;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;3;5;1;5;615.683.970.693.843
803473;2;1;2;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;2;5;1;5;615.683.970.693.843
803475;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;254.269.432.289.692
803475;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;16;;;;;;;;;5;1;5;254.269.432.289.692
803476;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;737.864.071.929.673
803476;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;20;;;;;;;5;1;5;737.864.071.929.673
803477;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;5;1;5;833.079.777.432.875
803477;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;18;;22;;;;;;;5;1;5;833.079.777.432.875
803477;1;3;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;2;;;;5;1;5;833.079.777.432.875
803478;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;799.491.428.576.476
803478;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;5;1;5;799.491.428.576.476
803478;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;799.491.428.576.476
803479;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;9;;;;;;;5;1;5;813.976.425.442.574
