DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2562920;1;1;1;2;1;3;4;1;5;1; ; ;30000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;3870,84718476879
2562921;1;3;2;2;1;3;4;1;5;1; ; ;800000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;2512,04261411128
2562923;1;1;1;2;1;4;4;1;5;1; ; ;30000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;2;0; ; ;01;2;11;68;1;5172,54990637795
2562924;1;6;3;2;1;4;1;1;5;1; ; ;80000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;3;1;1;3;2;1;2;2;2;1;2; ;1;01;2;11;68;1;1819,39198419217
2562925;1;3;2;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;4;1;1;3;2;1;2;2;2;1;2; ;1;01;2;11;68;1;2488,26635219495
2562926;1;2;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;3;2;2;2;2;2;1; ; ;1;01;2;11;68;1;3260,50536698675
2562927;1;3;1;2;1;4;1;1;5;1; ; ;70000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;3;2;1;2;2;2;1;2; ;1;01;2;11;68;1;1819,39198419217
2562928;1;4;3;2;1;4;1;1;4;4; ; ; ;300000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;1;1;4;1;2;2;2;1;2; ;2;01;2;11;68;1;1506,0051616204
2562929;1;2;2;2;1;4;1;5;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;5;1;1;1;2;1;2;2;2;1;2; ;2;01;2;11;68;1;1309,23799355619
2562930;1;3;3;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;5;2;2; ;5;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;1479,6049325654
2562931;1;4;1;2;1;4;1;1;4;3; ; ; ; ;800000;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;11;68;1;868,165557333652
2562932;1;1;1;2;1;4;1;1;5;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2; ;2;2; ;3;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;948,311939036052
2562953;1;2;1;2;1;4;1;1;4;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;2;1;1;3;4;1;2;2;2;1;2; ;2;01;2;11;68;1;2565,13361673024
2562954;1;3;1;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;2881,77197283985
2562956;1;3;1;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;2;01;2;11;68;1;3195,24084999923
2562957;1;3;2;3;1;4;4;1;5;4; ; ; ;60000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;6;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;4856,05881226623
2562958;1;3;2;2;1;4;4;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;4;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;3825,34808326822
2562959;1;4;1;2;1;4;4;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;2565,13361673024
2562960;1;3;1;2;1;4;4;1;4;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;2565,13361673024
2562961;1;4;2;3;1;4;4;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;3;2;1;2;2;2;2;2; ; ;01;2;11;68;1;3866,83633833941
2562963;1;3;1;2;1;4;1;1;5;1; ; ;2000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;1819,39198419217
2562964;1;3;1;2;1;4;1;1;5;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;1819,39198419217
2562965;1;3;1;2;1;4;1;1;4;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;2881,77197283985
2562966;1;4;1;2;1;4;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;3;1;1;3;2;1;2;2;2;1;2; ;2;01;2;11;68;1;3195,24084999923
2562967;1;2;1;6; ;4;6;1;4;1; ; ;1000000;50000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;68;1;1007,71412991116
2562968;1;2;1;3;1;4;6;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;68;1;1145,07910710027
2562969;1;4;3;2;1;4;6;1;5;1; ; ;4000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;68;1;801,476085249442
2562970;1;3;2;2;1;4;1;1;4;4; ; ; ;120000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;2;1;2; ;2;01;2;11;68;1;954,259308310345
2562971;1;3;2;2;1;4;6;1;5;1; ; ;5000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;68;1;533,05392091452
2563509;1;2;2;2;1;4;1;1;5;1; ; ;20000000;60000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;4;1;1;1;1;1;2;2;2;1;1; ;1;01;2;11;52;1;1718,54307931597
