DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2797857,1,5,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,106.246.478.964.007
2797858,1,1,1,80,76,1,4,5,,3,,2,,,,,11,2,1,10,76,106.836.881.008.533
2797859,1,2,1,80,76,2,,,,2,,2,,2,,.,,,1,10,76,105.140.779.554.498
2797860,1,4,1,80,17,1,4,4,,2,,2,,,,,8,2,1,10,17,158.563.166.553.582
2797861,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,182.814.978.572.286
2797866,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,187.838.399.633.534
2797866,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,187.838.399.633.534
2797867,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,197.949.786.397.509
2797867,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,197.949.786.397.509
2797868,1,1,1,80,17,1,4,5,,3,,2,,,,,8,2,1,10,17,15.988.531.910.463
2797869,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,136.457.796.986.417
2797869,1,3,1,80,17,1,3,5,,3,,2,,,,,10,2,1,10,17,136.457.796.986.417
2797870,1,1,1,80,17,1,4,5,,3,,2,,,,,9,2,1,10,17,151.969.561.725.756
2797870,1,2,1,80,17,1,4,3,,2,,2,,,,,4,2,1,10,17,151.969.561.725.756
2797871,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,198.154.584.625.567
2797871,1,5,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,198.154.584.625.567
2797872,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,138.228.228.135.215
2797873,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,174.357.403.963.466
2797875,1,1,1,80,17,1,4,5,,3,,2,,,,,10,2,1,10,17,158.746.217.083.142
2797875,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,158.746.217.083.142
2797875,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,158.746.217.083.142
2797876,1,2,1,80,17,1,4,3,,2,,2,,,,,9,2,1,10,17,125.993.599.161.664
2797876,1,4,1,80,17,1,4,8,,2,,2,,,,,4,2,1,10,17,125.993.599.161.664
2797877,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,15.270.031.299.405
2797879,1,1,1,80,17,1,4,5,,3,,2,,,,,10,2,1,10,17,14.061.369.685.322
2797880,1,1,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,181.061.744.276.148
2797881,1,2,1,80,17,1,4,3,,2,,2,,,,,9,2,1,10,17,182.715.556.431.302
2797882,1,1,1,80,17,1,2,8,,2,,2,,,,,2,2,1,10,17,228.081.648.828.404
2797882,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,228.081.648.828.404
2797883,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,217.480.681.077.501
2797884,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,216.895.704.684.421
2797885,1,1,1,80,17,1,4,4,,2,,2,,,,,4,2,1,10,17,160.427.136.334.577
2797887,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,223.925.748.961.601
2797887,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,223.925.748.961.601
2797889,1,1,1,80,17,1,2,4,,2,,2,,,,,4,2,1,10,17,160.752.840.299.075
2797891,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,193.179.754.256.055
2797892,1,1,1,80,17,1,4,9,CAMBIO DE CIUDAD,2,,2,,,,,8,2,1,10,17,147.956.315.293.891
2797892,1,2,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,147.956.315.293.891
2797892,1,3,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,147.956.315.293.891
2797892,1,4,1,80,17,2,,,,2,,2,,2,,.,,,1,10,17,147.956.315.293.891
