DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2797337,1,3,2,1,1,1,1,2,3,1,,,45000000,250000,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,255.360.026.563.395
2797339,1,5,2,1,1,1,1,1,1,3,,,,,850000,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,985.945.447.401.116
2797340,1,3,2,1,1,1,1,1,3,1,,,150000000,1000000,,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,1,10,5,1,5,113.038.120.430.486
2797341,1,3,2,1,1,1,1,1,1,1,,,120000000,800000,,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,3,1,2,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,134.246.086.140.705
2797342,1,3,2,1,1,1,1,1,3,3,,,,,786000,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,4,2,1,1,1,10,5,1,5,126.397.068.634.984
2797344,1,4,2,1,1,1,1,1,3,1,,,270000000,1500000,,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,2,1,1,1,10,5,1,5,101.971.277.309.766
2797345,1,4,1,1,1,1,1,1,3,1,,,135000000,1100000,,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,4,2,1,1,1,10,5,1,5,121.665.223.901.116
2797346,1,3,2,1,1,1,1,1,1,3,,,,,800000,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,124.364.523.349.007
2797347,1,3,1,1,1,1,1,1,1,3,,,,,715000,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,126.397.068.634.984
2797348,1,2,1,1,1,1,1,1,1,3,,,,,580000,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,132.991.626.819.636
2797349,1,6,1,1,1,1,1,1,1,1,,,180000000,9000000,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,4,1,2,1,1,1,4,2,1,1,1,10,5,1,5,103.156.557.638.787
2797350,1,3,2,1,1,1,1,1,3,1,,,7000000,200000,,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,1,10,47,1,47,142.753.482.547.826
2797354,1,3,2,1,1,1,1,1,3,1,,,24000000,200000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,6,1,1,1,2,1,1,1,1,1,3,3,1,1,1,10,47,1,47,997.115.202.117.521
2797355,1,2,1,1,1,1,1,1,3,4,,,,300000,,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,3,3,2,1,1,10,47,1,47,14.628.480.451.631
2797356,1,4,2,1,1,1,1,1,3,1,,,99,250000,,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,1,1,1,1,3,3,2,1,1,10,47,1,47,158.361.087.376.881
