Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3075434;1;2;1;70;1;40;48;4; ;2;4;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;2;4521;11;20;132,655770467533;20
3075456;1;3;1;70;1;6;40;1; ;2;6;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;45;1;1;4521;11;63;97,8469244207741;63
3075458;1;1;1;70;1;2;54;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;220000;2;95;95;45;1;1;4521;11;63;132,162113808133;63
3075458;1;3;1;70;1;16;54;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;2;1563;11;63;132,162113808133;63
3075459;1;1;1;70;1;16;30;1; ;2;3;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;79;52;1;2;5271;11;63;97,3395021416533;63
3075464;1;2;1;70;1;78;25;4; ;2;12;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;2;9302;11;63;144,473139005954;63
3075486;1;8;1;70;1;4;48;1; ;2;48;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;95;45;1;1;4521;11;47;195,143709314281;47
3075493;1;1;1;70;1;104;48;1; ;2;104;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;85;1;2;8511;11;13;347,262180567543;13
3075499;1;3;1;70;1;12;48;1; ;2;48;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;1;5511;11;13;332,727855980455;13
3075509;1;3;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;11;13;382,320646883852;13
3075517;3;2;3;70;1;4;40;1; ;2;4;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;54;55;1;1;5511;11;13;423,785393835197;13
3075519;1;3;1;70;1;42;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;11;13;326,163367544917;13
3075528;1;2;1;70;1;32;40;1; ;2;156;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;11;13;330,585016766759;13
3075530;1;1;1;70;1;8;45;4; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;11;63;184,825978972177;63
3075530;1;3;1;70;1;4;45;1; ;2;4;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;1;580000;2;45;45;52;1;1;5233;11;63;184,825978972177;63
3075533;1;2;1;70;1;16;45;4; ;2;60;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;44;44;70;1;2;7020;11;63;423,885382667749;63
3075534;1;1;1;70;1;98;45;1; ;2;72;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;33;95;45;1;2;4521;11;63;215,857753400232;63
3075542;1;2;1;70;1;6;40;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;81;36;1;1;3611;11;63;115,634776004899;63
3075543;1;2;1;70;1;48;45;1; ;2;98;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;93;45;1;2;4552;11;63;106,302826644781;63
3075548;1;1;1;70;1;32;48;4; ;2;132;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;85;1;2;8532;11;63;158,673885620849;63
3075553;1;1;1;70;1;4;40;4; ;2;52;5; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;11;63;264,353806106143;63
3075553;1;3;1;70;1;104;40;1; ;2;312;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;55;74;1;2;7493;11;63;264,353806106143;63
3075561;1;1;1;70;1;8;78;4; ;2;8;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;57;93;1;1;9302;11;63;82,2268111967612;63
3075563;1;2;1;70;1;8;48;1; ;2;8;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;52;1;1;5233;11;63;89,6336028368708;63
3075565;1;1;1;70;1;8;70;1; ;2;250;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;55;1;1;5529;11;63;117,883732219721;63
3075568;1;2;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;63;119,613247451238;63
3075568;1;5;1;70;1;4;48;1; ;2;7;1; ;7;1; ; ; ; ; ; ;1; ; ; ; ;2; ;2;39;39;26;1;1;2694;11;63;119,613247451238;63
3075569;1;2;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;11;63;161,311031121472;63
3075573;1;4;1;70;1;32;48;1; ;2;1;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;45;41;52;1;2;5224;11;63;113,04414346778;63
3075573;1;6;1;70;1;52;20;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;79;18;1;2;1810;11;63;113,04414346778;63
3075578;1;1;1;70;1;5;25;1; ;2;52;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;94;15;1;1;1541;11;41;124,772949011893;41
3075580;1;1;1;70;1;84;54;1; ;2;84;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;11;41;129,358661990322;41
3075583;1;2;1;70;1;3;48;3; ;2;12;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;11;41;132,13068346043;41
3075589;1;2;1;70;1;24;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;58;74;1;2;7492;11;63;173,040341663982;63
3075589;2;1;2;70;1;8;48;1; ;2;216;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;39;75;1;1;7512;11;63;173,040341663982;63
3075590;1;2;1;70;1;8;48;1; ;2;8;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5225;11;63;89,6336028368708;63
3075593;1;2;1;70;1;24;40;4; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;2;5221;11;63;169,215756955754;63
3075593;1;4;1;70;1;54;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;34;52;1;2;5211;11;63;169,215756955754;63
3075596;1;1;1;70;1;4;20;1; ;2;312;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;1;7492;11;63;87,8952452667365;63
3075598;1;3;1;70;1;2;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;63;113,881629189826;63
3075602;1;4;1;70;1;6;20;1; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;53;55;1;1;5521;11;63;131,031785369526;63
3075610;1;2;1;70;1;4;48;1; ;2;8;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;98;98;60;1;1;6042;11;68;416,384690674125;68
3075614;1;2;1;70;1;4;48;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;37;37;55;1;1;5521;11;68;784,509727756289;68
3075615;1;3;1;70;1;4;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;68;860,279589031088;68
3075623;1;1;1;70;1;208;48;2; ;2;208;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;54;85;1;2;8532;11;73;220,151506063549;73
