DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4289249;1;7;1;80;2;1;1;8; ;2; ; ;12;TRABAJO CON EL CABILDO;2; ;2; ;1;03;19;981,857417507813
4289249;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;981,857417507813
4289250;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1264,59511077032
4289250;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1264,59511077032
4289252;1;1;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;03;19;828,09490674396
4289252;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;828,09490674396
4289252;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;828,09490674396
4289252;2;3;2;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;828,09490674396
4289253;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;827,663301766746
4289254;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1712,63146742193
4289254;1;10;1;80;2;1;1;3; ;2; ; ;9; ;2; ;1;300000;1;03;19;1712,63146742193
4289255;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;719,766579061484
4289255;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;719,766579061484
4289256;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;955,273781078754
4289258;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1337,29830333664
4289258;1;4;1;80;2;1;3;8; ;2; ; ;2; ;2; ;2; ;1;03;19;1337,29830333664
4289260;1;1;1;80;2;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;03;19;1725,85571229228
4289260;1;2;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1725,85571229228
4289260;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1725,85571229228
4289261;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;19;2289,61839864532
4289261;1;7;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;2289,61839864532
4289261;1;8;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;2289,61839864532
4289262;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;03;19;1371,44450658574
4289265;1;1;1;80;2;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;03;19;827,663301766746
