DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
603944,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,177.864.066.872.798
604685,1,1,95,2,,,,,,,,1,2,,2,,,,,,100000,2,1,2,2,,2,15,166.837.508.535.695
604685,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,166.837.508.535.695
604687,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,131.510.228.672.033
604687,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,131.510.228.672.033
604687,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,131.510.228.672.033
604687,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,131.510.228.672.033
604688,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604688,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604688,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604688,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604688,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604688,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,169.276.679.329.815
604689,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,135.771.877.842.794
604689,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,135.771.877.842.794
604689,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,135.771.877.842.794
604689,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,135.771.877.842.794
604690,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,181.071.010.509.559
604690,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,181.071.010.509.559
604690,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,181.071.010.509.559
604691,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,6,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,7,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604691,1,8,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,223.980.453.607.617
604692,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,134.771.417.358.426
604692,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,134.771.417.358.426
604693,1,1,95,2,,,,,,,,1,2,,2,,,,,,100000,2,1,2,2,,2,15,140.344.189.458.516
604694,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,163.128.257.932.745
604695,1,1,95,2,,,,,,,,1,2,,2,,,,,,600000,2,1,2,2,,2,15,166.837.508.535.695
604695,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,166.837.508.535.695
604696,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,11.234.267.143.436
604696,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,15,11.234.267.143.436
