DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
601202;1;1;11;10;1;1;1;7;1984;1;2;;2;;3;3;;2;3;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;9;;23;11;262.950.396.919.454
601202;1;2;11;10;2;2;1;3;1979;2;2;;2;;2;2;;2;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;;;28;11;262.950.396.919.454
601202;1;3;11;10;2;1;1;5;2002;3;2;;;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;2;1;1;1;0;2000;2;;2;;2;0;;;;5;11;262.950.396.919.454
601203;1;1;11;10;1;1;1;3;1968;1;2;;4;;3;2;;2;1;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;8;;;;39;11;250.616.428.779.995
601203;1;2;11;10;2;1;1;5;1996;3;2;;6;1;1;;;2;3;1;;;2;1;;;3;;;2;;.;1;1;1;1;0;2000;2;;2;;3;3;;;;11;11;250.616.428.779.995
601205;1;1;11;10;1;1;1;10;1956;1;2;;3;;2;2;;2;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;8;;;;51;11;249.529.709.716.532
601205;1;2;11;10;2;2;1;3;1963;2;2;;3;;3;2;;3;2;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;45;11;249.529.709.716.532
601205;1;3;11;10;1;2;1;3;1995;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;1;0;1200;2;;2;;4;7;;;;12;11;249.529.709.716.532
601205;1;4;11;10;1;1;1;6;1996;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;2;1;1;1;0;1200;2;;2;;3;2;;;;11;11;249.529.709.716.532
601205;1;5;11;10;1;2;1;8;1997;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;2;1;1;1;0;1200;2;;2;;3;3;;;;10;11;249.529.709.716.532
601206;1;1;11;10;1;1;1;8;1985;1;2;;2;;2;3;;2;3;2;2;1;;1;;;1;4;;2;;.;1;2;;;;;;;;;5;11;2;10;;22;11;243.197.870.622.095
601206;1;2;11;10;2;2;1;10;1989;2;2;;2;;2;2;;2;3;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;9;;14;;18;11;243.197.870.622.095
601206;1;3;11;10;1;1;1;6;2005;3;2;;;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;;;;;;;;;;;;;;;;2;11;243.197.870.622.095
601206;1;4;11;10;1;2;1;9;2006;3;2;;;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;;;;;;;;;;;;;;;;1;11;243.197.870.622.095
601207;1;1;11;10;1;1;1;6;1978;1;2;;2;;2;2;;2;2;2;2;1;;1;;;1;3;57000;2;;.;1;2;;;;;;;;;4;8;;;;29;11;311.939.198.876.332
601207;1;2;11;10;2;2;1;12;1979;2;2;;2;;2;2;;2;2;1;1;1;2;1;;;1;5;;2;;.;1;2;;;;;;;;;4;7;;;;28;11;311.939.198.876.332
601207;1;3;11;10;2;1;1;3;1997;3;2;;6;1;1;;2;1;;1;;;2;1;;;1;5;;2;;.;1;1;2;2;;;2;;2;;3;3;;;;10;11;311.939.198.876.332
601208;1;1;11;10;1;1;1;1;1980;1;2;;2;;2;2;;2;2;2;2;1;;1;;;1;5;;2;;.;1;2;;;;;;;;;5;11;2;;;28;11;279.569.420.738.804
601208;1;2;11;10;2;2;1;6;1986;2;2;;2;;2;2;;2;2;2;1;1;;1;;;1;3;57000;2;;.;1;2;;;;;;;;;4;7;;14;;21;11;279.569.420.738.804
601208;1;3;11;10;2;2;1;6;2007;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;;;;;;;;;;;;;;;;0;11;279.569.420.738.804
