DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5494574;1;1;1;70;11;24;48;1; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;97;53;54;1;2;9700;07;11;1957,08842199727
5494574;1;2;1;70;11;12;48;1; ;2;36;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;11;97;97;1;1;1104;07;11;1957,08842199727
5494574;1;3;1;70;11;12;48;1; ;2;12;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;53;39;39;1;1;5320;07;11;1957,08842199727
5494576;1;2;1;70;11;4;48;1; ;2;108;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;58;53;92;1;1;5811;07;11;3212,64365564089
5494577;1;2;1;70;11;48;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;34;39;1;2;5611;07;11;3949,14379861627
5494585;1;2;1;70;11;24;40;1; ;2;48;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;84;97;1;2;4923;07;11;2424,63648236311
5494596;1;1;1;70;11;24;48;1; ;2;25;1; ;7;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;20;98;98;1;2;2023;07;11;3985,43033251746
5494601;1;3;1;70;11;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;1800000; ; ; ;02; ;1;1;   .;07;11;2627,51044895401
5494604;1;3;1;70;11;96;40;1; ;2;96;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;96;57;57;1;2;9602;07;11;3559,94627595887
5494607;1;2;1;70;11;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;800000; ; ; ;53; ;1;1;   .;07;11;2998,94234694045
5494614;1;3;1;70;11;18;48;1; ;2;18;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;55;36;1;2;4921;07;11;3331,1334723029
5494617;1;3;1;70;11;52;48;1; ;2;98;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;36;95;99;1;2;3600;07;11;3387,60477164187
5494618;1;2;1;70;11;7;48;1; ;2;7;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;80;39;39;1;1;8010;07;11;3690,33894192568
5494635;1;2;1;70;11;12;48;1; ;2;12;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;15;45;80;1;1;1522;07;11;3771,72902381701
5494641;1;1;1;70;11;24;48;1; ;2;24;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;62;08;08;1;2;6202;07;11;4935,63178419328
5494644;1;2;1;70;11;96;48;1; ;2;96;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;44;45;1;2;4772;07;11;3212,64365564089
5494648;1;3;1;70;11;52;48;1; ;2;52;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;73;16;16;1;2;7310;07;11;2841,21175765445
5494650;1;2;1;70;11;48;48;1; ;2;48;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;4771;07;11;1782,12730599629
5494650;1;3;1;70;11;4;48;1; ;2;4;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;53;45;1;1;4771;07;11;1782,12730599629
5494663;1;1;1;70;11;6;48;1; ;2;52;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;55;45;1;1;4771;07;11;4056,66770943289
5494670;1;3;1;70;11;98;48;1; ;2;98;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;84;58;97;1;2;8415;07;11;2802,47156495499
