Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304268;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;108,790483422771
304269;2;2;80;1;4;7; ;2; ; ; ; ; ;1;47;47;115,172171906231
304270;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;151,989921114082
304270;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;151,989921114082
304271;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;134,25366163425
304271;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;134,25366163425
304271;2;5;80;2; ; ; ; ; ; ; ; ; ;1;47;47;134,25366163425
304272;2;2;80;1;1;2; ;2; ; ; ; ; ;1;47;47;151,253655201858
304272;2;7;80;2; ; ; ; ; ; ; ; ; ;1;47;47;151,253655201858
304273;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;113,45381122633
304273;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;113,45381122633
304274;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;118,92238187146
304274;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;118,92238187146
304275;2;2;80;1;3;2; ;2; ; ; ; ; ;1;47;47;137,536911870901
304276;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;275,781913847936
304276;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;275,781913847936
304276;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;275,781913847936
304276;2;5;80;2; ; ; ; ; ; ; ; ; ;1;47;47;275,781913847936
304277;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;236,587360729132
304278;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;273,155540924269
304278;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;273,155540924269
304279;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;253,732312758606
304281;2;1;80;1;4;4; ;3; ; ; ; ; ;1;47;47;239,343234142252
304281;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;239,343234142252
304281;2;5;80;1;1;5; ;2; ; ; ; ; ;1;47;47;239,343234142252
304282;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;210,823843198676
304282;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;210,823843198676
304282;2;5;80;2; ; ; ; ; ; ; ; ; ;1;47;47;210,823843198676
304282;2;6;80;2; ; ; ; ; ; ; ; ; ;1;47;47;210,823843198676
304285;2;1;80;1;4;5; ;2; ; ; ; ; ;1;47;47;238,322742777334
304285;2;4;80;1;1;5; ;2; ; ; ; ; ;1;47;47;238,322742777334
304287;2;2;80;2; ; ; ; ; ; ; ; ; ;1;47;47;247,101724712597
304287;2;3;80;2; ; ; ; ; ; ; ; ; ;1;47;47;247,101724712597
304287;2;4;80;2; ; ; ; ; ; ; ; ; ;1;47;47;247,101724712597
304288;2;2;80;1;2;5; ;2; ; ; ; ; ;1;50;50;103,219720433288
304288;2;3;80;2; ; ; ; ; ; ; ; ; ;1;50;50;103,219720433288
304290;2;1;80;2; ; ; ; ; ; ; ; ; ;1;50;50;160,662516734006
304291;2;1;80;2; ; ; ; ; ; ; ; ; ;1;50;50;128,517040553049
304293;2;2;80;2; ; ; ; ; ; ; ; ; ;1;50;50;268,832823078486
304294;2;2;80;2; ; ; ; ; ; ; ; ; ;1;50;50;106,809410730807
304295;2;2;80;1;4;6; ;2; ; ; ; ; ;1;50;50;272,287447657006
304296;2;1;80;1;4;4; ;3; ; ; ; ; ;1;50;50;110,009003651375
