DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5080432;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;05;12;05;1277,82988614124
5080432;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1277,82988614124
5080432;1;3;1;90;2; ;1;96;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1277,82988614124
5080433;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1207,39064978871
5080434;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ;05;12;05;1125,60324199913
5080434;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1125,60324199913
5080434;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ;05;12;05;1125,60324199913
5080435;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1311,82820919722
5080435;1;2;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1311,82820919722
5080435;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1311,82820919722
5080435;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1311,82820919722
5080436;1;1;1;90;2; ;1;16;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1436,19343913462
5080436;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1436,19343913462
5080437;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2521,42428879115
5080437;1;2;1;90;2; ;1;14;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2521,42428879115
5080438;1;1;1;90;2; ;1;10;2; ;2; ;1;2;2; ;1;3;2; ;2; ;1;2;05;12;05;1007,37492091302
5080438;1;2;1;90;2; ;1;40;2; ;2; ;1;12;2; ;2; ;2; ;2; ;2; ;05;12;05;1007,37492091302
