DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2666487,1,1,1,95,2,,,,,,,,1,1,2,,,,1200000,,2,2,2,,2,2,4,19,639.341.540.797.196
2666487,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,639.341.540.797.196
2666488,1,1,1,95,2,,,,,,,,1,1,2,,,,1020000,,2,2,2,,2,2,4,19,938.723.735.657.094
2666488,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,938.723.735.657.094
2666489,1,1,1,95,1,,1,2,,,100000,2,2,,,,,,,,,,,,,2,4,19,10.838.952.954.442
2666489,1,2,1,95,2,,,,,,,,1,1,2,,,,1220000,,2,2,2,,2,2,4,19,10.838.952.954.442
2666490,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,243.388.404.364.243
2666490,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,243.388.404.364.243
2666490,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,243.388.404.364.243
2666491,1,1,1,95,2,,,,,,,,1,1,2,,,,1220000,,2,2,2,,2,2,4,19,130.144.627.524.781
2666491,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,130.144.627.524.781
2666491,1,3,1,95,2,,,,,,,,1,1,2,,,,480000,,2,2,2,,2,2,4,19,130.144.627.524.781
2666492,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,115.028.122.116.072
2666492,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,115.028.122.116.072
2666493,1,1,1,95,2,,,,,,,,1,1,2,,,,1200000,400000,2,1,2,,2,2,4,19,866.344.315.640.593
2666494,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,19,631.730.990.013.368
2666494,1,2,1,95,2,,,,,,,,1,1,2,,,,1824000,,2,2,2,,2,2,4,19,631.730.990.013.368
