DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,FEX_C,CLASE,MES,DPTO,FEX_C_2011
2644460,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,12.086.793.135.727,2,3,63,131.958.920.867.922
2644461,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,218.649.391.124.901,2,3,63,205.477.503.573.221
2644461,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,218.649.391.124.901,2,3,63,205.477.503.573.221
2644461,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,218.649.391.124.901,2,3,63,205.477.503.573.221
2644461,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,218.649.391.124.901,2,3,63,205.477.503.573.221
2644461,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,218.649.391.124.901,2,3,63,205.477.503.573.221
2644462,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,169.326.474.111.416,2,3,63,170.061.586.571.194
2644462,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,169.326.474.111.416,2,3,63,170.061.586.571.194
2644462,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,169.326.474.111.416,2,3,63,170.061.586.571.194
2644537,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,156.586.433.959.105,2,3,63,159.496.271.842.962
2644537,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,156.586.433.959.105,2,3,63,159.496.271.842.962
2644537,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,156.586.433.959.105,2,3,63,159.496.271.842.962
2644537,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,156.586.433.959.105,2,3,63,159.496.271.842.962
2644539,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,771.672.633.867.244,2,3,63,944.770.888.198.957
2644539,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,771.672.633.867.244,2,3,63,944.770.888.198.957
2644539,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,771.672.633.867.244,2,3,63,944.770.888.198.957
2644539,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,771.672.633.867.244,2,3,63,944.770.888.198.957
2644539,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,771.672.633.867.244,2,3,63,944.770.888.198.957
2644540,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,170.008.357.977.541,2,3,63,174.023.875.827.389
2644540,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,170.008.357.977.541,2,3,63,174.023.875.827.389
2644540,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,170.008.357.977.541,2,3,63,174.023.875.827.389
