Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3289829;1;4;1;80;68;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;68;374,103039798224
3289830;1;3;1;80;68;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;68;494,358924110095
3289832;1;2;1;80;68;1;4;7; ;2; ;2; ; ; ; ;9;2;1;09;68;464,682789904841
3289833;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;429,997739824136
3289834;1;2;1;80;68;1;4;7; ;2; ;2; ; ;1; ;9;1;1;09;68;469,882552496945
3289835;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;8;2;1;09;68;430,831498633002
3289837;1;2;1;80;68;1;2;5; ;3; ;2; ; ; ; ;8;2;1;09;68;601,856451894862
3289838;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;68;567,683338349015
3289838;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;567,683338349015
3289841;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;834,535649504157
3289843;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;68;880,75406479142
3289843;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;68;880,75406479142
3289913;1;1;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;52;170,911960017301
3289927;1;2;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;09;52;174,43657310861
3289928;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;52;190,919110415533
3289929;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;52;177,955171972636
3289929;1;2;1;80;52;1;3;4; ;2; ;2; ; ; ; ;4;2;1;09;52;177,955171972636
3289931;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;217,924768171902
3289931;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;52;217,924768171902
3289932;1;3;1;80;52;1;1;2; ;2; ;2; ; ;1; ;2;1;1;09;52;193,079350757931
3289932;1;5;1;80;52;1;4;3; ;2; ;2; ; ; ; ;4;2;1;09;52;193,079350757931
3289935;1;3;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;52;231,478010553352
3289937;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289937;1;2;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289938;1;1;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;52;146,701505302683
3289939;1;2;1;80;52;1;4;7; ;2; ;2; ; ; ; ;4;2;1;09;52;148,617253309689
3289945;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;76;1258,47638252565
3289946;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;09;76;785,301565591291
3289946;1;2;1;80;76;1;4;9;EL HIJO SE HIZO CARGO DE ELLA;2; ;2; ; ; ; ;8;2;1;09;76;785,301565591291
3289948;1;1;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;76;740,569549676715
3289949;1;3;1;80;76;1;4;1; ;2; ;2; ; ; ; ;6;2;1;09;76;558,344046497166
3289950;1;2;1;80;08;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;08;581,733476450326
3289953;1;2;1;80;08;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;08;512,69936468027
3289953;1;3;1;80;08;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;08;512,69936468027
3289956;1;1;1;80;08;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;08;537,639396622598
3289957;1;1;1;80;08;1;2;3; ;2; ;2; ; ; ; ;9;2;1;09;08;565,304611869369
3289958;1;1;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;09;05;588,6029026669
3289958;1;3;1;80;05;1;1;3; ;2; ;2; ; ; ; ;11;2;1;09;05;588,6029026669
3289959;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;995,684698265375
3289960;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;1177,41026548947
3289963;1;2;1;80;05;1;4;7; ;2; ;2; ; ; ; ;8;2;1;09;05;779,906830801648
3289963;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;779,906830801648
3289964;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;8;2;1;09;05;817,096258556071
3289964;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;817,096258556071
3289965;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;05;884,245524657255
3289966;1;1;1;80;05;1;1;4; ;2; ;2; ; ; ; ;4;2;1;09;05;870,403049071361
3289967;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;1167,6912325171
3289968;1;2;1;80;05;2; ; ; ;2; ;2; ;1;1; ;8; ;1;09;05;752,994148396536
3289971;1;3;1;80;05;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;05;961,03849820129
3289971;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;961,03849820129
3289971;1;5;1;80;05;1;4;7; ;2; ;2; ; ; ; ;9;2;1;09;05;961,03849820129
3289974;1;2;1;80;05;1;1;3; ;2; ;2; ; ; ; ;9;2;1;09;05;1089,26002514209
3289974;1;5;1;80;05;2; ; ; ;2; ;2; ;1;1; ;2; ;1;09;05;1089,26002514209
3289976;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;881,412925105337
3289976;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;881,412925105337
3289977;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;05;1059,89408661978
3289978;1;1;1;80;05;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;05;937,552315172545
3289981;1;1;1;80;50;1;4;4; ;2; ;2; ; ; ; ;4;2;1;09;50;191,247122966456
3289981;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;50;191,247122966456
3289983;1;1;1;80;50;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;09;50;258,41979018117
3289984;1;1;1;80;50;1;4;8; ;3; ;2; ; ; ; ;8;2;1;09;50;176,313476940511
3289985;1;3;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;50;162,602242606363
3289985;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;09;50;162,602242606363
3289988;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;114,528908448451
3289988;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;114,528908448451
3289988;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;114,528908448451
3289989;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;09;17;146,124333321572
3289992;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;149,654197593999
3289993;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;4;2;1;09;17;146,124333321572
3289993;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;17;146,124333321572
3289994;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;09;17;286,373388493198
3289994;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;286,373388493198
3289994;1;4;1;80;17;1;1;6; ;2; ;2; ; ;1; ;2;1;1;09;17;286,373388493198
3289995;1;1;1;80;17;1;4;3; ;3; ;2; ; ; ; ;11;2;1;09;17;121,197039949875
3289996;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;09;17;156,322329095424
3290002;1;2;1;80;17;2; ; ; ;2; ;2; ;1;3; ;9; ;1;09;17;127,761114928125
3290002;1;4;1;80;17;1;2;2; ;2; ;2; ; ; ; ;2;2;1;09;17;127,761114928125
