DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2259882;1;2;2;1;1;1;10;1;3;5; ; ; ;200000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;3;2;2; ;5;1;1;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;141,482345781356
2259883;1;2;2;1;1;1;1;1;3;5; ; ; ;200000; ;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;6;1;1;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;96,9516039708987
2259884;1;3;3;2;1;1;1;1;3;1; ; ;90000000;450000; ;1;2;1;1;1;1;2;2;1;2;2;2;1;2;1;2;2;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;2;1;1;4;2;2;01;1;04;47;1;47;143,967348300919
2259885;1;4;1;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;4;2;2;01;1;04;47;1;47;154,943513017463
2259886;1;3;1;1;2;1;1;1;3;1; ; ;25000000;250000; ;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;2;2;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;161,703414474468
2259886;2;2;1;1;2;1;1;1;3;4; ; ; ;250000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ;2;01;1;04;47;1;47;161,703414474468
2259887;1;3;1;1;1;1;1;3;3;3; ; ; ; ;120000;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;189,163224683383
2259888;1;4;3;1;1;1;1;1;3;4; ; ; ;250000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;2;1;1;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;1;2;2;01;1;04;47;1;47;150,786578026873
2259889;1;6;2;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;2;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;4;1;1;1;1;1;4;2;2;01;1;04;47;1;47;119,420520500045
2259890;1;4;3;1;1;1;1;1;3;4; ; ; ;300000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;2;1;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;2;01;1;04;47;1;47;129,908694306264
2259891;1;4;2;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;1;04;47;1;47;178,400133646996
2259892;1;4;1;1;1;1;1;1;3;4; ; ; ;250000; ;2;2;1;2;1;1;2;2;1;2;2;1;2;2;2;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;1;04;47;1;47;117,080417157182
2259893;1;6;4;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;2;1;2;2;1;2;1;1;1;2;1;2;2;1;1;1;2;1;2;2;1;5;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;2;01;1;04;47;1;47;92,3196022476837
2259894;1;4;2;1;1;1;1;1;3;1; ; ;60000000;400000; ;1;2;1;2;1;1;2;1;1;1;2;2;1;2;1;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;2;01;1;04;47;1;47;146,431655169256
2259895;1;4;3;1;1;1;1;1;3;1; ; ;35000000;250000; ;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;6;1;1;1;2;1;1;1;1;1;3;3;2;01;1;04;47;1;47;180,703446128894
2259896;1;1;1;1;2;1;1;2;4;3; ; ; ; ;80000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;4;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;155,717880286702
2259897;1;3;2;1;1;1;1;1;1;1; ; ;99;200000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;2;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;140,645907624465
2259898;1;2;1;1;2;1;1;1;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;5;1;4;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;139,363075318992
2259899;1;3;2;1;1;1;1;1;4;3; ; ; ; ;250000;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;2;1;1;1;2;3;1;01;1;04;52;1;52;187,269183150888
2259900;1;2;1;1;2;1;1;1;4;1; ; ;100000000;50000; ;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;1;1;4;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;145,07384375147
2259901;1;5;2;1;1;1;1;1;4;1; ; ;99;99; ;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;159,014477874773
2259902;1;2;2;1;2;1;1;1;4;3; ; ; ; ;80000;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;3;1;4;1;4;1;2;1;1;1;1;3;1;01;1;04;52;1;52;180,954243497108
2259903;1;1;1;1;2;1;1;2;4;3; ; ; ; ;50000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;4;1;2;1;2;1;1;1;2;3;1;01;1;04;52;1;52;140,645907624465
2259904;1;3;2;1;1;1;1;1;4;3; ; ; ; ;220000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;1;1;1;2;3;1;01;1;04;52;1;52;165,153252772409
