Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396430;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;759,042840944329
396435;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;654,272619573417
396437;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,134467889297
396437;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,134467889297
396443;1;1;05;80;1;1;3; ;2; ; ; ; ; ;1;05;886,750709018146
396446;1;1;05;80;1;3;4; ;3; ; ; ; ; ;1;05;847,695002748631
396446;1;2;05;80;1;3;3; ;2; ; ; ; ; ;1;05;847,695002748631
396448;1;1;05;80;1;4;2; ;3; ; ; ; ; ;1;05;821,358791541184
396451;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,344999160499
396453;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396453;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396453;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396456;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;499,862910110114
396456;2;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;499,862910110114
396456;2;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;499,862910110114
396460;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;690,652430059395
396461;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;813,961866376795
396463;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;893,599836066376
396472;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;693,846902289696
396474;1;1;05;80;1;4;5; ;2; ; ; ; ; ;1;05;654,791196020181
396474;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;654,791196020181
396476;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;882,247015013075
396476;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;882,247015013075
396476;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;882,247015013075
396476;3;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;882,247015013075
396487;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;814,509664492954
396490;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;770,330331261437
396490;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;770,330331261437
396493;1;3;05;80;1;3;0; ;2; ; ; ; ; ;1;05;466,185690592489
396493;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;466,185690592489
396493;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;466,185690592489
396493;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;466,185690592489
396496;1;1;05;80;1;4;0; ;2; ; ; ; ; ;1;05;733,910589262999
396496;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;733,910589262999
396499;1;2;05;80;1;2;2; ;2; ; ; ; ; ;1;05;850,341676862773
396502;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;775,453958223438
396504;1;1;05;80;1;4;8;CAMBIO  DE  CIUDAD;2; ; ; ; ; ;1;05;654,580664748979
396504;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;654,580664748979
396504;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;654,580664748979
396512;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;849,261491411641
396512;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;849,261491411641
396527;1;4;05;80;1;1;7; ;2; ; ; ; ; ;1;05;645,940709492905
396527;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;645,940709492905
396539;1;1;05;80;1;4;2; ;3; ; ; ; ; ;1;05;778,100632337581
396539;1;2;05;80;1;1;3; ;2; ; ; ; ; ;1;05;778,100632337581
396541;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;684,967194093025
396541;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;684,967194093025
396543;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;895,126393216926
396546;1;1;05;80;1;1;2; ;2; ; ; ; ; ;1;05;668,769706515684
396546;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;668,769706515684
396550;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;767,654435477899
396550;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;767,654435477899
396552;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396552;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396552;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396552;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;648,587383607047
396556;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;978,40136423042
396556;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;978,40136423042
396561;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1063,36190381768
396561;1;4;05;80;1;1;7; ;2; ; ; ; ; ;1;05;1063,36190381768
396567;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;763,201519760149
396569;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;764,605163782606
396569;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;764,605163782606
396575;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;771,886110081382
396575;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;771,886110081382
396578;1;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;814,107066911803
