DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;MES;DPTO;fex_c_2011
2237394;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;84; ; ;14; ; ; ; ; ;2;03;63;970,937861426379
2237394;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;970,937861426379
2237394;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;63;970,937861426379
2237395;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1163,78542056815
2237395;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;84; ; ; ; ; ; ; ; ;2;03;63;1163,78542056815
2237395;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;63;1163,78542056815
2237395;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1163,78542056815
2237396;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1237,69586095588
2237397;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;1042,23232936645
2237397;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;91; ; ; ; ; ; ; ; ;2;03;63;1042,23232936645
2237397;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1042,23232936645
