DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
588987,1,8,70,3,25,2,,2,8,2,,9,4,,,,,,,,,,1,,2,,2,2,1,13,13,8041,80,54,446.811.101.641.029
589018,1,3,70,5,70,1,,2,5,1,,5,8,,,,,,,,,,1,,2,,2,2,1,45,50,5511,55,54,376.479.094.875.688
589066,1,4,70,5,70,3,,2,5,1,,4,8,,,,,,,,,,1,,2,,2,2,1,54,53,5521,55,54,655.116.782.803.695
589095,1,3,70,36,48,1,,2,28,1,,9,6,,,,,,,,,,1,,2,,2,2,1,97,97,2693,26,54,702.240.793.179.479
589095,1,6,70,2,48,1,,2,7,2,,9,1,,,,,,,,,,1,,2,,2,2,1,62,97,7514,75,54,702.240.793.179.479
589107,1,2,70,8,40,4,,2,8,4,,9,1,,,,,,,,,,1,,2,,2,2,1,13,13,8043,80,54,433.551.354.013.558
589108,1,2,70,4,48,4,,2,8,4,,9,8,,,,,,,,,,1,,2,,2,2,1,13,13,8043,80,54,421.844.440.872.546
589109,1,4,70,4,48,4,,2,8,4,,9,1,,,,,,,,,,1,,2,,2,2,1,13,13,8043,80,54,447.030.801.886.427
589116,1,1,70,12,48,3,,2,8,3,,1,1,,,,,,,,1,,,,2,,2,2,1,54,54,9500,95,54,822.502.394.062.044
589117,1,2,70,52,60,4,,2,52,4,,1,1,,,,,,,,,,1,,2,,2,2,1,13,80,1921,19,54,479.643.287.407.878
589121,1,4,70,4,48,3,,2,4,3,,1,6,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,54,382.163.139.237.597
589125,1,3,70,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,54,62.776.070.705.823
589125,1,4,70,12,48,8,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,54,62.776.070.705.823
589126,1,4,70,8,48,8,,2,8,8,,2,8,,,,,,,,,,1,,2,,2,2,1,62,62,117,1,54,570.181.560.768.296
589131,1,3,70,3,48,8,,2,3,8,,2,4,,,,,,,,,,1,,1,200000,2,2,1,62,62,115,1,54,102.467.542.011.523
589131,1,4,70,4,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,84,,,,54,102.467.542.011.523
589132,1,2,70,8,40,2,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,2,1,32,45,5211,52,54,116.360.909.847.328
589134,1,2,70,5,48,1,,2,60,1,,9,6,,,,,,,,,,1,,2,,2,2,1,45,45,5125,51,54,77.338.574.733.156
589135,1,3,70,3,48,1,,2,3,1,,9,2,,,,,,,,,,1,,2,,2,2,1,32,59,4530,45,54,978.035.362.524.488
589169,1,2,70,4,40,8,,2,13,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,115,1,54,120.374.009.722.971
589189,1,1,70,24,48,8,,2,2,8,,2,1,,,,,,,,,,1,,1,300000,2,2,1,62,62,111,1,54,440.486.383.219.567
589191,1,10,70,4,48,8,,2,4,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,54,698.217.804.507.485
589241,1,1,70,1,48,8,,2,3,8,,3,1,,,,,,,,,,1,,1,200000,2,2,1,62,62,111,1,5,291.240.696.519.937
589243,1,2,70,3,48,8,,2,3,8,,2,1,,,,,,,,,,1,,1,80000,2,2,1,62,62,111,1,5,28.217.286.003.963
589246,1,3,70,30,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,97,,,,5,903.217.642.053.306
589252,1,2,70,4,48,4,,2,8,1,,2,1,,,,,,,,,,1,,2,,2,2,1,53,53,5521,55,5,304.009.653.295.639
589258,1,1,70,3,60,1,,2,3,4,,1,1,,,,,,,,,,1,,1,47000,2,2,1,53,79,1810,18,5,930.284.098.899.577
589265,1,2,70,6,48,1,,2,56,1,,5,1,,,,,,,,,,1,,2,,2,2,1,32,32,3120,31,5,846.845.495.322.115
