DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;clase;DPTO;AREA;fex_c_2011
1139718;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;48,5321506876118
1139718;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;420000; ;2;2;2; ;2;1;18;18;48,5321506876118
1139718;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;48,5321506876118
1139718;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;48,5321506876118
1139718;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;48,5321506876118
1139719;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;4800000;2;1;2; ;2;1;18;18;43,957275588834
1139720;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;6000000;2;1;2; ;2;1;18;18;66,6709883367074
1139721;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1900000; ;2;2;2; ;2;1;18;18;73,9346782151304
1139722;1;1;1;95;1; ;2;2;1000000; ; ;1;1;1;2; ; ; ;960000; ;2;2;2; ;2;1;18;18;42,0985371747082
1139723;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;73,4465345338431
1139723;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2400000;2;1;2; ;2;1;18;18;73,4465345338431
1139723;1;3;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;690000; ;2;2;2; ;2;1;18;18;73,4465345338431
1139723;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;73,4465345338431
1139724;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;18;18;46,7190166735708
1139724;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;600000; ;2;2;2; ;2;1;18;18;46,7190166735708
1139725;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;720000; ;2;2;2; ;2;1;18;18;57,1849451900397
