directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
120982;1;1;1;1,3;7;1;06;13;13;186,127079888541
120982;1;3;1;1,3;7;1;06;13;13;186,127079888541
120982;1;4;2; ; ;1;06;13;13;186,127079888541
120982;1;5;2; ; ;1;06;13;13;186,127079888541
120982;1;6;2; ; ;1;06;13;13;186,127079888541
120983;1;2;2; ; ;1;06;13;13;329,752232215761
120983;1;3;2; ; ;1;06;13;13;329,752232215761
120983;1;4;2; ; ;1;06;13;13;329,752232215761
120989;1;2;2; ; ;1;06;11;11;1151,15585063285
120989;1;3;1;4;4;1;06;11;11;1151,15585063285
120991;1;3;1;1,4;2;1;06;11;11;3662,92712283957
120991;1;5;1;4;3;1;06;11;11;3662,92712283957
120992;1;1;1;4;5;1;06;73;73;76,2947793668358
120994;1;3;2; ; ;1;06;68;68;187,26533718045
120995;1;3;2; ; ;1;06;13;13;385,741196617262
120995;1;4;2; ; ;1;06;13;13;385,741196617262
120995;1;5;2; ; ;1;06;13;13;385,741196617262
120996;1;3;2; ; ;1;06;68;68;457,802680190083
120998;1;1;1;4;5;1;06;76;76;615,015981643687
120998;1;2;1;1,3;7;1;06;76;76;615,015981643687
120999;1;2;1;3;1;1;06;13;13;338,483794495684
120999;1;3;1;3;3;1;06;13;13;338,483794495684
121008;1;2;1;1,3;9;1;06;13;13;339,184424314123
121008;1;3;1;1,2;8;1;06;13;13;339,184424314123
121008;1;4;2; ; ;1;06;13;13;339,184424314123
121009;1;1;1;4;5;1;06;11;11;1251,3786660031
121009;1;2;1;4;4;1;06;11;11;1251,3786660031
121014;1;1;2; ; ;1;06;68;68;354,398327928814
121014;1;3;1;1,4;7;1;06;68;68;354,398327928814
121014;1;4;1;4;7;1;06;68;68;354,398327928814
121015;1;2;1;3;3;1;06;66;66;183,822629104905
121017;1;1;1;4;9;1;06;76;76;1040,67218763026
121024;1;1;1;2;8;1;06;11;11;1587,89889497425
121024;1;2;1;1,2;9;1;06;11;11;1587,89889497425
121029;1;1;1;1,4;3;1;06;11;11;3155,80090893742
121029;1;3;2; ; ;1;06;11;11;3155,80090893742
121032;1;2;1;1,3;6;1;06;68;68;1182,13928166808
121032;1;3;2; ; ;1;06;68;68;1182,13928166808
121032;1;4;2; ; ;1;06;68;68;1182,13928166808
121035;1;1;1;4;5;1;06;73;73;42,5692773422343
121036;1;1;1;4;7;1;06;50;50;169,276757376417
121036;1;2;1;1,2;9;1;06;50;50;169,276757376417
121038;1;3;2; ; ;1;06;11;11;3260,12369282537
121039;1;3;2; ; ;1;06;54;54;464,746264569272
121039;1;4;2; ; ;1;06;54;54;464,746264569272
121047;1;1;1;3;5;1;06;66;66;189,099995517908
121047;1;2;1;4;4;1;06;66;66;189,099995517908
121048;1;2;2; ; ;1;06;76;76;764,200581626999
121049;1;1;1;1,3;1;1;06;11;11;574,669207821505
121049;1;6;2; ; ;1;06;11;11;574,669207821505
121051;1;3;2; ; ;1;06;54;54;491,698576486483
121052;1;3;1;3;5;1;06;73;73;65,3498187439947
121056;1;1;1;4;5;1;06;73;73;49,9583536313194
121056;1;2;2; ; ;1;06;73;73;49,9583536313194
121058;1;1;2; ; ;1;06;68;68;473,031978496561
121060;1;2;1;1,3;3;1;06;54;54;501,783502932492
121060;2;2;2; ; ;1;06;54;54;501,783502932492
121061;1;3;1;4;5;1;06;73;73;70,1084754564342
121068;1;1;1;4;9;1;06;17;17;264,767239062415
121068;1;2;2; ; ;1;06;17;17;264,767239062415
121068;1;3;1;3;5;1;06;17;17;264,767239062415
121068;1;4;2; ; ;1;06;17;17;264,767239062415
121071;1;1;1;4;3;1;06;76;76;574,777601691047
121072;1;2;2; ; ;1;06;76;76;659,611025032546
121074;1;1;1;4;5;1;06;52;52;91,3322169543683
121075;1;1;1;1,3;9;1;06;11;11;5843,9931464689
121076;1;1;1;4;4;1;06;66;66;155,126667158921
121076;1;2;1;4;5;1;06;66;66;155,126667158921
121079;1;2;1;4;3;1;06;68;68;648,076835311271
121081;1;1;1;4;5;1;06;76;76;2937,09281927403
121081;1;7;2; ; ;1;06;76;76;2937,09281927403
121090;1;1;1;4;5;1;06;17;17;288,422336506378
121093;1;1;1;4;5;1;06;13;13;355,081170153483
121093;1;2;2; ; ;1;06;13;13;355,081170153483
121096;1;2;1;4;1;1;06;68;68;1233,89727825801
121097;1;2;1;2;3;1;06;66;66;270,718167748775
121099;1;2;1;4;3;1;06;17;17;485,192470876355
121099;1;7;2; ; ;1;06;17;17;485,192470876355
121100;1;2;2; ; ;1;06;66;66;83,399023703283
121100;1;3;2; ; ;1;06;66;66;83,399023703283
121104;1;2;1;1,2;3;1;06;76;76;946,660478738998
121111;1;4;2; ; ;1;06;08;08;620,46650167755
121112;1;1;1;4;1;1;06;76;76;536,485184732036
121117;1;1;1;4;7;1;06;76;76;1099,45334487165
121117;1;2;1;4;8;1;06;76;76;1099,45334487165
121117;1;3;1;1,2;2;1;06;76;76;1099,45334487165
121122;1;3;2; ; ;1;06;76;76;1017,56705367202
121124;1;2;1;3;3;1;06;76;76;1101,29156099787
121127;1;1;1;3;8;1;06;17;17;129,800476325039
121127;1;2;1;4;5;1;06;17;17;129,800476325039
121134;1;1;1;4;4;1;06;17;17;272,3384536167
121134;1;2;2; ; ;1;06;17;17;272,3384536167
121138;1;3;2; ; ;1;06;66;66;547,102437554949
121140;1;4;2; ; ;1;06;76;76;397,103986301737
121144;1;2;1;4;5;1;06;68;68;244,0162212907
121144;1;3;2; ; ;1;06;68;68;244,0162212907
121149;1;1;1;1,3;7;1;06;52;52;254,694190035893
