DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4229293;1;1;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;213,300683967187
4229293;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;213,300683967187
4229293;1;4;1;80;17;1;3;4; ;2; ; ;4; ;2; ;2; ;1;01;17;213,300683967187
4229295;1;1;1;80;17;1;4;7; ;1; ;4;8; ;2; ;2; ;1;01;17;174,785576636204
4229296;1;1;1;80;17;1;4;4; ;2; ; ;1; ;3; ;2; ;1;01;17;174,785576636204
4229297;1;1;1;80;17;1;4;5; ;2; ; ;8; ;3; ;2; ;1;01;17;153,340565841488
4229299;1;2;1;80;17;1;4;7; ;2; ; ;1; ;2; ;2; ;1;01;17;187,623945746531
4229303;1;1;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;107,466515922474
4229303;1;3;1;80;17;1;4;6; ;1; ;4;9; ;2; ;2; ;1;01;17;107,466515922474
4229303;1;4;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;107,466515922474
4229304;1;3;1;80;17;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;17;191,447473406592
4229305;1;1;1;80;17;1;1;8; ;2; ; ;12;ESTA ESPERANDO QUE LO LLAMEN;2; ;2; ;1;01;17;213,610605047336
4229306;1;3;1;80;17;1;1;8; ;2; ; ;2; ;2; ;2; ;1;01;17;170,831654536899
4229306;1;4;1;80;17;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;17;170,831654536899
4229307;1;1;1;80;17;1;4;5; ;2; ; ;4; ;3; ;2; ;1;01;17;196,433412107085
4229307;1;3;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;196,433412107085
4229307;1;7;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;196,433412107085
4229308;1;2;1;80;17;1;1;3; ;2; ; ;9; ;2; ;2; ;1;01;17;349,423434043233
4229309;1;1;1;80;17;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;17;174,785576636204
4229310;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;181,524677063937
