DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448127;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;230000;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;653,247638744421
448128;05;1;5;4;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;865,710535714718
448129;05;1;5;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;960,928196879304
448130;05;1;6;4;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;827,283430366992
448131;05;1;5;2;3;1;1;1;1;1;1; ; ;15000000;150000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;822,344898349138
448132;05;1;3;2;3;1;1;1;1;1;3; ; ; ; ;160000;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;599,241715215923
448133;05;1;4;2;1;1;1;1;1;4;1; ; ;35000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;691,38142008733
448134;05;1;2;2;1;1;1;1;2;1;1; ; ;16000000;140000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;960,928196879304
448135;05;1;5;4;1;1;1;1;1;1;1; ; ;40000000;200000; ;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;824,078566379521
448137;05;1;5;2;1;1;1;1;1;1;1; ; ;30000000;300000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;599,241715215923
448138;05;1;5;4;1;1;1;1;1;4;1; ; ;60000000;250000; ;1;1;2;2;1;1;1;2;2;2;1;1;1;2;1;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;798,96070301241
448139;05;1;3;2;1;1;1;1;1;1;1; ; ;20000000;150000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;814,105519160031
448140;05;1;4;3;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;801,119448117324
448141;05;1;5;3;1;1;1;1;1;1;1; ; ;40000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;960,928196879304
448143;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;100000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;765,265492813775
448146;05;1;5;3;1;1;1;1;1;1;3; ; ; ; ;200000;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;643,577211577475
448147;05;1;4;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;2;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;774,225127058616
448148;05;1;8;6;1;1;1;1;1;1;1; ; ;60000000;300000; ;1;2;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;772,466062767448
448149;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;765,265492813775
448150;05;1;6;2;1;1;1;1;1;3;3; ; ; ; ;280000;1;1;2;2;1;1;1;2;2;1;1;2;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;722,713941201206
448151;05;1;3;2;1;1;1;1;1;3;1; ; ;60000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;960,928196879304
448152;05;1;6;4;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;1;2;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;797,105832947723
