Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3508051;1;2;1;80;1;2; ; ; ;2; ;2; ;1;4; ;9; ;1;07;15;81,6772277446602;15
3508051;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;81,6772277446602;15
3508051;1;4;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;07;15;81,6772277446602;15
3508052;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;8;2;1;07;15;60,0973287321893;15
3508052;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;60,0973287321893;15
3508052;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;60,0973287321893;15
3508053;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;255,711971266364;15
3508056;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;15;87,7530418264912;15
3508058;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;73,5826661659545;15
3508060;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;229,756527832887;15
3508061;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;54;312,033986077127;54
3508061;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;54;312,033986077127;54
3508062;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;54;328,793180084915;54
3508063;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;54;328,793180084915;54
3508065;1;1;1;80;1;1;2;5; ;2; ;2; ; ; ; ;9;2;1;07;54;406,246622711568;54
3508066;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;54;328,793180084915;54
