Directorio;Secuencia_p;Orden;Area;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Dpto;Fex_c_2011
345182;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;983,490410302486
345183;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;966,45053335103
345185;2;1;05;95;1; ;1;2; ; ;300000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345185;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345185;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345185;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345185;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345185;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1020,95484138938
345186;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;600000; ; ; ;2;2;2;05;1067,27371118241
345186;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;650000; ; ; ;2;2;2;05;1067,27371118241
345187;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1003,91496443792
345187;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1003,91496443792
345187;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;207000; ; ; ;2;2;2;05;1003,91496443792
345188;2;1;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;753,642618249301
345188;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;753,642618249301
345188;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;753,642618249301
345188;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;753,642618249301
345189;2;1;05;95;2; ; ; ; ; ; ; ;1;1;2;2; ; ; ; ;4800000; ;2;2;2;05;998,376184664086
345190;2;1;05;95;1; ;2;1; ;1185000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;799,066626190376
345190;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;799,066626190376
345190;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;799,066626190376
345191;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;711,468378282419
345191;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;711,468378282419
345191;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;711,468378282419
345191;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;711,468378282419
345191;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;711,468378282419
345192;2;1;05;95;1; ;2;1; ;750000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345192;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345193;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;100000; ; ; ;2;2;2;05;846,950140975848
345193;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;846,950140975848
345193;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;100000; ; ; ;2;2;2;05;846,950140975848
345194;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;100000; ; ; ;2;2;2;05;832,057575375444
345194;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;832,057575375444
345194;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;832,057575375444
345194;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;832,057575375444
345194;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;832,057575375444
345194;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;832,057575375444
345195;2;1;05;95;1; ;1;2; ; ;180000;2;1;2;2;2; ; ; ; ; ;600000;2;1;2;05;945,571997289914
345195;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;945,571997289914
345195;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;945,571997289914
345195;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;945,571997289914
345196;2;1;05;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,425372934865
345196;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;862,425372934865
345197;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;960000;2;1;2;05;966,45053335103
345198;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;40000; ; ; ;2;2;2;05;998,852024938683
345198;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;998,852024938683
345199;2;1;05;95;1; ;2;1; ;437000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;964,572293434089
345199;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;964,572293434089
345200;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;938,617630672982
345200;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;938,617630672982
345201;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1005,79320435486
345201;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1005,79320435486
345202;2;1;05;95;1; ;1;1; ;437000;160000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;835,440372650066
345204;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;616,147139967197
345204;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;616,147139967197
345204;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;616,147139967197
345205;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,922099703711
345205;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;831,922099703711
345206;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1127,50810544811
345206;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1127,50810544811
345207;2;1;05;95;1; ;1;2; ; ;220000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;835,440372650066
345208;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1067,27371118241
345208;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1067,27371118241
345209;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;120000;2;1;2;05;874,783043653897
345209;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345210;2;1;05;95;1; ;2;1; ;582000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;966,45053335103
345211;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;300000;2;1;2;05;835,440372650066
345212;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;991,557293718887
345212;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;991,557293718887
345212;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;991,557293718887
345214;2;1;05;95;1; ;1;1; ;1300000;700000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345214;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;874,783043653897
345215;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;98; ; ; ;2;2;2;05;983,991637332269
345215;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;983,991637332269
345215;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;983,991637332269
345215;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;90000; ; ; ;2;2;2;05;983,991637332269
345215;2;5;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;280000; ; ;1560000;2;1;2;05;983,991637332269
345215;2;7;05;95;1; ;2;1; ;873683; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;983,991637332269
345216;2;1;05;95;1; ;2;1; ;791000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;665,493401498522
345216;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;665,493401498522
