DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2710486,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,900.559.669.263.703
2710486,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,900.559.669.263.703
2710486,1,3,1,50,2,,,3,3,,1,,,,,,,,,,,,6,63,900.559.669.263.703
2710486,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,63,900.559.669.263.703
2710486,1,5,1,50,2,,,5,3,,2,2,2,2,2,,,,,,,,6,63,900.559.669.263.703
2710486,1,6,1,50,2,,,6,4,,2,2,2,2,2,,,,,,,,6,63,900.559.669.263.703
2710487,1,1,1,50,2,,,1,6,ARREGLAR CERCOS Y LIMPIAR POTRERO,2,2,2,2,2,,,,,,,,6,63,103.786.238.292.831
2710487,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,103.786.238.292.831
2710488,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,930.374.438.641.125
2710489,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,810.992.955.997.888
2710489,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,810.992.955.997.888
2710489,1,3,1,50,2,6,,3,2,,2,2,2,1,,,,,,,,1,6,63,810.992.955.997.888
2710489,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,6,63,810.992.955.997.888
2710489,1,5,1,50,2,,,4,5,,,,,,,,,,,,,,6,63,810.992.955.997.888
2710490,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,928.288.768.733.878
2710490,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,928.288.768.733.878
2710490,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,63,928.288.768.733.878
2710491,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,103.846.846.842.363
2710491,1,2,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,63,103.846.846.842.363
2713623,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,576.742.519.769.094
2713623,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,2,,1,4,1,6,63,576.742.519.769.094
2713623,1,3,1,50,2,,,3,3,,1,,,,,,,,,,,,6,63,576.742.519.769.094
2713623,1,4,1,50,2,,,4,3,,1,,,,,,,,,,,,6,63,576.742.519.769.094
2713623,1,5,1,50,2,,,5,3,,2,2,2,2,1,8,,2,,2,,,6,63,576.742.519.769.094
2713625,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,114.064.692.787.765
2713625,1,2,1,50,2,,,2,4,,2,2,2,2,1,9,,,,,,,6,63,114.064.692.787.765
2713625,1,3,1,50,2,,,1,6,VISITAR FAMILIAR EN CARTAGO,2,2,2,2,2,,,,,,,,6,63,114.064.692.787.765
2713626,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,93.507.783.797.896
2713638,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,120.094.507.673.142
2713638,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,120.094.507.673.142
2713638,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,63,120.094.507.673.142
2713638,1,5,1,50,2,,,5,4,,2,2,2,2,2,,,,,,,,6,63,120.094.507.673.142
2713638,1,6,1,50,2,,,6,1,,,,,,,,,,,,,,6,63,120.094.507.673.142
