Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;p6269;Dpto;Fex_c_2011
3922306;1;2;1;10;2;2;1;5;1970;45;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;860,936429717167
3922306;1;3;1;10;3;2;1;3;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;41;860,936429717167
3922306;1;4;1;10;4;1;1;11;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;41;860,936429717167
3922306;1;5;1;10;5;1;1;7;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;01; ;41;860,936429717167
3922306;1;6;1;10;6;2;1;4;1996;19;3;4;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;41;860,936429717167
3922306;1;7;1;10;6;1;1;8;2015;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;860,936429717167
3922306;1;8;1;10;2;1;1;5;2008;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;860,936429717167
3922307;1;1;1;10;2;1;1;11;1977;38;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1693,01994290972
3922307;1;2;1;10;2;2;1;12;1983;32;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1693,01994290972
3922307;1;3;1;10;2;1;1;9;2000;15;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;41;1693,01994290972
3922307;1;4;1;10;4;2;1;12;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;41;1693,01994290972
3922308;1;1;1;10;1;1;1;6;1982;33;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;2058,77966886755
3922308;1;2;1;10;2;2;1;3;1989;26;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;41;2058,77966886755
3922308;1;3;1;10;3;1;1;8;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;2058,77966886755
3922308;1;4;1;10;4;2;1;6;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;41;2058,77966886755
3922308;1;5;1;10;2;2;1;7;2010;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;41;2058,77966886755
3922308;1;6;1;10;2;1;1;8;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;2058,77966886755
3922309;1;1;1;10;2;1;1;7;1987;28;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1530,32014224184
3922309;1;2;1;10;2;2;1;5;1990;25;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1530,32014224184
3922309;1;3;1;10;2;1;1;1;2010;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;01; ;41;1530,32014224184
3922309;1;4;1;10;2;2;1;5;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1530,32014224184
3922310;1;1;1;10;1;1;1;8;1966;49;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;793,257181414767
3922310;1;2;1;10;2;2;1;3;1971;44;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;793,257181414767
3922310;1;3;1;10;3;2;1;3;1991;24;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;793,257181414767
3922310;1;4;1;10;4;1;1;12;2000;15;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;793,257181414767
3922312;1;1;1;10;1;2;1;12;1954;61;1;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1034,78322816653
3922312;1;2;1;10;1;2;1;7;1944;71;5;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1034,78322816653
3922312;1;3;1;10;1;1;1;5;1964;51;8;6;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1034,78322816653
3922313;1;1;1;10;1;1;1;12;1960;55;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;675,227773576702
3922313;1;2;1;10;1;2;1;12;1970;45;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;675,227773576702
3922313;1;3;1;10;1;1;1;5;1998;17;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;675,227773576702
3922313;1;4;1;10;4;2;1;5;1999;16;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;675,227773576702
3922313;1;5;1;10;5;2;1;12;2003;12;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;675,227773576702
3922313;1;6;1;10;1;2;1;2;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;675,227773576702
3922315;1;1;1;10;2;1;1;4;1963;52;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;41;1273,68805136294
3922315;1;2;1;10;2;2;1;12;1970;45;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1273,68805136294
3922315;1;3;1;10;2;1;1;12;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1273,68805136294
3922315;1;4;1;10;2;1;1;2;2014;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1273,68805136294
3922315;1;5;1;10;2;1;1;4;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1273,68805136294
3922316;1;1;1;10;2;1;1;12;1949;66;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;835,072106688089
3922316;1;2;1;10;2;2;1;2;1953;62;2;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;41;835,072106688089
3922317;1;1;1;10;1;2;1;10;1973;42;1;2;2;1;84; ; ; ;1;2;2; ;3;1; ;2;1;01; ;41;514,694917216887
3922317;1;2;1;10;2;2;1;11;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;514,694917216887
3922317;1;3;1;10;2;1;1;1;2008;8;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;01; ;41;514,694917216887
3922318;1;1;1;10;2;1;1;4;1984;31;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;989,364083795557
3922318;1;2;1;10;2;2;1;6;1990;25;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;989,364083795557
3922318;1;3;1;10;2;1;1;8;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;989,364083795557
3922319;1;1;1;10;1;1;1;12;1970;45;1;3;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;01; ;41;1235,71851168101
3922320;1;1;1;10;1;1;1;8;1970;45;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;514,694917216887
3922320;1;2;1;10;2;2;1;11;1971;44;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;514,694917216887
3922320;1;3;1;10;3;2;1;7;2001;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;41;514,694917216887
3922320;1;4;1;10;4;2;1;3;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;01; ;41;514,694917216887
3922321;1;1;1;10;1;1;1;5;1978;37;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;630,557380746889
3922321;1;2;1;10;2;2;1;12;1985;30;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;630,557380746889
3922321;1;3;1;10;3;2;1;12;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;01; ;41;630,557380746889
3922321;1;4;1;10;2;1;1;8;2009;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;01; ;41;630,557380746889
3922325;1;1;1;10;1;2;1;9;1976;39;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1152,06388446344
3922325;1;2;1;10;1;1;1;1;2001;15;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;41;1152,06388446344
3922325;1;3;1;10;1;1;1;11;1976;39;9;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1152,06388446344
3922327;1;1;1;10;1;2;1;9;1972;43;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1005,17213355986
3922327;1;2;1;10;2;2;1;9;1997;18;3;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1005,17213355986
3922327;1;3;1;10;2;2;1;1;2016;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1005,17213355986
3922327;1;4;1;10;4;2;1;3;1999;16;3;4;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;41;1005,17213355986
3922327;1;5;1;10;4;2;1;1;2015;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1005,17213355986
3922328;1;1;1;10;2;1;1;9;1969;46;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;514,694917216887
3922328;1;2;1;10;2;2;1;3;1970;45;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;514,694917216887
3922328;1;3;1;10;3;2;1;10;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;41;514,694917216887
3922328;1;4;1;10;4;2;1;4;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;514,694917216887
3922328;1;5;1;10;5;2;1;4;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;514,694917216887
3922328;1;6;1;10;2;2;1;2;2014;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;514,694917216887
3922329;1;1;1;10;1;1;1;8;1968;47;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;989,364083795557
3922329;1;2;1;10;2;2;1;7;1975;40;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;989,364083795557
3922329;1;3;1;10;2;1;1;11;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;989,364083795557
3922330;1;1;1;10;1;1;1;9;1947;68;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;835,072106688089
3922330;1;2;1;10;1;2;1;1;1951;65;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;835,072106688089
3922331;1;1;1;10;1;2;1;5;1952;63;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;928,922192676531
3922333;1;1;1;10;1;1;1;10;1960;55;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;514,694917216887
3922333;1;2;1;10;2;2;1;10;1968;47;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;514,694917216887
3922333;1;3;1;10;2;2;1;12;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;41;514,694917216887
3922333;1;4;1;10;2;2;1;5;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;514,694917216887
3922333;1;5;1;10;2;2;1;4;2013;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;514,694917216887
3922335;1;1;1;10;1;1;1;6;1940;75;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;41;835,072106688089
3922335;1;2;1;10;2;2;1;5;1937;78;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;835,072106688089
3922337;1;1;1;10;1;1;1;6;1959;56;1;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;935,539748445331
3922338;1;1;1;10;1;1;1;10;1963;52;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;847,202100011868
3922338;1;2;1;10;1;2;1;2;1969;46;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;847,202100011868
3922339;1;1;1;10;2;1;1;1;1983;33;1;2;2;1;6; ; ; ;1;1;2; ;3;5; ;2;5;01; ;41;1958,82392552491
3922339;1;2;1;10;2;2;1;12;1992;23;2;2;2;1;6; ; ; ;1;1;2; ;5;11;2;2;11;01; ;41;1958,82392552491
3922339;1;3;1;10;2;2;1;1;2009;7;3; ;2;1;6; ; ; ;1;2;1;1;3;0; ;2;0;01; ;41;1958,82392552491
3922339;1;4;1;10;2;2;1;1;2012;3;3; ;2;1;6; ; ; ;1;2;2; ;1;0; ;2;0;01; ;41;1958,82392552491
3922340;1;1;1;10;1;1;1;11;1977;38;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1029,35145540948
3922340;1;2;1;10;2;2;1;6;1986;29;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1029,35145540948
3922340;1;3;1;10;2;2;1;12;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;1029,35145540948
3922340;1;4;1;10;2;2;1;7;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;1029,35145540948
3922342;1;1;1;10;2;1;1;1;1943;73;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;835,072106688089
3922342;1;2;1;10;2;2;1;1;1958;58;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;835,072106688089
3922343;1;1;1;10;2;1;1;9;1981;34;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1672,48212602553
3922343;1;2;1;10;2;2;1;3;1986;29;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1672,48212602553
3922343;1;3;1;10;2;1;1;7;2009;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;01; ;41;1672,48212602553
3922343;1;4;1;10;2;1;1;3;2011;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;41;1672,48212602553
3922343;1;5;1;10;2;2;1;9;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1672,48212602553
3922344;1;1;1;10;1;1;1;1;1977;39;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1280,26832126395
3922344;1;2;1;10;1;2;1;5;1980;35;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1280,26832126395
3922344;1;3;1;10;1;2;1;3;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;41;1280,26832126395
3922344;1;4;1;10;1;1;1;1;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;1280,26832126395
3922344;1;5;1;10;1;1;1;4;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;1280,26832126395
3922344;1;6;1;10;1;2;1;8;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;1280,26832126395
3922344;1;7;1;10;1;2;1;7;2011;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;41;1280,26832126395
3922345;1;1;1;10;1;1;1;10;1964;51;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1152,06388446344
3922345;1;2;1;10;2;2;1;2;1976;39;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1152,06388446344
3922345;1;3;1;10;3;1;1;12;1992;23;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1152,06388446344
3922351;1;1;1;10;2;1;1;8;1975;40;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1744,9744388269
3922351;1;2;1;10;2;2;1;3;1952;63;5;4;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1744,9744388269
3922351;1;3;1;10;2;1;2; ; ;24;3;6;2;1;60; ; ; ;1;1;2; ;3;5; ;2;5;01; ;41;1744,9744388269
3922351;1;4;1;10;4;1;1;6;1992;23;5;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1744,9744388269
3922353;1;1;1;10;1;1;1;4;1959;56;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;41;635,240401962777
3922353;1;2;1;10;1;2;1;2;1964;51;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;635,240401962777
3922353;1;3;1;10;1;1;1;3;2000;15;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;41;635,240401962777
3922353;1;4;1;10;4;2;1;2;2000;15;4;6;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;41;635,240401962777
3922353;1;5;1;10;1;1;1;8;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;635,240401962777
3922354;1;1;1;10;1;2;1;12;1971;44;1;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;1093,38919874645
3922354;1;2;1;10;2;1;1;4;1999;16;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1093,38919874645
3922354;1;3;1;10;1;2;1;4;2002;13;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1093,38919874645
3922354;1;4;1;10;1;2;1;5;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;41;1093,38919874645
3922354;1;5;1;10;1;1;1;4;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;41;1093,38919874645
3922354;1;6;1;10;1;2;1;11;2010;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1093,38919874645
3922354;1;7;1;10;7;2;1;6;1997;18;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1093,38919874645
3922354;1;8;1;10;7;2;1;3;2014;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1093,38919874645
3922355;1;1;1;10;1;2;1;8;1943;72;1;5;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;41;928,922192676531
3922356;1;1;1;10;1;1;1;8;1978;37;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;2058,77966886755
3922356;1;2;1;10;1;1;1;9;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;41;2058,77966886755
3922356;1;3;1;10;1;2;1;9;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;2058,77966886755
3922356;1;4;1;10;1;1;1;10;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;2058,77966886755
3922359;1;1;1;10;2;1;1;4;1982;33;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;630,557380746889
3922359;1;2;1;10;2;2;1;12;1971;44;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;630,557380746889
3922359;1;3;1;10;3;2;1;6;1996;19;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;01; ;41;630,557380746889
3922359;1;4;1;10;2;1;1;8;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;41;630,557380746889
3922360;1;1;1;10;1;2;1;3;1984;31;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1029,35145540948
3922360;1;2;1;10;2;1;1;6;1973;42;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1029,35145540948
3922360;1;3;1;10;3;2;1;10;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;01; ;41;1029,35145540948
3922360;1;4;1;10;1;2;1;6;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1029,35145540948
3922361;1;1;1;10;1;1;1;8;1981;34;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1294,22586824713
3922361;1;2;1;10;2;2;1;6;1983;32;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1294,22586824713
3922361;1;3;1;10;2;1;1;2;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;41;1294,22586824713
3922361;1;4;1;10;2;1;1;2;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;41;1294,22586824713
3922362;1;1;1;10;1;1;1;8;1977;38;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1029,35145540948
3922362;1;2;1;10;2;2;1;3;1983;32;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1029,35145540948
3922362;1;3;1;10;2;2;1;2;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;41;1029,35145540948
3922362;1;4;1;10;2;2;1;2;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;1029,35145540948
3922363;1;1;1;10;1;1;1;10;1955;60;1;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;01; ;41;1041,40078393533
3922363;1;2;1;10;2;2;1;2;1955;60;2;3;1; ; ;1;2;120000;2;1;2; ;5;11;2;2;11;01; ;41;1041,40078393533
3922363;1;3;1;10;2;1;1;2;1980;35;3;4;2;1;180; ; ; ;1;1;2; ;5;11;2;2;11;01; ;41;1041,40078393533
3922365;1;1;1;10;1;2;1;1;1970;46;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;692,789539657525
3922365;1;2;1;10;2;1;1;12;1986;29;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;692,789539657525
3922365;1;3;1;10;1;1;1;1;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;41;692,789539657525
3922365;1;4;1;10;1;2;1;1;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;01; ;41;692,789539657525
3922365;1;5;1;10;5;2;1;6;1937;78;5;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;692,789539657525
3922366;1;1;1;10;1;2;1;9;1985;30;1;6;1; ; ;1;1;48000;2;1;2; ;6;5;4;2;16;01; ;41;640,873422764631
3922371;1;1;1;10;1;1;1;1;1943;73;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;933,566834868128
3922371;1;2;1;10;2;2;1;8;1944;71;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;933,566834868128
3922371;1;3;1;10;3;2;1;3;1981;34;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;933,566834868128
3922371;1;4;1;10;3;2;1;1;2001;15;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;41;933,566834868128
3922371;1;5;1;10;3;1;1;6;2002;13;4;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;41;933,566834868128
3922371;1;6;1;10;3;2;1;6;2008;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;933,566834868128
3922372;1;1;1;10;1;1;1;8;1961;54;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1029,35145540948
3922372;1;2;1;10;2;2;1;4;1981;34;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;1029,35145540948
3922372;1;3;1;10;2;2;1;10;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;01; ;41;1029,35145540948
3922372;1;4;1;10;2;2;1;2;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;1029,35145540948
3922373;1;1;1;10;1;2;1;12;1956;59;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;1135,25086992377
3922373;1;2;1;10;1;1;1;11;1990;25;3;6;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;41;1135,25086992377
3922383;1;1;1;10;1;1;1;5;1946;69;1;4;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;01; ;41;935,539748445331
3922384;1;1;1;10;1;1;1;1;1974;42;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;1235,71851168101
3922385;1;1;1;10;1;2;1;9;1960;55;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;1159,3918127491
3922385;1;2;1;10;2;1;1;1;1983;33;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1159,3918127491
3922385;1;3;1;10;3;1;1;8;1986;29;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1159,3918127491
3922385;1;4;1;10;4;2;1;5;1984;31;3;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1159,3918127491
3922385;1;5;1;10;5;1;1;7;1985;30;5;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;41;1159,3918127491
3922386;1;1;1;10;1;1;1;1;1953;63;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;1376,02816513437
3922386;1;2;1;10;2;2;1;5;1954;61;2;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;01; ;41;1376,02816513437
3922386;1;3;1;10;2;2;1;3;2009;6;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;41;1376,02816513437
3922387;1;1;1;10;1;1;1;1;1941;75;1;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;01; ;41;730,879662586325
3922387;1;2;1;10;2;2;1;5;1940;75;2;3;1; ; ;1;5; ;1;2;2; ;3;2; ;2;2;01; ;41;730,879662586325
3922387;1;3;1;10;3;2;1;9;1985;30;3;2;1; ; ;1;3;199000;2;1;1;2;6;3;3;2;14;01; ;41;730,879662586325
3922387;1;4;1;10;3;1;1;10;2010;5;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;41;730,879662586325
3922387;1;5;1;10;3;1;1;8;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;41;730,879662586325
3922388;1;1;1;10;1;1;1;11;1963;52;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;41;514,694917216887
3922388;1;2;1;10;2;2;1;9;1971;44;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;41;514,694917216887
3922388;1;3;1;10;3;2;1;6;1994;21;3;6;1; ; ;3; ; ;2;1;1;1;6;2;2;2;13;01;2;41;514,694917216887
3922389;1;1;1;10;1;1;1;6;1955;60;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;41;547,023336776189
3922389;1;2;1;10;2;2;1;6;1961;54;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;41;547,023336776189
