DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295133;1;3;1;10;2;2;10;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;03;70;759,421626350865
4295134;1;1;1;10;1;2;4;1989;27;1;1;1; ; ;3; ; ;2;1;1;2;6;4;3; ;2;15;03;70;635,892369663301
4295134;1;2;1;10;2;1;6;1994;22;2;1;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;03;70;635,892369663301
4295135;1;1;1;10;1;1;7;1972;44;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;862,081877592521
4295135;1;2;1;10;2;2;2;1973;44;2;3;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;70;862,081877592521
4295135;1;3;1;10;3;1;3;1997;20;3;6;1; ; ;1;4; ;2;1;2; ;6;2;3; ;2;13;03;70;862,081877592521
4295135;1;4;1;10;4;1;9;1998;18;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;03;70;862,081877592521
4295135;1;5;1;10;5;1;11;1999;17;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;03;70;862,081877592521
4295135;1;6;1;10;1;2;9;2008;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;862,081877592521
4295135;1;7;1;10;1;2;8;2010;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;03;70;862,081877592521
4295136;1;1;1;10;1;1;6;1990;26;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;826,363243509443
4295136;1;2;1;10;2;2;9;1992;24;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;826,363243509443
4295136;1;3;1;10;2;2;1;2013;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;826,363243509443
4295137;1;1;1;10;1;2;12;1973;43;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;810,148197395059
4295137;1;2;1;10;2;1;9;1961;55;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;810,148197395059
4295138;1;1;1;10;1;1;1;1948;69;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;774,459003511761
