DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4411939;1;2;1;70;2;32;50;1; ;2;52;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;03;03;52;1;2;5272;08;50;803,504620518804
4411978;1;2;1;70;2;13;48;1; ;2;13;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;53;55;1;1;5521;08;50;887,516281569144
4411978;1;3;1;70;2;104;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;39;53;55;1;2;5521;08;50;887,516281569144
4411981;1;1;1;70;2;104;48;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;39;03;11;1;2;1110;08;50;769,550992679768
4411981;1;3;1;70;2;17;60;1; ;2;17;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;85;85;11;1;2;1110;08;50;769,550992679768
4411988;1;1;1;70;2;33;60;1; ;2;32;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;98;98;60;1;2;6041;08;50;511,241133695691
4411989;1;2;1;70;2;8;40;1; ;2;16;1; ;4;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;53;55;1;1;5521;08;50;1161,18224740505
4411991;1;3;1;70;2;3;60;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2400000;800000;2; ;97;55;11;1;1;1120;08;50;1795,06651473321
4411993;1;1;1;70;2;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;1000000;2; ;59;59;85;1;1;8512;08;50;511,241133695691
4411993;1;3;1;70;2;13;60;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;95; ; ;1;1; ;08;50;511,241133695691
4412040;1;1;1;70;2;3;50;8; ;2;3;8; ;8;2;3; ; ; ; ; ; ; ; ; ; ;1;1;960000;737717;2; ;62;62;01;1;1;0115;08;50;1440,98846011018
4412041;1;1;1;70;2;12;72;8; ;2;24;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1000000;2; ;62;62;01;1;1;0115;08;50;851,936016145573
4412066;1;5;1;70;2;8;45;8; ;2;8;8; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;62;62;01;1;1;0114;08;50;1015,04789692062
4412073;1;2;1;70;2;3;60;8; ;2;3;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;750000;2; ;62;62;01;1;1;0115;08;50;1063,95164963997
4412077;1;2;1;70;2;204;48;1; ;2;204;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;53;59;11;1;2;1110;08;50;887,516281569144
