Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3769802;1;2;1;80;76;1;4;7; ;2; ;2; ; ; ; ;4;2;1;07;76;839,819900195856
3769803;1;1;1;80;76;1;4;3; ;2; ;1;50000; ; ; ;9;2;1;07;76;894,107497926662
3769873;1;1;1;80;73;1;1;3; ;3; ;1;15000; ; ; ;9;2;1;07;73;175,116069998606
3769873;1;2;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;175,116069998606
3769873;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;175,116069998606
3769875;1;3;1;80;73;2; ; ; ;2; ;2; ;1;2;EL PAPA NO LE DEJA TRABAJAR;12; ;1;07;73;253,113532652477
3769875;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;253,113532652477
3769876;1;5;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;216,688602749782
3769878;1;6;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;402,320957462692
3769882;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;217,812520329828
3769885;1;1;1;80;73;1;2;7; ;3; ;2; ; ; ; ;10;2;1;07;73;256,543917735078
3769885;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;256,543917735078
3769885;1;5;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;256,543917735078
3769886;1;1;1;80;73;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;73;243,625816493095
3769887;1;1;1;80;73;1;3;7; ;3; ;2; ; ; ; ;1;2;1;07;73;256,261085283333
3769887;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;256,261085283333
3769887;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;256,261085283333
3769887;1;5;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;256,261085283333
3769888;1;1;1;80;73;1;4;7; ;2; ;2; ; ; ; ;9;2;1;07;73;217,812520329828
3769890;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;301,342761704629
3769890;1;5;1;80;73;1;2;2; ;2; ;2; ; ; ; ;8;2;1;07;73;301,342761704629
3769892;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;73;207,63618710081
3769892;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;207,63618710081
