Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3692264;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1227,46783592083
3692265;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1656,44025528446
3692265;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;30; ; ; ; ; ; ;2;03;63;1656,44025528446
3692266;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;1406,88567102703
3692266;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;42; ; ; ; ; ; ; ; ;2;03;63;1406,88567102703
3692267;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;03;63;907,280049555861
3692267;1;2;1;90;1;1;2;2;2;2;2;2;2;2;5;10; ; ; ; ; ; ; ; ;2;03;63;907,280049555861
3692267;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;03;63;907,280049555861
3692268;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;03;63;1406,88567102703
3692268;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;03;63;1406,88567102703
3692269;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1747,41170823036
3692269;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;1747,41170823036
3692269;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;63;1747,41170823036
3692270;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;30; ; ;20; ; ; ; ; ;2;03;63;1665,64528049191
3692270;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1665,64528049191
3692271;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;2802,72570140563
3692271;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;20; ; ; ; ; ; ;2;03;63;2802,72570140563
3692271;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;5; ;3; ; ; ; ; ; ;2;03;63;2802,72570140563
