Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3682990;1;5;1;80;08;1;4;5; ;3; ;2; ; ; ; ;4;2;1;03;08;469,948919905788
3682991;1;3;1;80;08;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;08;458,651114449909
3682991;1;4;1;80;08;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;08;458,651114449909
3682992;1;3;1;80;08;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;08;510,07744805584
3682993;1;1;1;80;52;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;52;161,183202555082
3682994;1;2;1;80;52;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;52;265,496467318269
3682995;1;1;1;80;52;1;3;5; ;3; ;2; ; ; ; ;10;2;1;03;52;180,715801423285
3682996;1;2;1;80;52;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;52;201,372740448389
3682997;1;2;1;80;52;1;3;5; ;3; ;2; ; ; ; ;10;2;1;03;52;153,324268639177
3682999;1;2;1;80;52;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;52;226,581748048962
3683001;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;143,627763324926
3683001;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;143,627763324926
3683002;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;120,057640166094
3683005;1;1;1;80;52;1;2;7; ;2; ;2; ; ; ; ;9;2;1;03;52;215,811080711197
3683005;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;52;215,811080711197
3683008;1;2;1;80;52;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;52;123,563192463134
3683008;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;123,563192463134
3683009;1;1;1;80;52;1;4;6; ;2; ;2; ; ; ; ;8;2;1;03;52;186,392210155656
3683012;1;4;1;80;52;2; ; ; ;2; ;2; ;1;1; ;2; ;1;03;52;180,084504892795
3683013;1;1;1;80;52;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;52;142,333054147567
3683016;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;150,578990681296
3683018;1;3;1;80;73;1;2;8; ;2; ;2; ; ; ; ;2;2;1;03;73;229,735035928613
3683019;1;2;1;80;73;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;73;229,735035928613
3683021;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;8;2;1;03;73;236,346317229085
3683022;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;73;283,81367463101
3683022;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;73;283,81367463101
3683023;1;1;1;80;73;1;1;4; ;2; ;2; ; ; ; ;11;2;1;03;73;266,1911753451
3683024;1;1;1;80;73;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;73;324,14905501467
3683025;1;2;1;80;73;1;2;8; ;2; ;2; ; ; ; ;9;2;1;03;73;384,537350169767
3683028;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;283,81367463101
3683029;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;73;283,81367463101
3683029;1;2;1;80;73;1;4;4; ;3; ;2; ; ; ; ;4;2;1;03;73;283,81367463101
3683030;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;322,128487518184
3683032;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;371,616412416595
3683033;1;1;1;80;73;2; ; ; ;2; ;2; ;1;2; ;4; ;1;03;73;236,346317229085
3683034;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;73;283,81367463101
3683034;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;73;283,81367463101
3683035;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;228,85562603733
3683035;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;228,85562603733
3683037;1;2;1;80;73;1;1;4; ;2; ;2; ; ;1; ;9;1;1;03;73;345,778521675268
3683037;1;11;1;80;73;1;3;2; ;2; ;2; ; ;2; ;9;1;1;03;73;345,778521675268
3683038;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;229,735035928613
3683040;1;1;1;80;73;1;4;6; ;2; ;2; ; ; ; ;4;2;1;03;73;283,81367463101
3683041;1;3;1;80;73;1;1;2; ;2; ;2; ; ;1; ;2;1;1;03;73;186,585046539441
3683041;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;186,585046539441
3683045;1;2;1;80;73;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;73;270,693118015674
3683046;1;1;1;80;73;1;3;9;NO QUIZO TRABAJAR MAS;2; ;2; ; ; ; ;11;2;1;03;73;236,346317229085
3683047;1;1;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;236,346317229085
3683049;1;1;1;80;73;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;73;270,508543357854
3683049;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;270,508543357854
