Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
187884;2;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;17;1240,7475743443
187885;2;1;90; ;2;1;1;2;2;2;2;2;2;2;2;2; ;7;4; ; ; ; ; ; ; ; ; ;2;17;1413,5815662472
187885;2;2;90; ;2;2;1;2;2;2;1;2;2;2;2;2; ; ;30; ; ; ;4; ; ; ; ; ;2;17;1413,5815662472
187885;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;2;17;1413,5815662472
187886;2;1;90; ;1;2;1;2;2;2;2;2;2;2;2;2;7; ;56; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;2;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;3;90; ;1;2;1;2;2;2;2;2;2;2;2;2;7; ;8; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;4;90; ;1;2;1;2;2;2;2;2;2;2;2;2;7; ;28; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;5;90; ;1;2;1;2;2;2;2;2;2;2;2;2;5; ;56; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187886;2;8;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;17;778,903396362328
187887;2;1;90; ;2;1;1;2;2;2;2;2;2;2;2;2; ;4;35; ; ; ; ; ; ; ; ; ;2;17;1155,41498787122
187887;2;2;90; ;2;1;1;2;2;2;2;2;2;2;2;2; ;5;21; ; ; ; ; ; ; ; ; ;2;17;1155,41498787122
187887;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;2;17;1155,41498787122
189173;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;2;54;1048,11270654064
189173;2;2;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;30; ; ; ; ; ; ; ;2;54;1048,11270654064
189173;3;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;54;1048,11270654064
189173;3;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;50; ; ; ; ; ; ; ; ; ;2;54;1048,11270654064
189175;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;7; ;35; ;20; ; ; ; ; ; ; ;2;54;858,441788310953
189175;2;2;90; ;1;2;2;2;2;2;2;2;2;2;2;2;10; ; ; ; ; ; ; ; ; ; ; ;2;54;858,441788310953
189178;2;1;90; ;1;2;2;2;1;2;2;2;1;2;2;2;7; ; ; ;4; ; ; ;2; ; ; ;2;54;724,255334063676
189178;2;2;90; ;1;2;1;2;1;2;2;2;2;2;2;2;14; ;30; ;20; ; ; ; ; ; ; ;2;54;724,255334063676
189179;2;1;90; ;2;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ; ; ;10; ; ; ;2;54;902,623358512353
189179;2;2;90; ;2;1;1;2;1;2;2;2;2;2;2;2; ;7;10; ;20; ; ; ; ; ; ; ;2;54;902,623358512353
189179;2;3;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;10; ; ; ; ; ; ; ;2;54;902,623358512353
189179;2;4;90; ;1;2;1;2;1;2;2;2;2;2;2;2;4; ;5; ;5; ; ; ; ; ; ; ;2;54;902,623358512353
189180;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;7; ;30; ;20; ; ; ; ; ; ; ;2;54;656,196881692602
189183;2;1;90; ;1;1;2;2;2;2;2;2;2;2;2;2;6;25; ; ; ; ; ; ; ; ; ; ;2;54;1134,25763136484
189183;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;40; ;10; ; ; ; ; ; ; ;2;54;1134,25763136484
189183;2;3;90; ;2;1;2;2;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ; ; ;2;54;1134,25763136484
189184;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;2;54;640,04808705212
189184;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;2;54;640,04808705212
189184;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;2;54;640,04808705212
189185;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;5; ;35; ;25; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;12; ;12; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;4;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;5;90; ;2;2;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ; ; ;10; ; ;2;54;887,348339217816
189185;2;6;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;7;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
189185;2;8;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;54;887,348339217816
