DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5272878;1;4;3;1;1;1;1;1;3;3; ; ; ; ;700000;2;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1102,03833005632
5272879;1;4;3;1;1;1;1;1;3;3; ; ; ; ;550000;2;1;2;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;6;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;15;1;11;15;157,033207874057
5272880;1;4;3;1;1;1;1;1;3;3; ; ; ; ;1200000;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;3;4;1;1;1;1;1;4;1;5;1;1;1;3;1;1;01;15;1;11;15;248,071351095821
5272881;1;5;3;1;1;1;1;1;3;3; ; ; ; ;880000;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;1;2;1;4;4;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;15;1;11;15;120,851988214847
5272882;1;3;1;1;1;1;1;1;3;1; ; ;200000000;1000000; ;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;15;1;11;15;100,658713044864
5272883;1;4;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;68;1;11;68;390,404383976125
5272884;1;5;2;1;1;1;1;1;3;1; ; ;250000000;1200000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2;2;2; ;1;2;1;4;1;6;1;1;1;3;1;1;01;68;1;11;68;445,928874260696
5272885;1;4;2;1;1;1;1;1;3;1; ; ;230000000;1100000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;2;2; ;1;2;1;4;1;6;1;1;1;3;1;1;01;68;1;11;68;484,135002201428
5272886;1;5;3;1;1;1;1;1;3;1; ; ;250000000;1000000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;6;1;1;1;3;1;1;01;68;1;11;68;527,620211711008
5272887;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;15;1;11;15;138,650751198567
