DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4708336;1;2;1;70;76;8;36;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;54; ; ;1;1; ;09;76;1299,96827810762
4708351;1;2;1;70;76;24;40;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;32;85;1;2;8512;09;76;1154,47432886422
4708356;1;1;1;70;76;8;48;1; ;2;8;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;33;52;1;1;5239;09;76;1017,59996381103
4708361;1;2;1;70;76;52;20;1; ;2;52;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;4000000;2; ;53;45;52;1;2;5244;09;76;896,106184302875
4708361;1;4;1;70;76;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;53; ; ;1;1; ;09;76;896,106184302875
4708365;1;2;1;70;76;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;95;95;45;1;1;4521;09;76;1373,89719331148
4708366;1;3;1;70;76;12;48;1; ;2;32;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;59;85;1;1;8520;09;76;1204,54582014913
4708370;1;1;1;70;76;35;48;4; ;2;35;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;3; ;05;05;74;1;2;7414;09;76;987,841372560475
4708388;1;1;1;70;76;11;44;1; ;2;11;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;32;85;1;1;8512;09;76;831,480013753204
4708404;1;2;1;70;76;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5239;09;76;800,268023124047
