DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,CLASE,FT,DPTO,AREA,fex_c_2011
926395,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,990.697.998.819.728
926395,1,3,1,90,,2,,1,2,2,1,2,2,2,2,2,,,28,,,7,,,,,,1,1,5,5,990.697.998.819.728
926395,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,1,1,5,5,990.697.998.819.728
926395,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,990.697.998.819.728
926396,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,1,,,,,,,,,1,1,5,5,888.168.916.005.052
926396,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,888.168.916.005.052
926397,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,1,1,5,5,735.130.636.867.004
926397,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,1,1,5,5,735.130.636.867.004
926397,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,735.130.636.867.004
926398,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,56,,,,,,,,,1,1,5,5,790.427.486.966.953
926398,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,1,1,5,5,790.427.486.966.953
926399,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,28,,60,,,,,,,1,1,5,5,880.692.183.723.681
926399,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,880.692.183.723.681
926400,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,1,1,5,5,84.981.860.947.263
926400,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,49,,,,,,,,,1,1,5,5,84.981.860.947.263
926400,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,84.981.860.947.263
926401,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,90.584.551.447.153
926401,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,90.584.551.447.153
926401,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,1,1,5,5,90.584.551.447.153
926401,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,90.584.551.447.153
926402,1,1,1,90,,2,,1,2,1,2,2,2,2,2,2,,,7,,21,,,,,,,1,1,5,5,834.259.840.120.218
926402,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,60,,,,,,,1,1,5,5,834.259.840.120.218
926403,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,104.993.630.256.814
926403,1,2,1,90,,2,,1,2,2,1,2,2,2,2,2,,,48,,,30,,,,,,1,1,5,5,104.993.630.256.814
926403,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,1,1,5,5,104.993.630.256.814
926405,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,1,1,5,5,813.824.328.936.633
926406,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,863.609.122.513.469
926406,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,56,,,,,,,,,1,1,5,5,863.609.122.513.469
926406,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,13,,,,,,,,,1,1,5,5,863.609.122.513.469
926407,1,1,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,4,,,,,,,1,1,5,5,729.146.294.096.672
926407,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,35,,35,,,,,,,1,1,5,5,729.146.294.096.672
926407,1,3,1,90,,2,,1,2,1,2,2,2,2,2,2,,,20,,41,,,,,,,1,1,5,5,729.146.294.096.672
926408,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,671.486.638.955.465
926408,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,1,1,5,5,671.486.638.955.465
926408,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,671.486.638.955.465
