DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
926589;1;3;1;80;5;2;;;;3;;2;;2;;.;;;1;5;758.223.324.208.624
926591;1;2;1;80;5;1;3;5;;2;;2;;;;;11;2;1;5;709.340.098.982.725
926593;1;1;1;80;5;1;4;6;;2;;2;;;;;1;2;1;5;937.052.141.230.952
926594;1;1;1;80;5;1;4;0;;2;;2;;;3;;8;1;1;5;87.494.691.880.678
926596;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;720.702.916.689.734
926597;1;1;1;80;5;1;3;3;;3;;2;;;;;8;2;1;5;51.558.711.059.561
926597;1;2;1;80;5;1;4;3;;2;;2;;;;;4;2;1;5;51.558.711.059.561
926597;1;5;1;80;5;1;1;1;;2;;2;;;;;2;2;1;5;51.558.711.059.561
926597;1;6;1;80;5;2;;;;2;;2;;2;;.;;;1;5;51.558.711.059.561
926600;1;2;1;80;5;1;2;2;;2;;2;;;;;9;2;1;5;121.501.466.719.029
926600;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;121.501.466.719.029
926600;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;121.501.466.719.029
926601;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;15.910.963.865.038
926601;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;15.910.963.865.038
926602;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;584.110.491.625.467
926603;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;684.708.636.153.737
926604;1;3;1;80;5;1;1;7;;2;;2;;;;;2;2;1;5;857.295.341.754.001
926605;1;2;1;80;5;1;3;2;;2;;2;;;;;9;2;1;5;880.692.183.723.681
926609;1;2;1;80;5;1;3;2;;2;;2;;;;;9;2;1;5;744.099.758.659.414
926609;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;744.099.758.659.414
926610;1;3;1;80;5;1;2;7;;3;;2;;;;;10;2;1;5;82.509.296.711.002
926612;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;934.326.716.140.005
926614;1;1;1;80;5;1;4;3;;3;;2;;;;;10;2;1;5;894.815.749.272.891
926616;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;795.548.193.251.899
926617;1;2;1;80;5;1;1;7;;2;;2;;;;;1;2;1;5;857.295.341.754.001
926619;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;865.738.719.160.939
926620;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;839.715.434.038.627
