DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2509400;1;2;1;70;1;12;48;1; ;2;12;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;02;74;1;1;7421;09;41;41;118,224275918058
2509400;1;3;1;70;1;12;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;09;41;41;118,224275918058
2509401;1;3;1;70;1;24;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;06; ; ;1;2; ;09;41;41;114,840311995833
2509432;1;2;1;70;1;16;40;1; ;2;16;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5522;09;50;50;233,982686051022
2509444;1;3;1;70;1;12;48;1; ;2;12;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;45;52;1;1;5234;09;50;50;122,823765371334
2509445;1;1;1;70;1;24;72;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;2;4542;09;50;50;227,077244390717
2509470;1;3;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;09;52;52;126,203267215768
2509474;1;5;1;70;1;4;48;1; ;2;39;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;09;52;52;77,7256292906184
2509475;1;2;1;70;1;1;48;4; ;2;8;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;32;50;1;1;5020;09;52;52;126,203267215768
2509479;1;4;1;70;1;104;25;4; ;2;728;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;53;55;1;2;5521;09;52;52;113,890987906283
2509481;1;4;1;70;1;8;40;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;53;95;45;1;1;4522;09;52;52;184,810568417971
2509490;1;2;1;70;1;2;40;1; ;2;2;1; ;2;9;LA HOJA DEL SISBEN; ; ; ; ; ; ; ; ;1; ;1;240000;2;77;77;15;1;1;1551;09;52;52;175,927469300047
2509491;1;4;1;70;1;52;40;1; ;2;52;9;TRABAJABO PARA UN ASALARIAD;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;80;1;2;8043;09;52;52;129,976379012805
2509498;1;4;1;70;1;8;48;3; ;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;54;53;55;1;1;5521;09;54;54;298,263385824659
2509501;1;2;1;70;1;2;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;54;54;381,572871879362
2509510;1;3;1;70;1;16;48;1; ;2;16;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;35;60;1;2;6022;09;63;63;154,283632238677
2509518;1;1;1;70;1;52;48;1; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5239;09;63;63;123,788993198024
2509521;1;3;1;70;1;24;42;1; ;2;32;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;41;52;1;2;5237;09;63;63;222,845910160042
2509530;1;4;1;70;1;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;63;63;190,027906214845
2509537;1;2;1;70;1;12;48;1; ;2;22;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;54;85;1;1;8532;09;63;63;112,09874644768
2509540;1;1;1;70;1;3;50;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;09;63;63;172,759131363344
2509544;1;1;1;70;1;4;60;1; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;98;98;60;1;1;6041;09;63;63;126,959118462213
2509552;1;1;1;70;1;36;48;4; ;2;66;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;73;02;1;2;0202;09;63;63;245,687749825598
2509554;1;5;1;70;1;48;50;1; ;2;80;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8511;09;63;63;319,943732604856
2509561;1;2;1;70;1;2;40;3; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;09;63;63;103,103240076578
2509562;1;1;1;70;1;24;40;5; ;2;120;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;33;74;1;2;7411;09;63;63;98,6037844184409
2509575;1;3;1;70;1;4;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;44;44;64;1;1;6421;09;63;63;128,62984846449
2509586;1;1;1;70;1;12;40;1; ;2;85;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;85;1;1;8532;09;63;63;151,550642709885
2509593;1;2;1;70;1;24;40;2; ;2;24;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8050;09;63;63;111,394454424529
2509594;1;2;1;70;1;12;48;1; ;2;12;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;15;75;1;1;7512;09;63;63;98,6037844184409
2509597;1;3;1;70;1;12;48;1; ;2;30;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;95;45;1;1;4521;09;66;66;106,943379431241
2509597;1;5;1;70;1;32;48;1; ;2;36;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;09;66;66;106,943379431241
2509597;1;8;1;70;1;32;24;4; ;2;48;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;56;18;1;2;1810;09;66;66;106,943379431241
2509601;1;2;1;70;1;104;48;4; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;64;1;2;6421;09;66;66;280,300448988257
2509603;1;3;1;70;1;32;60;1; ;2;13;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;62;01;1;2;0140;09;66;66;240,242816274536
