DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2632911;1;3;1;70;2;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;2;70;168.346.448.250.481
2633043;1;3;1;70;2;2;40;1;;2;2;4;;8;4;;;;;;;;;;1;;1;535600;2;97;97;15;1;1;1572;2;76;16.818.579.637.534
2633115;1;2;1;70;2;4;48;3;;2;110;3;;1;2;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;2;76;144.153.569.312.626
2633116;1;1;1;70;2;2;48;1;;2;108;1;;9;7;;;;;;;;;;1;;2;;2;58;58;63;1;1;6333;2;76;136.774.735.550.564
2633153;1;1;1;70;2;3;45;8;;2;3;8;;2;1;;;;;;;;;;1;;1;140000;2;62;62;1;1;1;111;2;76;72.392.639.994.798
2633162;1;1;1;70;2;2;48;8;;2;2;4;;1;1;;;;;;;;;;1;;2;;2;62;63;2;1;1;201;2;76;528.523.092.909.337
2633381;1;3;1;70;2;2;48;4;;2;1;4;;2;1;;;;;;;;;;1;;2;;2;61;61;1;1;1;118;2;20;148.830.761.674.078
2634185;1;1;1;70;2;2;45;1;;2;2;1;;2;1;;;;;;;;;;1;;1;50000;2;53;53;55;1;1;5521;2;54;464.444.843.875.544
2634231;1;3;1;70;2;52;42;1;;2;52;1;;9;1;;;;;;;;;;1;;2;;2;32;13;80;1;2;8043;2;54;58.473.469.404.352
2634232;1;3;1;70;2;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;55;;;1;2;;2;54;459.969.960.376.103
2634280;1;1;1;70;2;12;48;1;;2;12;1;;5;1;;;;;;;;1;;;;2;;2;95;95;45;1;1;4521;2;54;462.459.917.263.658
2634300;1;2;1;70;2;1;48;1;;2;2;3;;2;1;;;;;;;;;;1;;1;75000;2;53;54;95;1;1;9500;2;54;532.427.442.310.576
2634366;1;1;1;70;2;2;48;3;;2;2;3;;1;8;;;;;;;;;;1;;1;300000;2;54;54;95;1;1;9500;2;54;563.912.604.296.226
2634375;1;1;1;70;2;6;50;1;;2;6;4;;9;1;;;;;;;;;;1;;2;;2;95;62;75;1;1;7512;2;54;749.144.060.513.686
