DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4229823;1;2;1;70;52;3;9;1; ;2;3;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;1;200000;54;54;80;1;1;8011;01;52;206,334220034706
4229825;1;3;1;70;52;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;52;206,334220034706
4229827;1;1;1;70;52;28;40;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;59;63;1;2;6331;01;52;192,778812922683
4229828;1;1;1;70;52;104;40;1; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;85;85;52;1;2;5272;01;52;186,511045541683
4229828;1;3;1;70;52;4;48;1; ;2;26;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;34;79;18;1;1;1810;01;52;186,511045541683
4229832;1;2;1;70;52;52;48;1; ;2;52;2; ;9;2;3; ; ; ; ; ;1; ; ; ; ; ;2; ;11;05;75;1;2;7513;01;52;193,261217404336
4229834;1;1;1;70;52;2;55;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;98;98;60;1;1;6021;01;52;206,334220034706
4229834;1;3;1;70;52;2;40;1; ;2;2;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;320000;03;45;52;1;1;5233;01;52;206,334220034706
4229842;1;1;1;70;52;3;48;4; ;2;3;4; ;6;2;1; ; ; ;1;1; ; ; ; ; ; ;1;3000000;02;02;45;1;1;4530;01;52;287,58445228622
4229844;1;3;1;70;52;13;44;1; ;2;13;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;52;250,405963993763
4229852;1;2;1;70;52;52;24;1; ;2;78;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;08;13;80;1;2;8050;01;52;237,975889728024
4229859;1;2;1;70;52;8;40;1; ;2;8;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;07;45;51;1;1;5136;01;52;184,139290292951
4229861;1;2;1;70;52;4;40;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;620000;54;54;85;1;1;8532;01;52;255,942782592902
4229861;1;3;1;70;52;2;40;1; ;2;2;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;240000;84;84;50;1;1;5020;01;52;255,942782592902
4229862;1;4;1;70;52;2;40;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;95;57;93;1;1;9302;01;52;244,229978449275
4229865;1;1;1;70;52;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;41;52;1;1;5233;01;52;215,478192177594
4229866;1;2;1;70;52;26;30;4; ;2;26;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;41;32;85;1;2;8515;01;52;155,903092438902
4229866;1;5;1;70;52;104;40;4; ;2;156;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6031;01;52;155,903092438902
4229878;1;2;1;70;52;2;40;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;33;41;52;1;1;5234;01;52;225,549576881566
4229885;1;2;1;70;52;4;48;1; ;2;4;1; ;9;2;4; ; ; ; ;1; ; ; ; ; ; ;1;2290000;21;21;80;1;1;8050;01;52;171,406448218536
4229886;1;1;1;70;52;9;48;1; ;2;13;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5237;01;52;221,015010776733
4229887;1;3;1;70;52;4;35;1; ;2;4;1; ;6;2;3; ; ; ; ;1; ; ; ; ; ; ;1;688450;13;13;80;1;1;8041;01;52;126,209371413196
4229895;1;1;1;70;52;6;36;2; ;2;4;1; ;9;2;1; ; ; ;1; ; ; ; ; ; ; ;1;1200000;13;13;80;1;1;8046;01;52;196,569364558691
4229895;1;2;1;70;52;4;40;1; ;2;4;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;400000;45;32;74;1;1;7411;01;52;196,569364558691
4229896;1;2;1;70;52;4;40;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;45;45;52;1;1;5211;01;52;171,406448218536
4229899;1;2;1;70;52;52;48;1; ;2;13;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;44;70;1;2;7020;01;52;201,100169244242
4229900;1;6;1;70;52;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;52;233,152579831715
4229901;1;2;1;70;52;52;48;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5261;01;52;206,334220034706
4229902;1;3;1;70;52;1;48;1; ;2;6;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;02;02;80;1;1;8050;01;52;127,119956868034
4229905;2;2;2;70;52;13;40;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5244;01;52;228,009352547529
