DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927816;1;1;1;95;1;2;1; ;606320; ;2;1;2;2; ; ; ; ; ;2;2;2;644000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;866,187687710765
3927816;1;2;1;95;2; ; ; ; ; ; ;1;2;1; ;264000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;866,187687710765
3927816;1;3;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;960000;2;1;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;866,187687710765
3927816;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;866,187687710765
3927817;1;1;1;95;2; ; ; ; ; ; ;1;2;2;5200000; ; ; ;1200000;2;1;1; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1129,43101424184
3927817;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1129,43101424184
3927818;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;944,734416467561
3927818;1;2;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;1200000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;944,734416467561
3927819;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;98;2;1;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1077,34111554004
3927820;1;1;1;95;1;2;1; ;689000; ;2;1;2;2; ; ; ; ; ;2;2;2;1990000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1022,46264882957
