DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
3203481;1;1;1;70;1;250;24;1; ;2;250;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;55;52;1;2;5211;05;17;139,18358397234;17
3203481;1;3;1;70;1;24;48;1; ;2;32;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;05;17;139,18358397234;17
3203484;2;2;2;70;1;2;48;1; ;2;192;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;1;6421;05;17;235,335493465508;17
3203485;1;1;1;70;1;2;60;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;05;17;247,8115820111;17
3203485;1;2;1;70;1;8;50;1; ;2;44;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;53;55;1;1;5521;05;17;247,8115820111;17
3203487;1;3;1;70;1;12;50;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;93;45;1;1;4552;05;17;193,309837056445;17
3203491;1;1;1;70;1;2;48;1; ;2;2;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;589500;2;58;58;70;1;1;7020;05;66;376,262407013119;66
3203496;1;2;1;70;1;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;93;95;45;1;2;4521;05;66;297,938801110519;66
3203504;1;1;1;70;1;12;48;4; ;2;104;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;95;1;1;9500;05;66;266,124142733706;66
3203521;1;1;1;70;1;1;48;3; ;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;05;27;46,930303554851;27
3203544;1;4;1;70;1;1;48;4; ;2;520;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;05;54;746,847745172305;54
3203559;1;4;1;70;1;32;54;1; ;2;48;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;54;374,93014793201;54
3203566;1;2;1;70;1;5;60;4; ;2;64;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;38;64;1;1;6421;05;54;368,698464400197;54
3203567;1;1;1;70;1;4;50;4; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;550000;2;45;33;15;1;1;1551;05;54;352,685780787153;54
3203568;1;3;1;70;1;6;44;1; ;2;58;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;19;1;1;1921;05;54;354,447115289571;54
3203569;1;1;1;70;1;3;48;1; ;2;3;1; ;4;6; ; ; ; ; ; ; ;1; ; ; ;1;640000;2;45;45;52;1;1;5233;05;54;377,65398251658;54
3203569;1;2;1;70;1;2;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;54;377,65398251658;54
3203574;1;4;1;70;1;2;72;4; ;2;2;1; ;3;6; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;58;95;45;1;1;4521;05;54;372,035991050959;54
3203597;1;3;1;70;1;4;20;1; ;2;48;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;92;1;1;9214;05;20;128,152061303692;20
