DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2615655,1,1,1,1,1,1,1,6,,3,,,,,150000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,3,1,6,1,2,1,1,1,3,4,1,1,17,2,17,1,179.446.626.417.262
2615656,1,1,1,1,2,1,1,2,2,3,,,,,150000,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,2,1,3,1,6,1,2,1,1,1,3,4,1,1,17,2,17,1,165.408.849.283.232
2615657,1,1,1,1,2,1,1,6,,3,,,,,150000,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,3,1,6,1,2,1,1,1,3,4,1,1,17,2,17,1,16.901.308.276.711
2615659,1,3,2,1,1,1,1,1,3,3,,,,,630000,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,,2,1,2,1,5,1,1,1,1,1,5,2,1,1,17,2,17,1,181.612.579.844.134
2615660,1,4,2,1,1,1,1,1,3,3,,,,,640000,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,151.827.556.205.112
2615662,1,5,2,1,1,1,1,1,3,3,,,,,1300000,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,48.712.602.275.817
2615663,1,3,1,1,1,1,1,1,3,3,,,,,900000,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,693.629.930.787.737
2615665,1,4,1,1,1,1,1,1,3,1,,,250000000,1100000,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,853.223.532.565.454
2615666,1,3,1,1,1,1,1,1,3,1,,,180000000,800000,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,,1,1,2,1,3,1,1,1,1,1,6,3,1,1,68,2,68,1,86.736.196.109.237
2615669,1,6,1,1,1,1,1,1,3,4,,,,1100000,,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,3,1,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,375.345.512.941.464
2615671,1,3,1,1,1,1,1,1,3,1,,,250000000,900000,,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,411.940.090.334.099
2615672,1,6,2,1,1,1,1,1,3,4,,,,1200000,,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,443.204.735.071.283
2615673,1,5,1,1,1,1,1,1,3,1,,,250000000,1500000,,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,86.736.196.109.237
2615677,1,5,3,1,1,1,1,1,3,1,,,260000000,1000000,,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,6,3,1,1,68,2,68,1,477.468.735.122.819
2615679,1,5,1,1,1,1,1,1,3,3,,,,,830000,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,4,3,1,1,68,2,68,1,823.880.180.668.198
