DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
1072301;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;4800000;2;1;2; ;2;05;05;967,778171935807
1072301;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;967,778171935807
1072302;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;168000; ; ; ;2;2;2; ;2;05;05;960,51213576224
1072302;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;960,51213576224
1072302;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;960,51213576224
1072302;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;960,51213576224
1072303;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1041,80757100507
1072303;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1041,80757100507
1072304;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;30000; ; ; ;2;2;2; ;2;05;05;1045,55621772842
1072304;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;17000; ; ; ;2;2;2; ;2;05;05;1045,55621772842
1072305;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;1200000;2;1;2; ;2;05;05;829,218876377526
1072305;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;829,218876377526
1072307;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1164,23612067292
1072307;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1164,23612067292
1072307;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;80000; ; ; ;2;2;2; ;2;05;05;1164,23612067292
1072307;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1164,23612067292
1072308;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;771,675534744787
1072308;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;6000000;2;1;2; ;2;05;05;771,675534744787
1072309;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1064,60296125688
1072309;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1064,60296125688
1072309;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;60000; ; ; ;2;2;2; ;2;05;05;1064,60296125688
1072309;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1064,60296125688
1072310;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;600000; ; ; ;2;2;2; ;2;05;05;1034,92957421391
1072310;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1034,92957421391
1072311;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1291,10242433543
1072311;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;80000; ; ; ;2;2;2; ;2;05;05;1291,10242433543
1072311;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;84000; ; ; ;2;2;2; ;2;05;05;1291,10242433543
1072313;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072313;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072313;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
