DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
905577;1;1;1;2;1;4;2;4;1;;;99;99;;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;;;;1;2;2;15;1;115.449.997.719.128
905579;1;4;3;6;;4;1;5;1;;;98;50000;;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;1;1;2;1;15;1;162.553.099.686.662
905581;1;5;1;2;1;5;1;4;1;;;99;99;;2;2;2;2;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;1;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;15;1;150.233.636.884.726
905584;1;3;1;6;;4;1;5;5;;;;99;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;15;1;866.627.830.433.042
905585;1;4;1;2;1;3;2;5;1;;;99;99;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;15;1;895.063.625.670.507
905587;1;3;2;2;1;3;2;5;1;;;99;99;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;4;1;2;2;2;2;2;;;1;2;1;15;1;948.252.038.254.067
905589;1;3;1;2;1;3;2;5;1;;;99;99;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;93.086.055.304.949
905595;1;5;1;6;;3;2;5;1;;;99;99;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;2;2;;;1;2;1;15;1;13.629.299.555.249
905597;1;2;1;6;;4;2;5;4;;;;99;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;3;1;2;2;2;2;2;;;1;2;1;15;1;155.552.478.143.082
905598;1;2;2;2;1;4;2;5;1;;;99;99;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;113.870.333.801.527
905601;1;2;1;6;;4;1;5;5;;;;60000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;15;1;107.183.394.043.215
905602;1;2;1;6;;4;3;5;1;;;98;98;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;;;1;2;1;15;1;122.291.551.986.949
905603;1;4;2;6;;4;2;5;1;;;98;98;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;117.509.249.698.133
905605;1;3;2;6;;4;2;5;1;;;98;98;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;2;;;1;2;1;15;1;988.208.951.945.772
905607;1;3;2;6;;4;2;5;1;;;98;98;;2;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;3;2;1;2;2;2;2;2;;;1;2;1;15;1;129.547.336.457.394
905608;1;2;2;2;1;4;2;5;5;;;;98;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;15;1;948.252.038.254.067
905610;1;6;3;2;1;4;2;5;1;;;98;98;;2;2;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;15;1;141.768.821.190.084
905613;1;3;1;2;1;4;2;5;1;;;98;98;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;2;1;;;1;2;1;15;1;93.086.055.304.949
905614;1;3;2;2;1;4;2;5;1;;;98;98;;2;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;2;;;1;2;1;15;1;103.823.771.292.763
905615;1;3;2;6;;4;2;5;4;;;;98;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;116.557.215.919.245
905619;1;2;1;2;1;4;2;4;4;;;;98;;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;13.154.528.238.117
905621;1;2;1;6;;4;2;5;1;;;98;98;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;2;2;2;2;2;;;;1;2;1;15;1;162.612.388.935.165
905624;1;2;2;2;1;4;2;5;1;;;98;98;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;2;1;;;1;2;1;15;1;93.086.055.304.949
905625;1;4;4;2;1;3;1;4;1;;;98;98;;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;1;1;2;1;15;1;131.190.589.805.127
905627;1;2;2;6;;4;2;5;5;;;98;98;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;2;2;;;1;2;1;15;1;866.627.830.433.042
905628;1;2;2;2;1;4;1;5;3;;;;;50000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;15;1;164.926.300.019.112
905638;1;4;2;3;1;4;1;5;1;;;98;98;;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;15;1;156.914.154.969.758
905654;1;5;2;6;;4;1;5;1;;;98;98;;2;1;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;15;1;122.860.396.699.081
905655;1;3;2;2;1;4;4;4;1;;;98;98;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;15;1;107.183.394.043.215
905668;1;4;2;2;1;4;1;4;4;;;;80000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;15;1;139.237.123.493.594
905673;1;4;3;2;1;4;1;4;4;;;;98;;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;15;1;102.339.785.699.171
905674;1;3;2;2;1;4;1;4;3;;;;;140000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;2;15;1;961.933.023.253.634
