DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;fex_c_2011
905627;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;866.627.830.433.042
905628;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;164.926.300.019.112
905628;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;164.926.300.019.112
905638;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;156.914.154.969.758
905638;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;156.914.154.969.758
905638;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;156.914.154.969.758
905638;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;156.914.154.969.758
905638;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;156.914.154.969.758
905654;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.860.396.699.081
905654;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.860.396.699.081
905654;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.860.396.699.081
905654;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.860.396.699.081
905655;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905655;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905655;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905668;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905668;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905668;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905668;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905673;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;102.339.785.699.171
905673;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;102.339.785.699.171
905674;1;1;1;95;2;;;;;;;;1;2;2;;;;;600000;2;1;2;2;;2;15;961.933.023.253.634
905674;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;961.933.023.253.634
905676;1;1;1;95;2;;;;;;;;1;2;2;;;;;50000;2;1;2;2;;2;15;579.341.398.626.519
905676;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;579.341.398.626.519
905678;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;144.655.494.401.128
905678;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;144.655.494.401.128
905679;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;848.194.516.290.358
905679;1;2;1;95;2;;;;;;;;1;2;2;;;;;100000;2;1;2;2;;2;15;848.194.516.290.358
