DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
885490;1;2;1;10;2;2;1;5;1990;18;3;6;1;;;1;2;14000;2;1;1;2;5;10;1;5;10;5;730.452.902.437.705
885491;1;1;1;10;1;1;1;9;1947;61;1;3;1;;;1;2;178000;2;1;2;;3;5;;5;5;5;198.352.855.457.561
885491;1;2;1;10;2;2;1;5;1952;56;2;3;1;;;1;5;;2;1;2;;4;7;;5;7;5;198.352.855.457.561
885491;1;3;1;10;3;2;1;10;1975;32;3;6;1;;;1;1;34400;2;1;2;;6;3;3;5;14;5;198.352.855.457.561
885491;1;4;1;10;4;2;1;9;1980;28;3;6;1;;;1;1;46800;2;1;2;;6;2;3;5;13;5;198.352.855.457.561
885491;1;5;1;10;2;2;1;6;1992;16;3;6;1;;;1;5;;2;1;1;1;4;9;;5;9;5;198.352.855.457.561
885492;1;1;1;10;1;2;1;7;1975;33;1;4;1;;;1;1;18500;2;1;2;;3;5;;5;5;5;211.007.737.948.656
885492;1;2;1;10;1;1;1;11;1991;16;3;6;1;;;1;5;;2;1;2;;5;10;1;5;10;5;211.007.737.948.656
885492;1;3;1;10;1;1;1;7;1997;11;3;6;1;;;1;5;;2;1;1;1;3;4;;5;4;5;211.007.737.948.656
885492;1;4;1;10;1;2;1;7;1998;10;3;6;1;;;1;5;;2;1;1;1;4;8;;5;8;5;211.007.737.948.656
885492;1;5;1;10;5;1;1;8;1985;23;5;6;1;;;3;;;2;1;1;1;4;7;;5;7;5;211.007.737.948.656
885493;1;1;1;10;1;1;1;10;1938;69;1;3;1;;;1;2;80600;2;1;2;;3;5;;5;5;5;241.311.684.919.147
885493;1;2;1;10;2;2;1;3;1944;64;2;3;1;;;1;5;;2;1;2;;3;5;;5;5;5;241.311.684.919.147
885493;1;3;1;10;3;1;1;6;1980;28;3;6;1;;;3;;;2;1;2;;6;2;3;5;13;5;241.311.684.919.147
885493;1;4;1;10;4;2;1;7;1983;25;3;6;1;;;1;1;20460;2;1;2;;6;2;3;5;13;5;241.311.684.919.147
885494;1;1;1;10;1;1;1;6;1942;66;1;3;1;;;1;2;201000;2;1;2;;5;13;2;5;13;5;233.290.411.324.035
885494;1;2;1;10;2;2;1;7;1953;55;2;3;1;;;1;5;;2;1;2;;3;5;;5;5;5;233.290.411.324.035
885494;1;3;1;10;3;2;1;6;1978;30;3;4;1;;;3;;;2;1;2;;6;2;3;5;13;5;233.290.411.324.035
885494;1;4;1;10;4;1;1;5;2003;5;4;;1;;;1;5;;2;2;1;1;2;0;;5;0;5;233.290.411.324.035
885495;1;1;1;10;1;1;1;10;1981;27;1;1;2;1;1;;;;2;1;2;;5;11;2;5;11;5;88.521.269.007.761
885495;1;2;1;10;2;2;1;4;1981;27;2;2;1;;;1;1;18500;2;1;2;;5;11;2;5;11;5;88.521.269.007.761
885495;1;3;1;10;2;1;1;10;2001;7;3;;1;;;1;5;;2;1;1;1;3;0;;5;0;5;88.521.269.007.761
885495;1;4;1;10;2;1;1;8;2008;0;3;;1;;;1;5;;2;;;;;;;5;;5;88.521.269.007.761
885496;1;1;1;10;1;1;1;7;1967;41;1;3;1;;;1;5;;2;1;2;;6;5;4;5;16;5;347.355.701.328.175
885496;1;2;1;10;2;2;1;6;1956;52;2;3;1;;;1;3;57000;2;1;2;;6;2;3;5;13;5;347.355.701.328.175
885496;1;3;1;10;3;1;1;9;1981;27;3;6;1;;;1;1;154144;2;1;1;2;6;7;4;5;18;5;347.355.701.328.175
885497;1;1;1;10;1;1;1;7;1980;28;1;2;1;;;1;1;21200;2;1;1;2;6;3;3;5;14;5;815.524.314.533.302
885497;1;2;1;10;2;2;1;7;1986;22;2;2;1;;;1;1;18500;2;1;2;;5;11;2;5;11;5;815.524.314.533.302
885497;1;3;1;10;2;1;1;9;2008;0;3;;1;;;1;5;;2;;;;;;;5;;5;815.524.314.533.302
885498;1;1;1;10;1;1;1;1;1947;61;1;3;1;;;1;2;119900;2;1;2;;3;5;;5;5;5;659.516.310.138.567
885498;1;2;1;10;2;2;1;10;1950;57;2;3;1;;;1;5;;2;1;2;;3;3;;5;3;5;659.516.310.138.567
885498;1;3;1;10;3;2;1;1;1994;14;4;6;1;;;1;5;;2;1;1;1;4;8;;5;8;5;659.516.310.138.567
885498;1;4;1;10;4;2;1;11;1974;33;3;6;1;;;1;1;28400;2;1;2;;5;11;2;5;11;5;659.516.310.138.567
