directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;Area;clase;DPTO;Fex_c_2011
21353;1;1;95;41;4111;4;50;0;7; ;1000000;1;1;04;17;1;17;389,40679338429
21354;1;1;57;96;9602;4;7;0;5; ;300000;1;1;04;08;1;08;392,312285343892
21354;1;3;45;47;4761;1;48;6;6;1200000; ; ;1;04;08;1;08;392,312285343892
21357;1;3;79;13;1392;1;48;0;5;890000; ; ;1;04;05;1;05;1037,17222197267
21357;1;5;39;86;8621;1;48;48; ;1083000; ; ;1;04;05;1;05;1037,17222197267
21360;1;3;06;86;8610;2;48;30;6;2800000; ; ;1;04;68;1;68;165,093488678588
21361;1;1;62;38;3811;1;48;48; ;900000; ; ;1;04;17;1;17;126,93526339571
21363;1;1;98;49;4923;4;50;18;6; ;600000;1;1;04;19;1;19;204,430067130877
21365;1;1;59;86;8610;1;48;48; ;1100000; ; ;1;04;11;1;11;1881,17670939615
21365;1;2;97;47;4711;1;70;60;6;900000; ; ;1;04;11;1;11;1881,17670939615
21365;1;3;38;61;6120;1;48;45;6;900000; ; ;1;04;11;1;11;1881,17670939615
21366;1;1;41;56;5619;4;60;30;6; ;300000;1;1;04;08;1;08;1092,54945202955
21366;1;2;53;56;5619;6;30;0;6; ; ; ;1;04;08;1;08;1092,54945202955
21367;1;1;84;14;1410;1;48;0;7;1900000; ; ;1;04;05;1;05;1611,52163624882
21367;1;2;37;53;5320;4;48;0;7; ;1200000;1;1;04;05;1;05;1611,52163624882
21368;1;1;45;47;4792;4;40;20;6; ; ;1;1;04;11;1;11;649,936702395971
21369;1;1;06;86;8610;1;40;40; ; ; ; ;1;04;15;1;15;307,576430814653
21371;1;2;13;85;8513;1;36;10;7; ; ; ;1;04;27;1;27;29,7984660574414
21373;1;2;59;97;9700;3;48;65; ;600000; ; ;1;04;17;1;17;108,784653895334
21376;1;3;98;49;4921;4;50;0;5; ;500000;1;1;04;52;1;52;132,42017597185
21378;1;1;51;56;5619;5;60;0;7; ;0;1;1;04;20;1;20;126,897758753677
21378;1;2;13;88;8890;1;40;30;6;950000; ; ;1;04;20;1;20;126,897758753677
21379;1;1;41;47;4771;5;48;0;6; ;2000000;1;1;04;05;1;05;1178,36103470277
21379;1;2;45;47;4771;1;48;0;6;1000000; ; ;1;04;05;1;05;1178,36103470277
21380;1;1;45;47;4781;4;20;0;6; ;60000;1;1;04;11;1;11;3766,81471395481
21381;1;2;39;64;6492;1;48;60; ;2100000; ; ;1;04;05;1;05;814,766730779802
21381;1;3;08;64;6412;1;48;55; ;2900000; ; ;1;04;05;1;05;814,766730779802
21382;1;1;84;45;4520;4;50;0;7; ;900000;1;1;04;17;1;17;259,816565033278
21383;1;1;98;86;8699;4;40;5;6; ;1200000;1;1;04;17;1;17;164,094672652597
21384;1;1;54;97;9700;3;48;0;3; ; ; ;1;04;13;1;13;214,867313943723
21384;1;2;98;49;4921;4;50;0;6; ;600000;1;1;04;13;1;13;214,867313943723
21384;1;3;98;49;4921;4;50;0;6; ; ;1;1;04;13;1;13;214,867313943723
21384;1;4;58;84;8412;1;48;32;5;950000; ; ;1;04;13;1;13;214,867313943723
21386;1;1;30;47;4711;1;70;70; ;1800000; ; ;1;04;41;1;41;150,801008316557
21386;1;2;97;10;1040;1;48;48; ;1200000; ; ;1;04;41;1;41;150,801008316557
21387;1;1;45;47;4752;1;54;15;6;877803; ; ;1;04;27;1;27;86,3347103889404
21388;1;1;79;14;1410;4;48;0;7; ;0;1;1;04;20;1;20;163,210040489345
21388;1;2;45;47;4761;1;48;0;7;920000; ; ;1;04;20;1;20;163,210040489345
21393;1;3;16;21;2100;1;48;48; ;1400000; ; ;1;04;76;1;76;383,061094805499
21399;1;1;13;85;8551;4;40;40; ; ;3500000;1;1;04;47;1;47;57,3671288980074
21399;1;2;19;84;8412;4;40;40; ; ;3000000;1;1;04;47;1;47;57,3671288980074
21400;1;2;97;10;1089;1;54;32;7;890000; ; ;1;04;05;1;05;1553,59754882431
21401;1;1;34;82;8299;4;20;20; ; ;250000;1;1;04;11;1;11;953,193648317294
21401;1;3;51;56;5611;5;48;48; ; ; ;1;1;04;11;1;11;953,193648317294
21403;1;1;37;31;3110;1;48;0;5;877803; ; ;1;04;05;1;05;1106,71151338733
21404;1;1;79;14;1410;4;48;0;6; ;350000;1;1;04;54;1;54;270,38761859057
21404;1;2;79;14;1410;4;48;0;6; ;350000;1;1;04;54;1;54;270,38761859057
21408;1;1;06;86;8622;4;54;0;7; ;900000;1;1;04;08;1;08;772,945039645681
21409;1;1;41;47;4724;4;56;30;6; ;400000;1;1;04;27;1;27;38,142036553525
21412;1;1;70;25;2599;1;40;0;3;980000; ; ;1;04;17;1;17;155,454084302224
21413;1;1;97;52;5224;4;50;4;7; ;450000;1;1;04;15;1;15;90,6938274273736
21413;1;2;54;81;8121;4;24;0;7; ;300000;1;1;04;15;1;15;90,6938274273736
21414;1;1;41;47;4781;4;60;0;6; ;500000;1;1;04;41;1;41;124,053698114098
21416;1;1;53;56;5629;4;20;0;5; ;400000;1;1;04;41;1;41;120,37879406513
21419;1;1;54;84;8413;4;127;127; ; ;740000;1;1;04;15;1;15;52,1223629984519
21421;1;1;14;94;9491;1;48;0;6;800000; ; ;1;04;08;1;08;1376,42001006881
21421;1;2;41;56;5619;4;48;48; ; ;12000;1;1;04;08;1;08;1376,42001006881
21422;1;1;84;45;4520;4;14;0;6; ;200000;1;1;04;08;1;08;1145,90757977324
21422;1;4;97;47;4773;1;48;48; ;1100000; ; ;1;04;08;1;08;1145,90757977324
21422;1;5;98;49;4921;4;70;0;6; ;800000;1;1;04;08;1;08;1145,90757977324
21423;1;2;45;47;4773;1;48;48; ;877000; ; ;1;04;41;1;41;185,017073918983
21424;1;2;41;47;4759;4;48;48; ; ;500000;1;1;04;13;1;13;370,472191007755
21425;1;1;21;70;7020;4;60;60; ; ;7600000;1;1;04;68;1;68;488,966394777541
21425;1;2;39;70;7020;4;60;60; ; ;2500000;1;1;04;68;1;68;488,966394777541
21428;1;1;33;64;6412;1;40;20;6;1100000; ; ;1;04;44;1;44;15,9023866620495
21429;1;1;45;47;4781;4;18;0;6; ;80000;1;1;04;11;1;11;2951,02011010085
21431;1;1;45;47;4792;4;48;0;6; ;500000;1;1;04;41;1;41;178,237163713688
21432;1;4;33;49;4921;1;46;16;6;1200000; ; ;1;04;63;1;63;26,5551901770263
21434;1;1;56;96;9601;4;40;5;7; ;50000;1;1;04;27;1;27;85,8195822454312
21437;1;1;94;32;3290;1;48;0;5;877803; ; ;1;04;05;1;05;2122,61531219408
21437;1;7;94;32;3290;1;48;0;5;877803; ; ;1;04;05;1;05;2122,61531219408
21438;1;1;98;49;4921;1;70;0;3;1500000; ; ;1;04;17;1;17;190,471316271387
21439;1;1;45;47;4771;4;36;0;6; ; ;1;1;04;68;1;68;765,400048166554
21439;1;2;45;47;4792;4;15;0;5; ;300000;1;1;04;68;1;68;765,400048166554
21440;1;2;06;86;8621;1;48;8;3;2400000; ; ;1;04;05;1;05;1101,2995245336
21443;1;1;93;43;4330;4;48;0;7; ;450000;1;1;04;05;1;05;1105,69711199624
21443;1;2;34;63;6311;4;48;4;7; ;800000;1;1;04;05;1;05;1105,69711199624
21444;1;1;21;49;4923;5;48;40;7; ; ;1;1;04;13;1;13;508,024467163818
21444;1;2;51;56;5611;5;48;20;7; ; ;1;1;04;13;1;13;508,024467163818
21445;1;2;32;85;8544;1;48;36;7; ; ; ;1;04;47;1;47;80,7904252501
21449;1;1;87;28;2825;1;48;0;7;1100000; ; ;1;04;73;1;73;131,376335729359
21449;1;2;39;84;8412;4;36;50; ; ;1900000;1;1;04;73;1;73;131,376335729359
21451;1;2;79;14;1410;1;35;0;6;320000; ; ;1;04;73;1;73;426,070690578657
21455;1;1;02;42;4220;1;48;48; ;5000000; ; ;1;04;68;1;68;518,185484113236
21455;1;2;12;69;6910;4;48;0;6; ;0;1;1;04;68;1;68;518,185484113236
21456;1;1;87;31;3110;1;48;0;5;877000; ; ;1;04;68;1;68;586,302575423626
21456;1;4;39;86;8610;1;48;40;6;950000; ; ;1;04;68;1;68;586,302575423626
21457;1;1;45;47;4724;1;48;0;7;900000; ; ;1;04;11;1;11;1388,12193482
21457;1;2;33;22;2229;1;40;0;7;900000; ; ;1;04;11;1;11;1388,12193482
21460;1;4;54;97;9700;3;60;60; ;250000; ; ;1;04;44;1;44;12,4687711122447
21461;1;1;98;49;4921;4;84;0;6; ;600000;1;1;04;76;1;76;1446,68845800041
21461;1;4;55;81;8121;4;32;0;6; ; ;1;1;04;76;1;76;1446,68845800041
21462;1;1;79;14;1410;4;60;0;6; ;900000;1;1;04;05;1;05;715,651205313854
21462;1;2;79;14;1410;4;45;0;6; ;600000;1;1;04;05;1;05;715,651205313854
21462;1;3;41;14;1410;4;50;0;5; ;900000;1;1;04;05;1;05;715,651205313854
21463;1;1;51;56;5613;5;40;0;6; ;0;1;1;04;17;1;17;87,6357378106007
21467;1;1;79;14;1410;4;40;0;7; ;900000;1;1;04;18;1;18;113,965898529709
21468;1;2;84;45;4520;4;48;0;6; ;250000;1;1;04;70;1;70;115,688965100989
21469;1;1;19;74;7490;4;48;16;6; ;200000;1;1;04;05;1;05;1530,890776186
21471;1;1;13;85;8544;2;40;40; ;5754000; ; ;1;04;05;1;05;1640,99719816991
21471;1;2;03;91;9103;1;48;48; ;2466000; ; ;1;04;05;1;05;1640,99719816991
21473;1;1;95;42;4210;4;48;48; ; ;600000;1;1;04;13;1;13;411,118590808717
21473;1;3;95;42;4210;4;48;48; ; ;600000;1;1;04;13;1;13;411,118590808717
21474;1;2;98;49;4921;4;65;35;7; ;500000;1;1;04;27;1;27;21,6481829087574
21478;1;1;11;69;6920;4;48;48; ; ; ;1;1;04;13;1;13;357,113182855156
21478;1;3;12;84;8415;2;48;50; ; ; ; ;1;04;13;1;13;357,113182855156
21479;1;2;95;43;4330;4;50;20;6; ;800000;1;1;04;63;1;63;226,525188476287
21482;1;2;13;85;8530;2;40;30;7;3000000; ; ;1;04;73;1;73;289,944872028219
21484;1;1;41;47;4711;4;70;48;5; ;800000;1;1;04;63;1;63;175,339981049311
21487;1;1;98;49;4921;1;48;0;6;877803; ; ;1;04;23;1;23;151,735517019347
21487;1;5;13;85;8513;1;46;30;6;1000000; ; ;1;04;23;1;23;151,735517019347
21488;1;3;55;56;5611;1;48;0;6;895000; ; ;1;04;08;1;08;819,673251625603
21489;1;1;58;80;8010;4;40;40; ; ;1800000;1;1;04;18;1;18;86,2785755788606
21490;1;1;08;47;4711;1;48;48; ;2500000; ; ;1;04;05;1;05;1263,10538141238
21490;1;2;83;24;2429;1;48;0;5;750000; ; ;1;04;05;1;05;1263,10538141238
21492;1;2;44;61;6120;2;48;30;7; ; ; ;1;04;47;1;47;93,1514928384403
21494;1;1;53;56;5611;4;48;20;6; ;878000;1;1;04;63;1;63;193,192942145736
21497;1;1;77;56;5619;4;49; ;7; ;126000;1;1;04;52;1;52;97,7887831644972
21497;1;2;97;53;5320;4;20;20; ; ;300000;1;1;04;52;1;52;97,7887831644972
21497;1;3;45;47;4789;4;54;0;7; ;30000;1;1;04;52;1;52;97,7887831644972
21498;1;1;45;14;1410;1;48;0;7;870000; ; ;1;04;11;1;11;1636,89968757504
21498;1;2;38;82;8220;1;48;48; ;800000; ; ;1;04;11;1;11;1636,89968757504
21498;1;4;45;92;9200;4;40;0;7; ;500000;1;1;04;11;1;11;1636,89968757504
21499;1;1;53;56;5619;4;42;0;5; ;1000000;1;1;04;27;1;27;107,49119392357
21499;1;7;98;49;4921;4;56;40;6; ;700000;1;1;04;27;1;27;107,49119392357
21501;1;3;45;45;4530;1;48;20;6;880000; ; ;1;04;73;1;73;144,854528742053
21503;1;1;13;85;8530;2;40;50; ; ; ; ;1;04;15;1;15;92,452141893646
21503;1;2;07;86;8610;1;48;55; ; ; ; ;1;04;15;1;15;92,452141893646
21505;1;1;41;46;4649;5;80;80; ; ; ;1;1;04;73;1;73;188,115546724037
21505;1;2;54;88;8890;4;40;25;7; ;800000;1;1;04;73;1;73;188,115546724037
21510;1;1;21;45;4520;5;56;0;6; ;700000;1;1;04;23;1;23;163,868791758595
21511;1;1;57;96;9602;4;10;7;7; ;100000;1;1;04;41;1;41;89,6388012179288
21512;1;2;45;47;4781;4;30;0;6; ;0;1;1;04;11;1;11;1849,30088300505
21514;1;1;79;14;1410;5;60;0;6; ;1500000;1;1;04;73;1;73;141,716474842671
21514;1;3;79;14;1410;1;48;0;6;600000; ; ;1;04;73;1;73;141,716474842671
21515;1;1;94;32;3290;4;30;0;5; ;600000;1;1;04;13;1;13;163,479022015501
21518;1;3;54;55;5511;1;48;0;5;400000; ; ;1;04;08;1;08;475,714240571201
21519;1;2;57;96;9602;4;30;10;7; ;100000;1;1;04;13;1;13;357,807830836274
21519;1;3;45;56;5619;1;48;0;1;877803; ; ;1;04;13;1;13;357,807830836274
21521;1;2;33;61;6120;1;48;48; ;1118000; ; ;1;04;73;1;73;200,739697212668
21522;1;2;21;41;4111;1;48;0;5; ; ; ;1;04;73;1;73;398,085821950072
21526;1;1;02;36;3600;4;48;0;5; ;4000000;1;1;04;68;1;68;881,609889885836
21528;1;1;97;49;4923;1;48;48; ;900000; ; ;1;04;08;1;08;543,019477373257
21528;1;2;41;47;4719;4;72;40;6; ;250000;1;1;04;08;1;08;543,019477373257
21528;1;3;45;47;4719;6;72;20;6; ; ; ;1;04;08;1;08;543,019477373257
21531;1;1;50;55;5511;1;50;0;6;0; ; ;1;04;15;1;15;82,1921964011217
21533;1;1;19;65;6511;1;40;40; ;1600000; ; ;1;04;73;1;73;408,162293297132
21534;1;1;13;85;8544;2;40;40; ;4000000; ; ;1;04;70;1;70;73,7817193690285
21534;1;2;13;85;8530;2;35;35; ;4200000; ; ;1;04;70;1;70;73,7817193690285
21535;1;1;98;49;4921;4;72;0;5; ;1000000;1;1;04;13;1;13;179,936267844909
21535;1;3;45;47;4792;4;20;0;6; ;160000;1;1;04;13;1;13;179,936267844909
21536;1;3;07;26;2670;4;48;0;5; ;1500000;1;1;04;68;1;68;308,444754517809
21539;1;2;41;47;4771;4;16;0;6; ;0;1;1;04;08;1;08;602,525868292537
21539;1;4;41;47;4729;4;14;0;6; ;0;1;1;04;08;1;08;602,525868292537
21540;1;1;03;95;9522;1;56;0;6;877807; ; ;1;04;76;1;76;1019,79974306395
21541;1;1;32;84;8424;4;40;40; ; ;1200000;1;1;04;15;1;15;79,7703906244041
21542;1;1;85;43;4321;4;50;0;5; ;800000;1;1;04;05;1;05;1378,19732704774
21543;1;1;85;43;4321;4;44;0;6; ;700000;1;1;04;73;1;73;443,724207721227
21544;1;1;58;84;8422;2;60;60; ;2200000; ; ;1;04;18;1;18;54,1650885078737
21545;1;1;45;10;1081;1;24;24; ;500000; ; ;1;04;15;1;15;66,1190632555261
21546;1;1;98;42;4210;1;60;60; ;1000000; ; ;1;04;13;1;13;188,069546762306
21546;1;2;53;55;5511;1;48;0;5;877803; ; ;1;04;13;1;13;188,069546762306
21547;1;1;41;46;4690;5;20;0;6; ;0;1;1;04;18;1;18;25,4169896631518
21547;1;3;12;84;8412;2;40;20;6;4700000; ; ;1;04;18;1;18;25,4169896631518
21548;1;1;83;27;2711;1;48;48; ;1200000; ; ;1;04;05;1;05;1734,32977299452
21549;1;1;95;41;4111;4;50;0;6; ;0;1;1;04;15;1;15;53,0425078969799
21549;1;2;14;94;9491;1;40;0;6;0; ; ;1;04;15;1;15;53,0425078969799
21550;1;1;98;49;4921;4;50;0;6; ;350000;1;1;04;18;1;18;41,2619139966829
21552;1;2;87;30;3011;1;48;0;5;1200000; ; ;1;04;13;1;13;172,222976651792
21555;1;1;02;41;4111;1;8;0;5;3500000; ; ;1;04;15;1;15;83,5350398453233
21556;1;1;54;97;9700;3;48;0;7;650000; ; ;1;04;27;1;27;29,7984660574414
21557;1;1;13;85;8551;4;48;48; ; ;2500000;1;1;04;13;1;13;357,113182855156
21557;1;3;11;69;6920;4;40;40; ; ; ;1;1;04;13;1;13;357,113182855156
21558;1;2;98;49;4923;4;70;50;6; ;800000;1;1;04;23;1;23;153,004184046352
21559;1;1;93;45;4520;1;48;10;6;500000; ; ;1;04;15;1;15;96,5734136341745
21560;1;3;42;47;4774;1;48;40;6;980000; ; ;1;04;08;1;08;389,344794522161
21562;1;1;13;85;8551;4;30;30; ; ;2000000;1;1;04;23;1;23;144,878309273224
21563;1;2;99;38;3830;1;60;30;7;450000; ; ;1;04;05;1;05;1379,34558557461
21563;1;3;59;77;7729;1;70;40;7;660000; ; ;1;04;05;1;05;1379,34558557461
21564;1;3;98;86;8621;1;48;48; ;1300000; ; ;1;04;41;1;41;94,5414334713585
21564;1;4;35;86;8699;1;48;48; ;1500000; ; ;1;04;41;1;41;94,5414334713585
21565;1;1;03;25;2599;1;48;0;6; ; ; ;1;04;13;1;13;356,387632899198
21566;1;4;58;84;8423;2;72;72; ; ; ; ;1;04;47;1;47;139,954438020681
21567;1;1;39;47;4754;1;54;0;7;416000; ; ;1;04;52;1;52;231,8575958655
21568;1;1;45;25;2593;1;48;24;6;4000000; ; ;1;04;68;1;68;373,585448360655
21568;1;2;43;21;2100;1;40;24;6;3000000; ; ;1;04;68;1;68;373,585448360655
21568;1;5;81;32;3290;1;48;48; ;900000; ; ;1;04;68;1;68;373,585448360655
21569;1;2;39;52;5229;1;44;40;6;2200000; ; ;1;04;08;1;08;584,822829667171
21571;1;2;59;46;4645;1;42;0;1;1000000; ; ;1;04;70;1;70;111,142499066531
21572;1;1;98;47;4711;1;60;60; ;797200; ; ;1;04;73;1;73;916,27568960136
21573;1;1;13;85;8544;2;40;40; ;2800000; ; ;1;04;23;1;23;163,369817233976
21573;1;2;11;84;8424;2;48;48; ; ; ; ;1;04;23;1;23;163,369817233976
21574;1;1;85;43;4321;4;48;25;6; ;450000;1;1;04;23;1;23;253,255614170798
21575;1;1;99;81;8129;1;48;40;6;900000; ; ;1;04;11;1;11;1405,94583426172
21575;1;2;54;97;9700;3;60;0;5;900000; ; ;1;04;11;1;11;1405,94583426172
21575;1;3;37;47;4755;1;48;16;6;800000; ; ;1;04;11;1;11;1405,94583426172
21576;1;3;33;70;7010;1;48;48; ;1200000; ; ;1;04;41;1;41;87,7352824724777
21577;1;2;32;84;8413;2;48;40;6; ; ; ;1;04;13;1;13;256,958999775556
21578;1;2;57;96;9602;4;30;0;6; ;100000;1;1;04;73;1;73;647,795054517723
21579;1;1;59;73;7310;4;40;8;6; ;640000;1;1;04;08;1;08;395,01462066977
21580;1;1;84;45;4542;4;72;0;6; ;0;1;1;04;68;1;68;825,750997216104
21580;1;2;54;97;9700;3;24;8;6; ; ; ;1;04;68;1;68;825,750997216104
21580;1;5;38;63;6311;1;45;56; ;950000; ; ;1;04;68;1;68;825,750997216104
21583;1;1;87;33;3312;1;48;0;3;1600000; ; ;1;04;41;1;41;151,243123498032
21583;1;3;03;71;7110;1;48;40;1;1800000; ; ;1;04;41;1;41;151,243123498032
21583;1;4;13;85;8513;2;40;0;1;2000000; ; ;1;04;41;1;41;151,243123498032
21584;1;2;93;43;4330;4;48;30;7; ;900000;1;1;04;15;1;15;73,4133112455872
21587;1;2;54;97;9700;3;40;40; ;500000; ; ;1;04;23;1;23;203,866025156892
21588;1;1;97;11;1104;1;48;20;6;7500000; ; ;1;04;47;1;47;302,884320273447
21590;1;3;19;99;9900;1;48;48; ;6000000; ; ;1;04;44;1;44;15,8773482045852
21591;1;1;39;47;4711;1;44;44; ;870000; ; ;1;04;19;1;19;288,784778004
21592;1;1;58;80;8010;1;48;48; ;1100000; ; ;1;04;18;1;18;73,5723286875397
21594;1;1;95;42;4210;1;48;0;6;877803; ; ;1;04;73;1;73;273,267898753653
21597;1;1;58;46;4665;1;48;0;5;1000000; ; ;1;04;11;1;11;1927,02442995223
21598;1;6;57;96;9602;4;60;10;6; ;200000;1;1;04;73;1;73;275,815888164655
21601;1;1;33;52;5221;1;48;48; ; ; ; ;1;04;13;1;13;259,819301056516
21603;1;2;11;69;6920;4;40;60; ; ;0;1;1;04;15;1;15;34,3803707392826
21603;1;3;97;53;5320;1;48;48; ;800000; ; ;1;04;15;1;15;34,3803707392826
21604;1;1;59;86;8621;1;44;20;7; ; ; ;1;04;19;1;19;243,749996209676
21605;1;2;99;81;8129;1;40;0;3;877803; ; ;1;04;70;1;70;104,24032659573
21607;1;1;56;96;9602;4;21;8;6; ;40000;1;1;04;70;1;70;200,433344941039
21611;1;1;58;84;8422;2;48;30;7; ; ; ;1;04;19;1;19;275,473546132942
21616;1;1;59;86;8610;1;48;48; ;1500000; ; ;1;04;19;1;19;92,2017307459059
21616;1;2;59;86;8610;1;48;48; ;1500000; ; ;1;04;19;1;19;92,2017307459059
21617;1;2;13;82;8299;1;4;20; ;0; ; ;1;04;44;1;44;64,7550699355487
21619;1;2;33;86;8621;1;48;24;7;854000; ; ;1;04;44;1;44;86,3093355967781
21621;1;1;62;01;0161;4;66;0;5; ;200000;1;1;04;19;1;19;40,2451410692527
21621;1;2;61;01;0123;4;33;33; ; ;480000;1;1;04;19;1;19;40,2451410692527
21621;1;3;98;49;4923;4;56;0;5; ;560000;1;1;04;19;1;19;40,2451410692527
21622;1;1;95;41;4111;1;48;0;5;1000000; ; ;1;04;68;1;68;707,299427098615
21622;1;2;55;81;8121;4;24;0;5; ;0;1;1;04;68;1;68;707,299427098615
21622;1;3;41;47;4773;4;60;0;6; ;1000000;1;1;04;68;1;68;707,299427098615
21623;1;2;53;56;5619;4;35;0;7; ;600000;1;1;04;47;1;47;59,6075698491592
21624;1;1;01;85;8530;2;48;25;6;3200000; ; ;1;04;19;1;19;103,318968802801
21625;1;1;57;56;5611;5;40;0;6; ;0;1;1;04;18;1;18;23,5870135082502
21625;1;3;50;56;5611;1;127;0;6;0; ; ;1;04;18;1;18;23,5870135082502
21625;1;4;53;56;5611;1;60;0;6;0; ; ;1;04;18;1;18;23,5870135082502
21626;1;1;53;56;5619;4;40;0;5; ;280000;1;1;04;41;1;41;110,876934967084
21627;1;1;45;46;4665;4;40;0;6; ;300000;1;1;04;68;1;68;359,110023071914
21629;1;1;77;10;1081;4;48;48; ; ;250000;1;1;04;47;1;47;359,519039722795
21629;1;2;57;96;9602;4;56;56; ; ;0;1;1;04;47;1;47;359,519039722795
21630;1;1;45;92;9200;4;42;0;7; ;260000;1;1;04;47;1;47;95,1569909135338
21630;1;6;37;60;6010;1;48;0;5;877803; ; ;1;04;47;1;47;95,1569909135338
21632;1;1;41;47;4771;4;24;0;6; ;0;1;1;04;68;1;68;330,505616372887
21632;1;2;37;53;5320;4;40;24;6; ; ;1;1;04;68;1;68;330,505616372887
21633;1;1;79;14;1410;4;20;20; ; ;0;1;1;04;17;1;17;106,769007688212
21633;1;3;79;14;1410;6;5;5; ; ; ; ;1;04;17;1;17;106,769007688212
21633;1;4;79;14;1410;6;5;5; ; ; ; ;1;04;17;1;17;106,769007688212
21633;1;6;62;01;0121;8;20;20; ;200000; ; ;1;04;17;1;17;106,769007688212
21634;1;1;98;49;4921;4;84;12;6; ;300000;1;1;04;05;1;05;1318,05739043119
21638;1;1;61;01;0113;4;48;48; ; ;0;1;1;04;70;1;70;179,319739522765
21638;1;2;77;56;5619;4;16;16; ; ;60000;1;1;04;70;1;70;179,319739522765
21638;1;5;62;01;0113;6;32;32; ; ; ; ;1;04;70;1;70;179,319739522765
21638;1;10;45;47;4721;1;48;32;6;600000; ; ;1;04;70;1;70;179,319739522765
21639;1;1;13;85;8559;4;15;0;7; ;200000;1;1;04;54;1;54;343,855432806983
21639;1;2;72;28;2829;1;48;48; ;980657; ; ;1;04;54;1;54;343,855432806983
21640;1;1;98;49;4921;1;54;0;3;1200000; ; ;1;04;11;1;11;2380,27661251565
21640;1;2;45;46;4632;1;48;0;5;900000; ; ;1;04;11;1;11;2380,27661251565
21643;1;1;98;49;4921;4;40;8;6; ; ;1;1;04;13;1;13;309,865278837893
21644;1;1;44;96;9603;1;48;48; ;1200000; ; ;1;04;17;1;17;135,119203763833
21644;1;3;19;42;4210;1;48;0;7;980000; ; ;1;04;17;1;17;135,119203763833
21644;1;4;44;86;8610;1;48;48; ;877802; ; ;1;04;17;1;17;135,119203763833
21645;1;8;45;47;4781;4;50;0;6; ;0;1;1;04;68;1;68;277,481182424753
21645;1;12;45;56;5619;4;65;0;6; ;0;1;1;04;68;1;68;277,481182424753
21647;1;1;95;41;4111;4;48;0;7; ;250000;1;1;04;54;1;54;234,061954828603
21649;1;1;85;43;4321;4;48;0;5; ;1200000;1;1;04;47;1;47;158,113117609415
21650;1;1;41;47;4782;4;50;0;7; ;0;1;1;04;50;1;50;223,500919690091
21651;1;2;85;95;9522;4;0;1; ; ;10000;1;1;04;63;1;63;101,891677683994
21652;1;4;13;85;8559;4;12;12; ; ;120000;1;1;04;70;1;70;170,230333137131
21655;1;1;95;31;3110;5;48;0;6; ;0;1;1;04;68;1;68;672,047826357191
21656;1;1;41;47;4721;4;48;48; ; ;700000;1;1;04;68;1;68;219,700600993605
21656;1;3;58;80;8010;1;50;0;3;1100000; ; ;1;04;68;1;68;219,700600993605
21656;1;4;41;47;4724;4;20;0;5; ;180000;1;1;04;68;1;68;219,700600993605
21657;1;4;70;29;2930;1;48;48; ;2200000; ; ;1;04;05;1;05;1137,69705201628
21658;1;1;59;70;7010;1;48;0;7;1100000; ; ;1;04;47;1;47;89,1607968121012
21659;1;1;39;79;7911;4;48;0;6; ;0;1;1;04;68;1;68;322,062732758539
21661;1;1;41;47;4711;4;50;50; ; ;600000;1;1;04;41;1;41;91,2841211927108
21664;1;2;43;21;2100;1;40;0;6;900000; ; ;1;04;70;1;70;154,504270783237
21666;1;2;98;49;4921;4;56;0;5; ;500000;1;1;04;19;1;19;71,3671157416443
21667;1;1;45;47;4781;4;56;0;7; ;200000;1;1;04;70;1;70;185,498991534768
21667;1;2;59;86;8699;4;42;14;7; ;650000;1;1;04;70;1;70;185,498991534768
21667;1;3;57;96;9602;4;21;0;7; ;0;1;1;04;70;1;70;185,498991534768
21668;1;2;13;85;8559;4;25;0;7; ;120000;1;1;04;19;1;19;181,779697598624
21670;1;2;45;47;4792;4;14;0;6; ;0;1;1;04;47;1;47;345,338488494288
21671;1;1;21;64;6412;1;48;48; ;3000000; ; ;1;04;68;1;68;660,330691747836
21671;1;2;07;86;8621;1;48;48; ;3400000; ; ;1;04;68;1;68;660,330691747836
21672;1;1;11;49;4921;1;48;0;5;1200000; ; ;1;04;08;1;08;518,314987875208
21673;1;1;21;31;3110;4;84;0;7; ;980000;1;1;04;54;1;54;297,680002244563
21673;1;2;79;31;3110;4;25;0;7; ;250000;1;1;04;54;1;54;297,680002244563
21673;1;3;81;31;3110;4;84;0;7; ;280000;1;1;04;54;1;54;297,680002244563
21676;1;1;21;33;3312;1;48;42;6;0; ; ;1;04;68;1;68;472,375900055054
21676;1;2;33;33;3312;1;48;40;6;878000; ; ;1;04;68;1;68;472,375900055054
21676;1;4;84;33;3312;1;52;45;6;878000; ; ;1;04;68;1;68;472,375900055054
21678;1;1;56;96;9601;4;25;25; ; ;200000;1;1;04;19;1;19;55,8039557675334
21682;1;1;45;47;4781;4;63;0;6; ;0;1;1;04;18;1;18;53,6650779795819
21683;1;1;37;53;5320;4;44;25;6; ;550000;1;1;04;68;1;68;165,093488678588
21684;1;1;61;01;0111;4;15;0;6; ; ;1;1;04;23;1;23;91,9424483991731
21686;1;1;21;52;5221;4;70;70; ; ;700000;1;1;04;52;1;52;131,756458949337
21688;1;1;58;84;8423;2;48;48; ; ; ; ;1;04;20;1;20;257,684077293853
