DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;DPTO;AREA;fex_c_2011
448117;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;55000; ; ; ;2;2;2;1;05;05;823,277423354633
448117;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;120000; ; ; ;2;2;2;1;05;05;823,277423354633
448117;1;3;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;180000; ; ; ;2;2;2;1;05;05;823,277423354633
448118;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;591,851114088339
448118;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2520000;2;1;2;1;05;05;591,851114088339
448118;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;591,851114088339
448118;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;591,851114088339
448119;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;90000; ; ; ;2;2;2;1;05;05;822,344898349138
448119;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;822,344898349138
448120;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;946,281903704027
448120;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;946,281903704027
448120;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;946,281903704027
448121;1;1;95;1; ;2;1; ;982972; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;976,388575807591
448121;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;976,388575807591
448121;1;3;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;450000; ; ; ;2;2;2;1;05;05;976,388575807591
448121;1;4;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2600000;2;1;2;1;05;05;976,388575807591
448122;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;822,344898349138
448122;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;822,344898349138
448123;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;350000; ; ; ;2;2;2;1;05;05;893,956632093606
448123;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1200000;2;1;2;1;05;05;893,956632093606
448124;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;75000; ; ; ;2;2;2;1;05;05;834,299602227753
448124;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;350000;2;1;2;1;05;05;834,299602227753
448124;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;834,299602227753
448124;1;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;834,299602227753
448124;1;7;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;834,299602227753
448125;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;765,265492813775
448125;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;450000; ; ; ;2;2;2;1;05;05;765,265492813775
448126;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;744,040042581961
448126;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;389000; ; ; ;2;2;2;1;05;05;744,040042581961
448126;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;744,040042581961
448127;1;1;95;1; ;2;1; ;400000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;653,247638744421
448127;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;653,247638744421
448128;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;850000; ; ; ;2;2;2;1;05;05;865,710535714718
448128;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;865,710535714718
448128;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;865,710535714718
448129;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;960,928196879304
448129;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;960,928196879304
448129;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;960,928196879304
448130;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;827,283430366992
448130;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;65000; ; ; ;2;2;2;1;05;05;827,283430366992
448130;1;3;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;60000; ; ; ;2;2;2;1;05;05;827,283430366992
448130;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;827,283430366992
448130;1;5;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;200000; ; ; ;2;2;2;1;05;05;827,283430366992
448131;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;500000; ; ; ;2;2;2;1;05;05;822,344898349138
448131;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1;500000; ;54000; ; ; ;2;2;1;1;05;05;822,344898349138
448132;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ;160000;2;1;2;1;05;05;599,241715215923
448132;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;599,241715215923
