DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5214727;1;1;1;70;13;10;48;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;78;55;55;1;1;7810;09;13;408,528003779923
5214727;1;2;1;70;13;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;45; ;1;1;.;09;13;408,528003779923
5214729;2;1;2;70;68;9;48;1; ;2;10;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;980657;2; ;47;33;33;1;1;4711;09;68;616,331413063181
5214746;1;2;1;70;23;8;48;3; ;2;30;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;9700;09;23;168,434955348981
5214748;1;4;1;70;08;6;48;1; ;2;22;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;85;13;13;1;1;8551;09;08;475,1794640213
5214757;1;1;1;70;05;16;48;1; ;2;16;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;88;03;03;1;2;8890;09;05;1115,70378202017
5214758;1;1;1;70;05;22;48;1; ;2;22;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;14;79;79;1;2;1410;09;05;1296,13621776251
5214759;1;1;1;70;05;22;24;1; ;2;22;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;33;99;99;1;2;3312;09;05;1237,44078431589
5214765;1;6;1;70;05;24;48;1; ;2;24;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;38;53;1;2;5611;09;05;1381,68028059828
5214778;1;2;1;70;05;8;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;1;5611;09;05;1296,93717019991
5214781;1;4;1;70;05;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ; ;97; ;1;2;.;09;05;1096,92999720825
5214783;1;2;1;70;05;104;48;1; ;2;104;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;14;32;32;1;2;1410;09;05;904,000615433044
5214784;1;2;1;70;68;18;48;1; ;2;18;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;2;4111;09;68;195,035042270219
5214784;1;6;1;70;68;20;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;52;1;2;5611;09;68;195,035042270219
5214784;1;10;1;70;68;28;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ; ;95; ;1;2;.;09;68;195,035042270219
5214784;1;11;1;70;68;16;36;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;88;54;54;1;2;8890;09;68;195,035042270219
5214796;1;1;1;70;52;4;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;37;53;1;1;5611;09;52;189,251717261082
5214806;1;2;1;70;17;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;900000;2; ;61;38;38;1;1;6110;09;17;187,534282370684
5214810;1;1;1;70;17;24;48;1; ;2;24;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;51;1;2;5611;09;17;149,354385347718
5214813;1;1;1;70;68;104;48;1; ;2;212;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;927000;2; ;97;45;59;1;2;9700;09;68;586,370967406794
5214815;1;1;1;70;68;20;48;3; ;2;20;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;42;54;55;1;2;4210;09;68;576,49355044223
5214815;2;2;2;70;68;20;48;1; ;2;20;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;47;45;45;1;2;4771;09;68;576,49355044223
5214817;1;4;1;70;68;12;48;2; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;52;55;97;1;1;5229;09;68;779,706723168528
5214817;1;5;1;70;68;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;42;58;95;1;2;4290;09;68;779,706723168528
5214834;1;2;1;70;68;27;48;1; ;2;27;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;42;95;95;1;2;4210;09;68;573,692094591707
5214836;1;2;1;70;68;27;48;1; ;2;27;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;2;5611;09;68;339,591199865728
5214838;1;1;1;70;68;26;48;1; ;2;26;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;49;98;98;1;2;4921;09;68;606,30976907889
5214838;1;2;1;70;68;26;48;1; ;2;26;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;45;97;1;2;4752;09;68;606,30976907889
5214839;1;2;1;70;66;20;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;56;53;53;1;2;5611;09;66;363,982014861319
5214847;1;1;1;70;66;20;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;2;4111;09;66;404,045993370542
5214847;1;2;1;70;66;20;48;1; ;2;20;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;14;79;79;1;2;1410;09;66;404,045993370542
5214848;1;3;1;70;66;20;48;1; ;2;20;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;55;55;55;1;2;5511;09;66;390,09651726673
5214852;1;1;1;70;68;1;48;4; ;2;80;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;96;41;57;1;1;9602;09;68;511,518625514097
5214863;1;2;1;70;05;12;48;1; ;2;36;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;45;33;1;1;4771;09;05;1308,58949856109
5214877;1;3;1;70;23;84;48;1; ;2;84;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;86;32;32;1;2;8610;09;23;255,755208295665
5214877;2;1;2;70;23;8;48;1; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;85;13;13;1;1;8559;09;23;255,755208295665
5214899;1;1;1;70;68;18;48;1; ;2;18;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;98;98;1;2;4923;09;68;675,308481352623
5214904;1;2;1;70;23;24;48;1; ;2;5;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;877803;2; ;41;45;95;1;2;4111;09;23;231,006116159049
5214905;1;2;1;70;23;30;60;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;33;33;1;2;4759;09;23;182,144047682753
5214931;1;6;1;70;05;20;48;1; ;2;20;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;14;79;79;1;2;1410;09;05;1270,86890625816
5214933;1;2;1;70;05;52;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;870000; ; ; ;54; ;1;2;.;09;05;1175,60650466135
5214934;1;2;1;70;05;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;870000; ; ; ;55; ;1;1;.;09;05;1175,60650466135
5214957;1;2;1;70;05;20;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;23;53;89;1;2;2391;09;05;1175,60650466135
5214977;1;2;1;70;05;32;48;1; ;2;32;1; ;7;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;900000;1;1;85;13;13;1;2;8512;09;05;1446,79297869575
5214982;1;2;1;70;76;4;48;4; ;2;48;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;82;33;33;1;1;8299;09;76;1155,60697085603
5214982;1;3;1;70;76;12;40;1; ;2;104;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;03;95;1;1;4111;09;76;1155,60697085603
5214985;1;2;1;70;76;32;36;1; ;2;32;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;4771;09;76;1252,46976763011
5214987;1;2;1;70;76;8;36;1; ;2;600;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;53;53;1;1;5619;09;76;1236,62584226179
5214987;1;3;1;70;76;52;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;41;95;95;1;2;4111;09;76;1236,62584226179
5214991;1;2;1;70;76;100;48;1; ;2;350;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;68;58;58;1;2;6820;09;76;903,995123323852
5214997;1;3;1;70;17;48;48;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;41;93;93;1;2;4111;09;17;197,146069646729
5214998;1;1;1;70;17;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;14;97;79;1;1;1410;09;17;207,201288538228
5214999;1;1;1;70;17;24;48;3; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;47;54;41;1;2;4711;09;17;330,377003539743
5214999;1;2;1;70;17;20;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;41;95;95;1;2;4111;09;17;330,377003539743
5214999;1;3;1;70;17;24;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;82;38;38;1;2;8220;09;17;330,377003539743
5214999;1;5;1;70;17;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;41;95;95;1;1;4111;09;17;330,377003539743
5215000;1;1;1;70;17;48;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;82;53;38;1;2;8220;09;17;276,457757145555
5215000;1;2;1;70;17;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;82;38;38;1;1;8220;09;17;276,457757145555
5215000;1;5;1;70;17;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;877802;877802;2; ;82;38;38;1;1;8220;09;17;276,457757145555
5215059;1;7;1;70;23;6;48;1; ;2;28;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;01;95;62;1;1;0161;09;23;185,855258530673
5215059;1;8;1;70;23;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;33; ;1;1;.;09;23;185,855258530673
5215062;1;1;1;70;23;6;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;41;95;95;1;1;4111;09;23;274,610574374941
5215081;1;1;1;70;23;156;48;2; ;2;22;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;5000000;2; ;47;21;41;1;2;4719;09;23;185,41845563618
5215089;1;1;1;70;76;2;48;1; ;2;2;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;1;400000;877807;2; ;17;53;97;1;1;1702;09;76;1270,17290356714
5215093;1;2;1;70;68;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;97;53;1;1;5619;09;68;626,056046760884
5215103;1;2;1;70;76;23;32;4; ;2;23;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;56;55;53;1;2;5611;09;76;1243,36897500737
