Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3176699;1;2;1;70;2;2;48;1; ;2;2;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;71;71;10;1;1;1010;03;15;1341,4727810867
3176701;1;3;1;70;2;8;48;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;71;97;10;1;1;1010;03;15;737,866533127848
3176708;1;3;1;70;2;4;40;1; ;2;96;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;51;1;1;5170;03;15;630,401560189005
3176736;1;3;1;70;2;12;48;1; ;2;12;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;1;5233;03;68;1942,12369337517
3176736;1;4;1;70;2;2;48;1; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;45;59;95;1;1;9500;03;68;1942,12369337517
3176747;1;1;1;70;2;2;48;1; ;2;2;2; ;6;1; ; ;1; ; ; ; ; ; ; ; ;1;1800000;2;32;33;80;1;1;8044;03;68;629,963522251672
3176751;1;3;1;70;2;12;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;53;53;55;1;1;5521;03;68;543,25236073057
3176757;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;61;61;01;1;1;0114;03;68;1254,06248481803
3176757;1;3;1;70;2;1;60;8; ;2;1;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;77;77;15;1;1;1572;03;68;1254,06248481803
3176758;1;1;1;70;2;2;60;8; ;2;2;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;62;62;01;1;1;0114;03;68;1619,42805020844
3176770;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;180000;2;61;61;01;1;1;0140;03;15;1038,5893130522
3176780;1;3;1;70;2;12;40;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;36;1;1;3611;03;15;744,632736601416
3176789;1;3;1;70;2;52;48;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;2;7493;03;68;1236,09224286664
3176789;1;4;1;70;2;52;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;03;68;1236,09224286664
3176845;1;9;1;70;2;4;56;2; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;52;1;1;5233;03;68;2173,00944292228
3176851;1;2;1;70;2;5;40;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;03;68;1466,37201248907
3176852;1;2;1;70;2;60;45;1; ;2;30;2; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;75;1;2;7512;03;68;543,25236073057
3176864;1;2;1;70;2;2;16;4; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;03;68;705,298734755059
3176934;1;2;1;70;2;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;03;15;324,081634061862
3176935;1;3;1;70;2;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;52;1;1;5241;03;15;568,908191572775
3177022;1;3;1;70;2;2;48;1; ;2;48;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;72;1;1;7250;03;15;452,316644713836
3177036;1;3;1;70;2;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;07; ; ;1;1; ;03;15;303,240020951877
3178260;1;1;1;70;2;3;48;1; ;2;3;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;62;62;01;1;1;0117;03;05;2253,57250816765
