DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;FT;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
973785;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;535.124.344.411.288
973785;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;535.124.344.411.288
973785;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;535.124.344.411.288
973786;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;522.553.592.608.915
973786;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;522.553.592.608.915
973786;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;522.553.592.608.915
973787;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.552.136.777.856
973787;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.552.136.777.856
973788;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973788;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973788;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973788;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973789;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;586.051.853.236.295
973790;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;490.957.456.269.573
973791;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;518.567.150.723.804
973791;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;518.567.150.723.804
973791;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;518.567.150.723.804
973793;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;595.921.891.322.149
973793;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;595.921.891.322.149
973793;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;595.921.891.322.149
973793;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;595.921.891.322.149
973793;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;595.921.891.322.149
973795;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;505.651.102.167.586
