DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
974544;1;4;1;70;1;34;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;13;13;350.918.915.520.334
974548;1;2;1;70;1;26;48;3;;2;26;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;13;13;343.721.036.522.121
974552;1;3;1;70;1;26;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;3;;;1;2;;13;13;350.670.881.200.166
974553;1;3;1;70;1;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;2;;13;13;294.072.043.659.972
974557;1;4;1;70;1;52;48;1;;2;52;1;;5;5;;;;;;;;;;1;;2;;2;45;45;52;1;2;5233;13;13;309.082.838.381.847
974561;1;5;1;70;1;52;60;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;13;13;294.817.476.726.212
974568;1;1;1;70;1;8;48;1;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;98;59;63;1;1;6340;13;13;339.130.587.193.349
974571;1;1;1;70;1;52;48;1;;2;104;1;;5;2;;;;;;;;;;1;;2;;2;45;32;63;1;2;6390;13;13;32.218.322.793.967
974574;1;3;1;70;1;60;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;39;;;1;2;;13;13;299.432.127.246.222
974574;1;4;1;70;1;60;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;39;;;1;2;;13;13;299.432.127.246.222
974581;1;1;1;70;1;48;48;1;;2;8;3;;1;1;;;;;;;;;;1;;2;;2;55;54;95;1;2;9500;13;13;376.379.490.698.446
974581;1;2;1;70;1;40;48;1;;2;40;1;;9;1;;;;;;;;;;1;;2;;2;77;77;15;1;2;1512;13;13;376.379.490.698.446
974585;1;3;1;70;1;36;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;87;;;1;2;;13;13;370.157.114.697.667
974587;1;4;1;70;1;52;48;1;;2;8;1;;3;1;;;;;;;;;;1;;2;;2;97;55;52;1;2;5211;13;13;337.526.319.126.343
974590;1;4;1;70;1;48;55;1;;1;;;.;;;.;.;;;;;;;;;.;;;;17;;;1;2;;13;13;286.668.964.454.953
974593;1;2;1;70;1;12;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;13;13;315.429.205.506.205
974602;1;3;1;70;1;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;53;;;1;2;;13;13;367.415.351.419.468
974610;1;1;1;70;1;24;48;1;;2;24;4;;1;1;;;;;;;;;;1;;2;;2;45;45;52;1;2;5262;13;13;347.412.764.540.214
974610;1;2;1;70;1;24;48;1;;2;4;1;;2;1;;;;;;;;;;1;;2;;2;45;52;55;1;2;5529;13;13;347.412.764.540.214
974615;1;3;1;70;1;20;40;1;;2;20;1;;2;1;;;;;;;;;;1;;2;;2;39;39;74;1;2;7491;15;15;107.025.719.611.584
974618;1;1;1;70;1;52;40;1;;2;52;1;;3;2;;;;;;;;;;1;;2;;2;84;84;50;1;2;5020;15;15;903.093.709.993.042
974619;1;4;1;70;1;4;40;1;;2;4;1;;9;3;;;;;;;;;;1;;1;500000;2;0;44;64;1;1;6421;15;15;756.747.782.065.133
974625;1;3;1;70;1;52;40;4;;2;52;1;;3;1;;;;;;;;;;1;;2;;2;98;53;55;1;2;5530;15;15;896.436.502.603.374
974629;1;1;1;70;1;52;40;1;;2;52;1;;9;2;;;;;;;;;;1;;2;;2;13;13;80;1;2;8050;15;15;945.736.965.503.218
974630;1;2;1;70;1;52;40;1;;2;52;1;;9;2;;;;;;;;;;1;;2;;2;13;13;80;1;2;8050;15;15;104.780.750.458.054
974630;1;3;1;70;1;40;24;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;;;1;2;;15;15;104.780.750.458.054
974633;1;2;1;70;1;24;40;1;;2;24;1;;9;2;;;;;;;;;;1;;2;;2;97;97;45;1;2;4521;15;15;106.429.294.100.206
974634;1;1;1;70;1;52;40;1;;2;52;2;;9;1;;;;;;;;;1;;YA ES PENSIONADO;2;;2;6;13;80;1;2;8060;15;15;807.074.314.338.382
974634;1;3;1;70;1;52;40;1;;2;52;1;;9;1;;;1;;;;;;;;;2;;2;45;45;52;1;2;5233;15;15;807.074.314.338.382
974637;1;1;1;70;1;3;40;1;;2;3;1;;7;1;;;;;;;;;;1;;1;461500;2;55;55;80;1;1;8045;15;15;935.510.936.678.237
974641;1;2;1;70;1;32;40;4;;2;32;1;;5;4;;;;;;;;;;1;;2;;2;98;39;72;1;2;7250;15;15;696.748.622.319.726
974650;1;2;1;70;1;52;50;1;;2;52;1;;9;2;;;;;;;;;;1;;2;;2;45;62;1;1;2;112;15;15;946.209.415.194.036
974654;1;2;1;70;1;52;40;1;;2;52;1;;9;1;;;;;;;;;;1;;2;;2;16;44;64;1;2;6421;15;15;924.878.280.311.442
974662;1;1;1;70;1;52;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;21;;;1;2;;15;15;902.400.757.717.159
974663;1;5;1;70;1;52;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;15;15;923.287.273.967.908
974674;1;2;1;70;1;4;40;1;;2;52;1;;2;1;;;;;;;;;;1;;2;;2;3;59;85;1;1;8515;15;15;912.675.465.431.217
974700;1;2;1;70;1;52;30;2;;2;52;1;;3;2;;;;;;;;;;1;;2;;2;32;32;74;1;2;7411;15;15;809.582.389.004.577
974704;1;2;1;70;1;24;40;1;;2;24;2;;9;2;;;;;;;;;;1;;2;;2;32;32;80;1;2;8050;15;15;880.397.544.864.052
974705;1;3;1;70;1;4;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;33;;;1;1;;15;15;867.555.579.775.534
974705;1;5;1;70;1;4;40;1;;2;104;1;;2;4;;;;;;;;;;1;;2;;2;97;87;28;1;1;2811;15;15;867.555.579.775.534
974707;1;3;1;70;1;8;40;2;;1;;;.;;;.;.;;;;;;;;;.;;;;18;;;1;1;;15;15;941.335.885.673.992
974719;1;2;1;70;1;40;40;1;;2;18;1;;2;1;;;;;;;;;;1;;2;;2;45;38;64;1;2;6421;15;15;767.961.670.843.724
974728;1;2;1;70;1;52;40;1;;2;52;4;;1;1;;;;;;;;;;1;;2;;2;95;95;45;1;2;4521;15;15;935.995.624.780.234
