Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3791296;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;36; ; ; ; ; ; ; ; ;1;08;17;178,179936777255;17
3791296;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;08;17;178,179936777255;17
3791296;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;178,179936777255;17
3791298;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;08;17;195,314207041377;17
3791298;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;08;17;195,314207041377;17
3791298;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;08;17;195,314207041377;17
3791298;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;17;195,314207041377;17
3791300;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;08;17;140,33844933531;17
3791300;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;08;17;140,33844933531;17
3791301;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;118,704936450103;17
3791301;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;08;17;118,704936450103;17
3791301;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;08;17;118,704936450103;17
3791302;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;166,136335715913;17
3791302;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;17;166,136335715913;17
3791302;1;3;1;90;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;16; ; ; ;1;08;17;166,136335715913;17
3791303;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;48; ; ; ; ; ; ;1;08;17;208,455889699054;17
3791303;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;20; ; ; ; ; ; ;1;08;17;208,455889699054;17
3791304;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;08;17;170,384975674992;17
3791305;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;118,134904301055;17
3791305;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;17;118,134904301055;17
3791305;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;1; ;28; ; ; ; ; ; ;1;08;17;118,134904301055;17
3791305;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;84; ; ; ; ; ; ;1;08;17;118,134904301055;17
3791306;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;17;172,866859969364;17
3791307;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;14; ; ; ; ; ; ;1;08;17;239,138727895347;17
3791307;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;08;17;239,138727895347;17
3791310;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;281,284564697121;17
3791310;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;35; ;14; ; ; ; ; ; ;1;08;17;281,284564697121;17
3791310;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;281,284564697121;17
3791310;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;17;281,284564697121;17
3791311;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;233,446280156817;17
3791311;1;3;1;90;2;1;1;2;2;2;2;2;2;2; ;14;35; ; ; ; ; ; ; ;1;08;17;233,446280156817;17
3791312;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;08;17;210,301462136815;17
3791314;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;133,357258782036;17
3791314;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;1;08;17;133,357258782036;17
3791314;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;08;17;133,357258782036;17
3791315;1;1;1;90;2;1;2;2;1;2;1;2;2;2; ;14; ; ;2; ;13; ; ; ;1;08;17;151,233347084158;17
3791315;1;2;1;90;2;1;2;2;2;2;2;2;2;1; ;35; ; ; ; ; ; ; ;3;1;08;17;151,233347084158;17
3791316;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;2; ;6; ; ; ; ; ; ;1;08;17;167,411876004625;17
3791316;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;167,411876004625;17
3791316;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;08;17;167,411876004625;17
3791317;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;24; ; ; ; ; ; ;1;08;17;230,623124834973;17
3791317;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;20; ; ; ; ; ; ;1;08;17;230,623124834973;17
3791318;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;166,136335715913;17
3791318;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;1;08;17;166,136335715913;17
3791318;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;166,136335715913;17
3791319;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;229,368824263966;17
3791319;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;42; ;15; ; ; ; ; ; ;1;08;17;229,368824263966;17
3791319;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;08;17;229,368824263966;17
3791319;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;08;17;229,368824263966;17
3791320;1;1;1;90;2;1;2;2;2;2;2;2;1;2; ;43; ; ; ; ; ; ;3; ;1;08;17;148,751462789785;17
3791320;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;17;148,751462789785;17
3791321;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;20; ; ; ; ; ; ;1;08;17;273,36276661864;17
