Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3374806;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;14; ; ; ; ; ; ;1;01;17;194,666871248578;17
3374807;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;17;110,511682685754;17
3374807;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;14; ; ; ; ; ; ;1;01;17;110,511682685754;17
3374807;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;17;110,511682685754;17
3374807;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;01;17;110,511682685754;17
3374807;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;17;110,511682685754;17
3374808;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374808;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374808;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374808;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374808;1;5;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;10; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374808;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;17;145,979379544339;17
3374809;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;01;17;141,578078148025;17
3374809;1;2;1;90; ;2;1;1;2;2;2;2;2;2;2; ;3;25; ; ; ; ; ; ; ;1;01;17;141,578078148025;17
3374809;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;01;17;141,578078148025;17
3374809;1;4;1;90; ;2;1;1;2;2;2;2;2;2;2; ;3;10; ; ; ; ; ; ; ;1;01;17;141,578078148025;17
3374811;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;01;17;129,237265000629;17
3374811;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;01;17;129,237265000629;17
3374812;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;12; ;9; ; ; ; ; ; ;1;01;17;172,644473610297;17
3374812;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;36; ;20; ; ; ; ; ; ;1;01;17;172,644473610297;17
3374812;1;3;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;6; ; ; ; ; ; ;1;01;17;172,644473610297;17
3374814;1;1;1;90; ;1;2;2;1;2;2;2;2;2;2;16; ; ;3; ; ; ; ; ; ;1;01;17;220,802052452808;17
3374814;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;8; ; ; ; ; ; ;1;01;17;220,802052452808;17
3374816;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;01;17;151,021049705411;17
