DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2142427;1;1;1;2;1;4;6;1;5;4; ; ; ;60000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;1229,3954366216
2142428;1;2;1;2;1;4;1;1;5;1; ; ;7000000;70000; ;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;54;1;724,709147963525
2151531;1;5;3;2;1;1;4;1;4;3; ; ; ; ;1400000;2;2;1;2;1;1;2;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;842,123953926858
2151532;1;4;2;2;1;1;4;1;4;4; ; ; ;500000; ;2;1;1;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;1;2;1;2;2;2; ;2;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;1248,72403229179
2151533;1;3;1;2;1;1;4;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;781,244330922416
2151535;1;3;2;2;1;1;4;1;4;4; ; ; ;600000; ;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;2;2;1;4;2;2; ;8;1;1;1;4;1;2;2;1;2;2;3; ;01;2;02;50;1;1509,82804769422
2151538;1;6;2;2;1;1;3;1;3;4; ; ; ;160000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;2;1;2;2;3; ;01;2;02;50;1;1248,72403229179
2151539;1;4;3;1;1;1;3;1;4;3; ; ; ; ;1350000;2;2;1;2;1;1;2;1;1;2;1;2;1;2;2;1;1;1;1;1;2;1;3;2;2; ;4;1;1;1;4;1;2;1;1;2;3;3; ;01;2;02;50;1;997,044048810377
2151540;1;3;2;2;1;1;3;1;4;3; ; ; ; ;270000;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;2;1;3;2;1;1;3;1;1;1;4;1;2;2;1;2;2;3; ;01;2;02;50;1;953,155818741357
2151541;1;5;4;2;1;1;3;1;4;1; ; ;250000000;1000000; ;1;2;1;1;2;1;2;2;1;1;2;2;1;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;856,222391317402
2151542;1;3;2;2;1;1;3;1;4;1; ; ;200000000;400000; ;2;2;2;1;1;1;2;2;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;2;2; ;5;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;1589,77008218275
2151543;1;5;1;2;1;1;3;1;4;3; ; ; ; ;1550000;1;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;2;2;1;2;3;3; ;01;2;02;50;1;734,667671577511
2151544;1;4;2;2;1;1;3;1;4;3; ; ; ; ;1500000;1;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;1;1;4;1;2;2;1;2;2;3; ;01;2;02;50;1;898,659136885749
2151546;1;4;2;2;1;1;3;1;3;1; ; ;80000000;350000; ;1;2;1;2;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;1;2;1;3;2;2; ;4;1;1;1;2;1;1;2;1;2;2;3; ;01;2;02;50;1;846,263867703416
2151715;1;4;2;2;1;4;2;1;5;4; ; ; ;70000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;3;2;2; ;3;1;1;5;3;1;2;2;2;2;2; ; ;01;2;02;63;1;3956,23306391507
2151716;1;3;2;2;1;4;2;1;5;4; ; ; ;100000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2; ;4;1;1;4;3;1;2;2;2;2;1; ; ;01;2;02;63;1;3810,17575330658
2151717;1;5;1;2;1;4;2;1;1;4; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;63;1;4642,51484614939
2151718;1;3;2;2;1;4;2;1;5;4; ; ; ;50000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2; ;8;1;1;1;4;1;2;2;2;2;2; ; ;01;2;02;63;1;3906,97678532443
