Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3267938;1;2;1;1;1;1;1;1;4;2; ;260000;26000000;140000; ;1;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;1;1;1;1;3;1;01;05;08;05;1240,74364906932
3267939;1;3;2;1;1;1;1;1;4;1; ; ;20000000;180000; ;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;2;1;2;1;1;1;1;3;1;01;05;08;05;1185,14333631158
3267940;1;2;1;1;1;1;1;1;1;1; ; ;30000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;4;1;1;1;2;1;2;1;1;1;1;3;1;01;05;08;05;846,371778583489
3267941;1;3;1;1;2;1;1;1;3;1; ; ;30000000;250000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;08;05;830,552904267582
3267941;2;2;1;1;2;1;1;1;3;3; ; ; ; ;130000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;2;2;1;4;1;1;1;1;1;2;2;1;01;05;08;05;830,552904267582
3267942;1;4;2;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;1;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;6;1;1;1;4;1;1;1;1;1;2;2;1;01;05;08;05;1138,83606225534
3267943;1;4;2;1;1;1;1;1;3;1; ; ;40000000;320000; ;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;05;08;05;1130,50811705352
3267944;1;1;1;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;2;1;2;1;2;1;1;1;2;3;1;01;05;08;05;971,81184715015
3267945;1;4;2;1;1;1;1;1;1;4; ; ; ;220000; ;1;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;1;2;1;2;2;2; ;3;1;2;1;2;1;2;1;1;1;1;2;1;01;05;08;05;1001,28370984617
3267946;1;4;2;1;1;1;1;1;4;4; ; ; ;250000; ;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;4;1;1;1;2;1;2;1;1;1;1;3;1;01;05;08;05;1009,23977331524
