DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
613433,1,4,8,70,96,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,84,,,,8,490.385.633.375.872
613447,1,6,8,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,8,429.231.152.626.637
613455,1,4,8,70,2,48,4,,2,2,4,,1,1,,,,,,,,,,1,,2,,2,1,54,54,8532,85,8,44.495.897.401.436
613460,2,1,8,70,8,48,1,,2,8,1,,9,1,,,,,,,,,,1,,2,,2,1,55,39,1593,15,8,637.087.497.046.599
613463,2,2,8,70,12,48,1,,2,12,1,,5,2,,,,,,,,,,1,,2,,2,1,13,13,8041,80,8,511.052.285.932.284
613466,1,2,8,70,72,48,1,,2,72,4,,4,4,,,,,,,,,,1,,2,,2,1,55,93,4552,45,8,568.650.417.990.668
613466,1,6,8,70,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,58,,,,8,568.650.417.990.668
613467,1,4,8,70,2,48,1,,2,2,1,,9,1,,,,,,,,,,1,,1,461500,2,1,58,45,5211,52,8,417.810.865.737.822
613468,1,1,8,70,12,48,4,,2,12,1,,2,4,,,,,,,,1,,,,2,,2,1,98,98,6041,60,8,537.755.885.034.908
613471,1,2,8,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,59,,,,8,539.860.914.300.718
613472,1,3,8,70,1,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,12,,,,8,580.316.432.909.259
613475,1,5,8,70,52,52,1,,2,52,4,,1,1,,,,,,,,,,1,,2,,2,1,3,21,6422,64,8,497.437.448.753.204
613480,1,4,8,70,8,48,1,,2,8,1,,6,4,,,,,,,,,,1,,2,,2,1,13,13,8044,80,8,477.634.688.408.101
613483,2,1,11,70,4,20,1,,2,8,1,,9,1,,,,,,,,,,1,,2,,2,1,12,12,8050,80,11,278.557.145.409.909
613486,1,2,11,70,54,48,4,,2,500,1,,9,2,,,,,,,,,,1,,2,,2,1,41,21,7492,74,11,250.482.492.605.841
613487,1,4,11,70,3,48,1,,2,8,1,,9,7,,,,,,,,,,1,,2,,2,1,59,59,8512,85,11,333.531.199.701.879
613493,1,2,11,70,4,40,1,,2,1,2,,9,1,,,1,,,,,,,,,1,850000,2,1,13,30,7513,75,11,319.765.908.463.183
613495,1,1,11,70,6,40,4,,2,8,1,,5,1,,,,,,,,,,1,,2,,2,1,39,44,6601,66,11,25.094.630.729.025
613504,1,1,11,70,12,48,1,,2,10,1,,3,1,,,,,,,,,,1,,2,,2,1,45,45,5233,52,11,27.729.358.017.733
613523,1,2,11,70,4,24,1,,2,20,1,,3,1,,,,,,,,,,1,,2,,2,1,34,93,4552,45,11,192.831.135.548.122
613525,1,2,11,70,2,40,1,,2,3,1,,9,1,,,,,,,,,,1,,1,300000,2,1,34,34,9231,92,11,28.584.731.927.118
613542,2,2,11,70,10,35,1,,2,8,1,,9,7,,,,,,,,,,1,,2,,2,1,34,45,2424,24,11,270.540.245.682.147
613543,1,2,11,70,40,20,1,,2,40,1,,2,6,,,,,,,,,,1,,2,,2,1,79,79,1749,17,11,274.518.069.146.927
613545,1,2,11,70,4,48,1,,2,4,1,,6,2,,,,,,,,,,1,,1,500000,2,1,32,32,2924,29,11,222.212.820.353.119
613549,1,4,11,70,8,48,1,,2,12,4,,1,8,,,,,,,,,,1,,2,,2,1,97,61,115,1,11,278.360.663.250.067
613551,1,5,11,70,4,48,1,,2,4,4,,9,8,,,1,,,,,,,,,2,,2,1,7,7,8511,85,11,360.733.094.915.025
613557,1,3,11,70,12,48,1,,2,52,1,,2,8,,,,,,,,,,1,,2,,2,1,59,59,8513,85,11,25.094.630.729.025
613559,1,3,11,70,8,48,1,,2,10,1,,2,1,,,,,,,,,,1,,2,,2,1,45,45,5233,52,11,289.134.472.524.079
613567,1,3,11,70,40,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,55,,,,11,25.903.623.169.969
