Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
4003364;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;797,815694287572
4003364;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;22; ; ; ; ; ; ; ; ;05;03;05;797,815694287572
4003364;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;05;03;05;797,815694287572
4003365;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;05;03;05;969,212514390215
4003365;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;32; ;23; ; ; ; ; ; ;05;03;05;969,212514390215
4003365;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;13; ; ; ; ; ; ;05;03;05;969,212514390215
4003365;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;969,212514390215
4003365;1;7;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;05;03;05;969,212514390215
4003366;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;912,589628687026
4003366;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;912,589628687026
4003366;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;03;05;912,589628687026
4003367;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;03;05;1502,84766360769
4003367;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;05;03;05;1502,84766360769
4003367;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;1502,84766360769
4003367;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;1502,84766360769
4003368;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;27; ; ; ; ; ; ; ; ;05;03;05;909,981686957665
4003368;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;05;03;05;909,981686957665
4003369;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;13; ; ; ; ; ; ; ; ;05;03;05;1001,12277553033
4003369;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;1001,12277553033
4003369;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;10; ; ; ; ; ; ;05;03;05;1001,12277553033
4003369;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1001,12277553033
4003369;1;5;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;15; ; ; ; ; ; ;05;03;05;1001,12277553033
