DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
846977,1,3,1,1,1,1,1,1,3,,,,,190000,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,899.664.492.977.847
846979,1,4,2,1,1,1,1,4,3,,,,,150000,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,899.664.492.977.847
846980,1,1,1,3,1,1,1,4,1,,,10000000,100000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,1,1,2,2,1,1,1,2,1,1,5,1,5,1,138.445.194.323.678
846981,1,3,2,1,1,1,1,1,2,,100000,4000000,100000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,5,1,5,1,116.655.879.350.355
846983,1,1,1,1,1,1,1,1,1,,,4000000,100000,,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,4,1,2,1,1,1,1,2,1,1,5,1,5,1,150.784.283.393.744
846986,1,2,2,1,1,1,1,4,3,,,,,120000,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,5,2,1,2,1,1,1,1,2,1,1,5,2,5,1,163.394.257.883.434
846987,1,3,2,1,1,1,1,4,3,,,,,125000,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,5,1,5,1,161.186.105.117.423
846989,1,4,3,1,1,1,1,1,1,,,45000000,400000,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,964.393.272.690.024
846991,1,3,2,1,1,1,1,1,4,,,,300000,,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,803.965.951.414.869
846992,1,4,2,1,1,1,1,3,1,,,40000000,280000,,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,2,2,2,1,5,1,5,1,103.587.119.323.409
846996,1,1,1,1,1,1,1,1,3,,,,,200000,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,2,5,1,899.664.492.977.847
846998,1,3,2,1,1,1,1,1,3,,,,,430000,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,2,1,5,1,5,1,920.682.788.868.054
847000,1,5,3,1,1,1,1,1,3,,,,,470000,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,4,2,2,1,5,1,5,1,898.508.258.998.908
847002,1,3,2,1,1,1,1,4,3,,,,,380000,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,2,1,5,1,5,1,897.734.437.658.971
