DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636413,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,70,70,960.687.574.777.657
2636413,1,5,1,80,1,1,4,9,POR LA EDAD,2,,2,,,,,8,2,1,3,70,70,960.687.574.777.657
2636414,1,1,1,80,1,1,4,9,POR LA EDAD,2,,2,,,,,8,2,1,3,70,70,8.622.359.820.543
2636415,1,2,1,80,1,1,1,4,,2,,2,,,,,4,2,1,3,70,70,83.542.569.927.222
2636415,1,7,1,80,1,2,,,,2,,2,,2,,.,,,1,3,70,70,83.542.569.927.222
2636416,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,70,70,106.673.326.653.658
2636416,1,3,1,80,1,1,4,3,,2,,2,,,,,8,2,1,3,70,70,106.673.326.653.658
2636417,1,2,1,80,1,1,1,4,,2,,2,,,,PROBLEMAS DE SALUD (ABORTO),12,2,1,3,70,70,935.337.634.289.963
2636418,1,1,1,80,1,1,3,4,,2,,2,,,,,4,2,1,3,70,70,106.673.326.653.658
2636418,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,70,70,106.673.326.653.658
2636422,1,6,1,80,1,1,1,7,,2,,2,,,,,4,2,1,3,70,70,966.935.494.684.834
2636427,1,2,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,5,5,859.630.576.700.509
2636428,1,1,1,80,1,1,3,3,,1,1,2,,,,,9,2,1,3,5,5,104.512.053.132.419
2636429,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,5,5,112.864.624.773.264
2636432,1,1,1,80,1,1,4,4,,2,,2,,,,,8,2,1,3,5,5,110.289.750.449.817
2636434,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,100.465.155.596.277
